rank,combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
11,24,0.05,2.5,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03944515257175828,0.0368468454054741,0.06573034897012445,0.07144675068054025,0.07237038239399993,1.1174254727695314,0.845405708267748,2.4424183868612204,3.41928972334415,4.879111884636103,0.7692307692307693,1.0,1.0,1.0,1.0,8,8,0.45954879999771947
12,39,0.05,2.5,3.0,1.25,1.0,0.75,0.8,0.5,1,1.0,0.03899529683898675,0.0358043229011468,0.06607386195762953,0.07413663329609066,0.07799640891456248,1.087068599340412,0.7918665876011062,2.483113895357974,3.4018674083156952,4.796050655997192,0.7435897435897436,1.0,1.0,1.0,1.0,8,8,0.4516748000023654
13,14,0.05,2.5,3.0,0.75,1.5,0.5,0.8,0.5,1,1.0,0.03829009577355323,0.037000473849554724,0.0662137937672446,0.07520991496586005,0.09147723566759192,1.0868614687581952,0.7386271176142714,2.292063683113952,3.4923677619812565,4.819445727866139,0.7692307692307693,1.0,1.0,1.0,1.0,13,13,0.49046069999894826
14,47,0.05,2.5,3.0,1.25,1.5,0.75,0.8,0.5,1,1.0,0.03895583032363236,0.035392677296578995,0.06660106321575036,0.0779368780799903,0.08660124876723559,1.083069131275796,0.7644936289024713,2.3932606921110278,3.443658663412407,4.798842481186796,0.7948717948717948,1.0,1.0,1.0,1.0,12,12,0.48261310000088997
15,10,0.05,2.5,3.0,0.75,1.25,0.5,0.8,0.5,1,1.0,0.03878933830022357,0.03636312975262009,0.06668647510394954,0.07524444849198746,0.09061681587596346,1.0845042042336723,0.751674179831582,2.3272538606281046,3.4751145617316865,4.816987557024788,0.7948717948717948,1.0,1.0,1.0,1.0,12,12,0.48080620000109775
16,43,0.05,2.5,3.0,1.25,1.25,0.75,0.8,0.5,1,1.0,0.039784740153355834,0.03563411370066917,0.06693898409540144,0.07796662302673366,0.08606066772304437,1.0860579379367947,0.7769321980235304,2.433370746798289,3.424842200053604,4.797423256609761,0.7435897435897436,1.0,1.0,1.0,1.0,11,11,0.4749673999976949
17,6,0.05,2.5,3.0,0.75,1.0,0.5,0.8,0.5,1,1.0,0.0390808600786037,0.037922105935135245,0.06720070307398703,0.07527900438347368,0.08975115765087688,1.0773288466862818,0.7680016260846401,2.373056506911837,3.4530496900214303,4.81465300697414,0.7948717948717948,1.0,1.0,1.0,1.0,10,10,0.467145900001924
18,31,0.05,2.5,3.0,1.0,1.5,0.75,0.8,0.5,1,1.0,0.038114575251621124,0.035338914458075556,0.06791681246458449,0.07239139095584363,0.09347615287259571,1.0899352027524862,0.7716341807798699,2.3517820509654257,3.463021376257416,4.833400735987141,0.7948717948717948,1.0,1.0,1.0,1.0,13,13,0.48893829999724403
19,27,0.05,2.5,3.0,1.0,1.25,0.75,0.8,0.5,1,1.0,0.039396345886771544,0.037417854260587705,0.06831648795274906,0.07240541859819932,0.09285048272238901,1.09119965287688,0.7861942721727928,2.3895280448782614,3.4449658031919626,4.831848805307146,0.7692307692307693,1.0,1.0,1.0,1.0,11,11,0.47993850000057137
20,20,0.05,2.5,3.0,1.0,0.75,1.0,0.8,0.5,1,1.0,0.04021051498456031,0.03671578579497365,0.06883176767885456,0.07240058329170682,0.07371729072658671,1.151236519507386,0.8438893853868876,2.4999571501705873,3.3926544142458965,4.878144973464231,0.6666666666666666,1.0,1.0,1.0,1.0,7,7,0.4345681999984663
