rank,combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
11,27,0.04,2.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0397287864290209,0.035326108323465256,0.06743335314364976,0.07633593154416803,0.08776853879722615,1.0878678000885265,0.7843079871256577,2.4343773291916477,3.4242358010038743,4.806510993159009,0.7435897435897436,1.0,1.0,1.0,1.0,11,11,0.4839453000022331
12,78,0.06,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03815480889499942,0.035646601576916445,0.06752724676612042,0.0705529299589479,0.09754206839165168,1.091023493425845,0.747005676516153,2.2767510751816644,3.4996863192042156,4.85025563496788,0.7435897435897436,1.0,1.0,1.0,1.0,13,13,0.4839793999999529
13,110,0.08,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04043897097274851,0.03664830790435929,0.06805965131459601,0.07614785935362392,0.09185136798916611,1.0859631929432185,0.7187202365461474,2.2471805642021536,3.5148115601168683,4.818255227806276,0.7692307692307693,1.0,1.0,1.0,1.0,8,8,0.444086999999854
14,83,0.06,2.5,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.039255672488497734,0.03770313526135205,0.06868916394332762,0.07074885286415077,0.09558572039089512,1.0928420897406137,0.7836959616243462,2.3623027874665468,3.4577987009503204,4.845178762512148,0.7692307692307693,1.0,1.0,1.0,1.0,11,11,0.4662516999997024
15,62,0.05,3.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0401395488006835,0.03669010838149788,0.06974217011889072,0.07407551106525607,0.07422565966920235,1.1398651632196266,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,1.0,1.0,1.0,1.0,6,6,0.42266079999899375
16,115,0.08,3.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04184936465853454,0.0390042818601399,0.0697678129818503,0.08619679106497574,0.08981880326946559,1.1155118998661744,0.7477451739549679,2.313399070157459,3.4819389530552485,4.812029097695643,0.7435897435897436,1.0,1.0,1.0,1.0,5,5,0.4233204000011028
17,85,0.06,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04158626723676944,0.04048332341773976,0.07095397695164493,0.09068851413759144,0.09325785426856154,1.0709773136872265,0.6704758417384369,2.344187276212722,3.4677898080086607,4.741763401034575,0.7435897435897436,1.0,1.0,1.0,1.0,8,8,0.4411456999987422
18,1,0.03,2.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04280472036616378,0.04036937233389647,0.07120511696264324,0.08306986910609071,0.0893760674516387,1.1594698804830013,0.8591196964910637,2.5569284980164184,3.36749259322238,4.84049812179353,0.6410256410256411,1.0,1.0,1.0,1.0,13,13,0.761534400000528
19,113,0.08,3.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03942183638973735,0.036769657511976944,0.059457317911891,0.07417682716464857,0.11539390715430772,1.1371430054202118,0.8323046613834606,2.34274629654044,3.608567817110611,4.951649183345694,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,7,7,0.450021900000138
20,108,0.08,2.5,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03915873084621477,0.03621757743278567,0.059566437523559834,0.07305675340250001,0.1168563565964567,1.1282870085444274,0.7873402597823258,2.278267653066564,3.643679010980293,4.953680850844194,0.7692307692307693,0.9743589743589743,1.0,1.0,0.9743589743589743,10,10,0.4644651000016893
