group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,distance_residual_cm,distance_weight,angle_residual_deg,angle_weight,yaw_residual_deg,yaw_weight
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.95,4.140625,1.25,41,rear,3.2200906209243207,0.5,5.969563245662528,0.2,7.0195632456625106,0.01
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.95,4.140625,1.25,55,front,5.414809434252366,1.0,-4.038934258180461,0.5,-1.7889342581804044,0.05
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.9312500000000004,4.003125,86.875,36,front,0.3859559519544864,1.0,-1.1882526438138825,0.5,-1.5132526438138996,0.05
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.9312500000000004,4.003125,86.875,37,front,2.5283691799806496,1.0,0.10068242818724116,0.5,-6.82431757181277,0.05
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.9312500000000004,4.003125,86.875,49,rear,20.999608405637993,0.25,6.717224624772399,0.1,19.392224624772382,0.0025
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,38,front,1.25305997397418,1.0,-1.1125802422359925,0.5,-7.7375802422359925,0.05
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,40,front,-3.1319924765541796,1.0,-1.4001815197664769,0.5,-33.92518151976648,0.0
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,41,front,2.7884127795749336,1.0,-1.5053984094216162,0.5,-8.430398409421628,0.05
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.9718750000000003,3.95,174.375,42,front,-1.1239435367466744,1.0,4.105560904814752,0.5,-11.219439095185237,0.0125
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.9812499999999997,3.9531249999999996,268.75,46,front,-0.13016043811076017,1.0,-0.05160263812607013,0.5,-45.60160263812608,0.0
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.9812499999999997,3.9531249999999996,268.75,48,front,-0.09315182556606239,1.0,-1.306867604139029,0.5,-4.256867604139018,0.05
