sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s011,4.0,4.0,220.0,5,True,,4.013833092892688,3.948457106051515,220.2556733242009,0.05336688463422341,0.25567332420089883,0.25567332420089883,False,True,True,True,True,True,True,True,57,9.192099998472258,3.012206433729464,5,5,0,42;43;45;46;35,42;43;45;46;35,
main29_s012,5.0,1.0,115.0,6,True,,4.959937626345425,0.9796644337529552,116.63901334863932,0.04492804288444696,1.6390133486393097,1.6390133486393097,True,True,True,True,True,True,True,True,72,11.661399999866262,6.891835940779418,6,6,0,36;37;38;40;41;49,36;37;38;40;41;49,
main29_s013,5.0,2.0,115.0,6,True,,4.95561713792467,1.9767473408483538,115.48125472731137,0.05010513550146727,0.4812547273113523,0.4812547273113523,False,True,True,True,True,True,True,True,65,9.427000004507136,1.2608308406382989,6,5,1,36;37;38;39;40;49,36;37;38;39;49,40
main29_s014,5.0,3.0,245.0,6,True,,4.995493870016045,2.98915689236977,245.7413185089601,0.011742154423829247,0.7413185089600915,0.7413185089600915,True,True,True,True,True,True,True,True,57,9.325999999418855,4.717653690254472,6,6,0,46;47;48;49;34;35,46;47;48;49;34;35,
main29_s015,5.0,4.0,245.0,5,True,,5.007543281101033,3.9708816300028253,245.52873603738976,0.030079570493302687,0.5287360373897627,0.5287360373897627,True,True,True,True,True,True,True,True,59,8.75639999867417,4.5460405445238194,5,5,0,46;47;48;49;35,46;47;48;49;35,
main29_s016,6.0,2.0,65.0,6,True,,6.019770996768839,2.0296128519306853,65.55796302252206,0.03560636618221728,0.557963022522074,0.557963022522074,True,True,True,True,True,True,True,True,56,7.966699995449744,0.7433212111277137,6,5,1,32;33;34;35;48;49,32;33;34;48;49,35
main29_s017,6.0,4.0,260.0,5,True,,6.021223631693679,4.027235016892755,261.29165644069866,0.03452808548728941,1.2916564406986595,1.2916564406986595,True,True,True,True,True,True,True,True,62,8.179899996321183,1.1800397073948716,5,4,1,48;49;50;51;34,48;49;50;34,51
main29_s018,7.0,1.0,25.0,4,True,,7.020566227000278,1.0694377558473664,25.983512100379347,0.07241941473213814,0.9835121003793574,0.9835121003793574,False,True,True,True,True,True,True,True,94,13.298100006068125,1.1564786052790252,4,4,0,31;55;56;57,31;55;56;57,
main29_s019,7.0,2.0,60.0,4,True,,6.990656203041696,2.031165625654415,60.625574259410826,0.03253617623552508,0.6255742594108256,0.6255742594108256,True,True,True,True,True,True,True,True,48,6.505899997137021,0.8556899341017468,4,4,0,32;33;49;50,32;33;49;50,
main29_s020,7.0,3.0,250.0,6,True,,6.99994341705792,2.979059413014923,250.85145176515474,0.020940663430486353,0.8514517651547351,0.8514517651547351,True,True,True,True,True,True,True,True,58,8.846000004268717,3.121195877918517,6,6,0,48;49;50;51;32;33,48;49;50;51;32;33,
main29_s021,7.0,4.0,295.0,4,True,,7.043285620004109,4.021183021336747,297.0571307191685,0.048190925412293584,2.0571307191685264,2.0571307191685264,True,True,True,True,True,True,True,True,57,7.721400004811585,1.92425433531358,4,4,0,51;53;55;34,51;53;55;34,
main29_s022,8.0,1.0,40.0,5,True,,8.017153314970411,1.0235479190988832,40.03158315316262,0.029133154795896662,0.03158315316261451,0.03158315316261451,True,True,True,True,True,True,True,True,66,9.999000001698732,4.759700050701092,5,5,0,31;55;56;57;51,31;55;56;57;51,
main29_s023,8.0,2.0,110.0,5,True,,7.95777297077766,2.0196277383108083,110.59493443202348,0.04656576111416952,0.5949344320234786,0.5949344320234786,True,True,True,True,True,True,True,True,64,9.55919999978505,1.5502950509145161,5,5,0,32;33;34;35;52,32;33;34;35;52,
main29_s024,8.0,3.0,250.0,4,True,,8.002685301035063,2.9886841284647416,250.34587977920722,0.011630124257779099,0.34587977920722324,0.34587977920722324,True,True,True,True,True,True,True,True,53,6.975299998885021,2.283709984943628,4,4,0,50;51;52;32,50;51;52;32,
main29_s025,8.0,4.0,310.0,4,True,,8.018568715052611,4.0573180341243145,310.4182310221041,0.060250761112048544,0.41823102210412344,0.41823102210412344,False,True,True,True,True,True,True,True,59,7.974899999680929,0.3200489305056834,4,3,1,53;55;56;33,53;56;33,55
main29_s026,9.0,1.0,45.0,3,True,,8.968841279500708,1.011306596924436,45.9477795818154,0.033146719251905626,0.9477795818153822,0.9477795818153822,True,True,True,True,True,True,True,True,95,12.367699993774295,2.585042257401927,3,3,0,31;55;56,31;55;56,
main29_s027,9.0,2.0,85.0,3,True,,8.993155775586587,2.0375864094251095,88.21304713501615,0.038204470697722294,3.2130471350161542,3.2130471350161542,True,True,True,True,True,True,True,True,88,11.37870000093244,1.6520733212184646,3,3,0,31;32;33,31;32;33,
main29_s028,9.0,3.0,295.0,4,True,,8.981649713906624,3.005425311753122,293.51684308770757,0.01913549077832418,-1.4831569122924293,1.4831569122924293,True,True,True,True,True,True,True,True,60,8.508799997798633,2.339677391147836,4,4,0,53;54;55;32,53;54;55;32,
main29_s029,9.0,4.0,245.0,5,True,,9.048932093652832,4.027555305429314,246.21367582785717,0.05615732050723494,1.2136758278571733,1.2136758278571733,False,True,True,True,True,True,True,True,59,8.490100000926759,5.874386042214846,5,5,0,49;50;51;53;58,49;50;51;53;58,
repeat10_s001,2.0,1.0,60.0,4,True,,1.9728095515051232,1.0206428867487416,60.51433091350385,0.034138676932094505,0.5143309135038407,0.5143309135038407,True,True,True,True,True,True,True,True,72,9.064899997611064,2.718088161820137,4,4,0,37;38;39;45,37;38;39;45,
repeat10_s002,2.0,4.0,290.0,5,True,,2.0046100164575966,3.976397280632891,288.3453914918274,0.024048713339008574,-1.6546085081726005,1.6546085081726005,True,True,True,True,True,True,True,True,64,9.383599994180258,1.6145394588511262,5,5,0,45;46;47;48;39,45;46;47;48;39,
repeat10_s003,4.0,3.0,250.0,4,True,,3.9432584444596834,2.9706137464643136,251.3880213486174,0.06389957763552485,1.3880213486174,1.3880213486174,False,True,True,True,True,True,True,True,59,7.826299995940644,1.8879588515931212,4,4,0,45;46;48;35,45;46;48;35,
repeat10_s004,4.0,4.0,220.0,5,True,,4.038706946874353,3.9743094336224356,218.41896351150464,0.04645678569524583,-1.5810364884953572,1.5810364884953572,True,True,True,True,True,True,True,True,61,9.1240999972797,3.6106677219517738,5,5,0,42;43;45;46;35,42;43;45;46;35,
repeat10_s005,5.0,1.0,115.0,7,True,,4.940853888119615,1.04215839311054,115.54818911407344,0.0726332751583588,0.5481891140734376,0.5481891140734376,False,True,True,True,True,True,True,True,72,12.03259999601869,8.395171309617654,7,7,0,36;37;38;39;40;41;49,36;37;38;39;40;41;49,
repeat10_s006,5.0,2.0,115.0,6,True,,5.00500808525061,2.0271999028713092,115.00832265229096,0.027657108201799348,0.008322652290956967,0.008322652290956967,True,True,True,True,True,True,True,True,65,9.397600006195717,0.9006195557434776,6,5,1,36;37;38;39;40;49,36;37;38;39;49,40
repeat10_s007,6.0,2.0,65.0,5,True,,6.028852416012764,2.006279088940414,64.77250411243153,0.02952776435315155,-0.22749588756846606,0.22749588756846606,True,True,True,True,True,True,True,True,119,16.57320000231266,4.376287071572754,5,5,0,32;33;34;35;58,32;33;34;35;58,
repeat10_s008,6.0,4.0,260.0,6,True,,5.984649711602956,3.996068569702861,260.25035896597467,0.015845740691229262,0.25035896597466945,0.25035896597466945,True,True,True,True,True,True,True,True,65,9.20159999805037,1.278203559951572,6,5,1,47;48;49;50;51;34,47;48;49;50;34,51
repeat10_s009,7.0,1.0,25.0,4,True,,7.048640430178302,0.9940406896827141,25.138006885590528,0.04900413071760328,0.13800688559052787,0.13800688559052787,True,True,True,True,True,True,True,True,92,13.121099997079,2.1808510840727613,4,4,0,31;55;56;57,31;55;56;57,
repeat10_s010,9.0,4.0,245.0,5,True,,9.018196700217906,3.97757662452593,244.38270266776942,0.028877805776607684,-0.6172973322305779,0.6172973322305779,True,True,True,True,True,True,True,True,63,8.827000005112495,5.515082830928399,5,5,0,50;51;52;53;58,50;51;52;53;58,
