source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg,worst_score
70,624,4.0,3.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,3.945,3.0,180.0,148.22974260397572,3.228780729625349,31.770257396024277,31.770257396024277,3.174,29.3,-37.5,-0.05478072962534908,-5.478072962534908,-2.470257396024266,-69.27025739602428,3.177,30.2,30.2,-0.051780729625348965,-5.1780729625348965,-1.5702573960242887,-1.5702573960242887,8.846059464117499
258,625,8.0,4.0,180.0,58,rear,True,,9.31,4.69,180.0,inner,left,8.075,4.0,0.0,29.192286792039432,1.4146819430529265,-29.192286792039425,-29.192286792039454,1.5858,-16.49,-17.468,0.1711180569470736,17.11180569470736,12.702286792039416,11.724286792039464,1.4322,-28.802,-28.802,0.017518056947073424,1.7518056947073424,0.39028679203943284,0.39028679203946126,8.82888541549189
257,625,8.0,4.0,180.0,57,rear,True,,10.1,3.77,180.0,inner,left,8.075,4.0,0.0,353.520100588513,2.038019872327059,6.479899411486997,6.47989941148694,2.2409,17.588,-2.342,0.20288012767294106,20.288012767294106,11.108100588512997,-8.821899411486953,2.0715,9.167,9.167,0.03348012767294106,3.3480127672941062,2.6871005885130046,2.6871005885130614,8.642492690778516
167,625,6.0,4.0,0.0,56,front,True,,10.1,2.75,180.0,inner,left,6.055,4.0,0.0,342.82762264004,4.2337365293556,17.172377359960024,17.172377359960024,4.4323,14.978,-21.399,0.19856347064439994,19.856347064439994,-2.194377359960015,-38.571377359960024,4.2643,18.456,18.456,0.03056347064440068,3.056347064440068,1.2836226400399653,1.2836226400399653,8.559866268870673
256,625,8.0,4.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,7.945,4.0,180.0,174.07502160070732,6.7812259216162385,5.924978399292684,5.924978399292684,6.4894,1.934,-7.945,-0.29182592161623866,-29.182592161623866,-3.990978399292686,-13.869978399292677,6.7716,5.083,5.083,-0.009625921616238209,-0.9625921616238209,-0.8419783992926853,-0.8419783992926853,8.553842405351602
99,624,5.0,3.0,0.0,57,front,True,,10.1,3.77,180.0,inner,left,5.055,3.0,0.0,8.677876822095865,5.10342287097591,-8.677876822095868,-8.677876822095868,4.847,-11.8,14.0,-0.25642287097590977,-25.642287097590977,-3.122123177904143,22.677876822095868,5.089,-7.6,-7.6,-0.014422870975909774,-1.4422870975909774,1.0778768220958739,1.0778768220958739,8.43695282769583
141,625,6.0,2.0,0.0,57,front,True,,10.1,3.77,180.0,inner,left,6.055,2.0,0.0,23.63309292838946,4.415305765176405,-23.63309292838946,-23.633092928389487,4.556,-24.683,27.658,0.1406942348235951,14.069423482359511,-1.0499070716105336,51.2910929283895,4.3762,-22.434,-22.434,-0.03910576517640507,-3.910576517640507,1.1990929283894616,1.19909292838949,8.29296301318103
278,625,9.0,4.0,0.0,57,front,True,,10.1,3.77,180.0,inner,left,9.055,4.0,0.0,347.58735184688237,1.070011682179218,12.41264815311763,12.41264815311763,1.3516,6.372,6.694,0.28158831782078186,28.158831782078188,-6.0406481531176155,-5.718648153117641,1.0959,17.526,17.526,0.025888317820782047,2.5888317820782047,5.113351846882381,5.113351846882381,8.21718055609994
206,625,7.0,4.0,0.0,58,front,True,,9.31,4.69,180.0,inner,left,7.055,4.0,0.0,17.01341371869614,2.3582037655809143,-17.013413718696142,-17.013413718696142,2.5898,-16.903,17.96,0.2315962344190856,23.15962344190856,0.11041371869615091,34.97341371869615,2.3582,-17.013,-17.013,-3.765580914194544e-06,-0.0003765580914194544,0.0004137186961372663,0.0004137186961372663,8.166070633150044
108,624,5.0,3.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,4.945,3.0,180.0,155.58486893156638,4.112787983837728,24.415131068433624,24.415131068433624,4.044,20.7,-31.1,-0.0687879838377281,-6.878798383772811,-3.715131068433635,-55.51513106843362,4.072,23.1,23.1,-0.04078798383772764,-4.078798383772764,-1.3151310684336295,-1.3151310684336295,8.165649806409135
