source_row,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,ok,reason,tag_x_m,tag_y_m,tag_yaw_deg,tag_room,tag_facing,camera_x_m,camera_y_m,camera_heading_deg,bearing_world_deg,pred_distance_m,pred_angle_deg,pred_yaw_deg,meas_distance_m,meas_angle_deg,meas_yaw_deg,meas_distance_residual_m,meas_distance_residual_cm,meas_angle_residual_deg,meas_yaw_residual_deg,true_distance_m,true_angle_deg,true_yaw_deg,true_distance_delta_m,true_distance_delta_cm,true_angle_delta_deg,true_yaw_delta_deg
13,624,2.0,3.0,270.0,46,front,True,,2.62,0.1,90.0,inner,up,2.0,2.945,270.0,282.2940339906578,2.911773514544014,-12.294033990657795,-12.294033990657795,2.915,-14.5,16.3,0.00322648545598625,0.322648545598625,-2.2059660093422053,28.594033990657806,2.912,-12.3,-12.3,0.00022648545598613623,0.022648545598613623,-0.005966009342216694,-0.005966009342216694
14,624,2.0,3.0,270.0,47,front,True,,3.56,0.1,90.0,inner,up,2.0,2.945,270.0,298.737297981856,3.244630179234607,-28.73729798185599,-28.73729798185599,3.227,-25.9,-37.1,-0.01763017923460719,-1.763017923460719,2.8372979818559827,-8.362702018144006,3.245,-28.7,-28.7,0.0003698207653930474,0.03698207653930474,0.03729798185599975,0.03729798185599975
15,624,2.0,4.0,90.0,38,front,True,,2.63,5.2,270.0,inner,down,2.0,4.055,90.0,61.17960253946468,1.306876046149749,28.820397460535332,28.820397460535332,1.315,28.7,29.2,0.008123953850250887,0.8123953850250887,-0.12039746053534373,0.3796025394646563,1.307,28.8,28.8,0.00012395385025087968,0.012395385025087968,-0.020397460535320988,-0.020397460535320988
16,624,2.0,4.0,90.0,39,front,True,,1.67,5.2,270.0,inner,down,2.0,4.055,90.0,106.07748968305596,1.191606059064824,-16.077489683055944,-16.077489683056,1.188,-17.3,-20.6,-0.003606059064824141,-0.3606059064824141,-1.2225103169440672,-4.522510316943993,1.192,-16.1,-16.1,0.0003939409351758627,0.03939409351758627,-0.022510316944050146,-0.022510316943993303
17,624,2.0,4.0,180.0,40,front,True,,1.2,4.7,0.0,inner,right,1.945,4.0,180.0,136.78372115385588,1.0222646428396125,43.21627884614412,43.21627884614412,1.021,40.2,44.7,-0.0012646428396125842,-0.12646428396125842,-3.0162788461441323,1.4837211538558677,0.957,38.8,38.8,-0.06526464283961253,-6.526464283961253,-4.41627884614411,-4.41627884614411
18,624,2.0,4.0,180.0,41,front,True,,1.2,3.7,0.0,inner,right,1.945,4.0,180.0,201.93388504106304,0.8031344843797955,-21.933885041063036,-21.933885041063036,0.824,-23.0,-30.3,0.020865515620204445,2.0865515620204445,-1.0661149589369643,-8.366114958936976,0.846,-28.2,-28.2,0.042865515620204464,4.286551562020446,-6.266114958936953,-6.266114958936953
19,624,2.0,4.0,270.0,39,rear,True,,1.67,5.2,270.0,inner,down,2.0,4.075,90.0,106.34817154735126,1.172401381780148,-16.348171547351257,-16.348171547351285,1.12,-16.8,-2.3,-0.05240138178014786,-5.240138178014786,-0.4518284526487548,14.048171547351274,1.192,-16.1,-16.1,0.019598618219851982,1.9598618219851982,0.24817154735126223,0.24817154735129066
20,624,2.0,4.0,270.0,42,front,True,,1.22,2.75,0.0,inner,right,2.0,3.945,270.0,236.86672524262104,1.427033636604267,33.133274757378956,-56.866725242621044,1.454,30.9,-59.9,0.026966363395732884,2.6966363395732884,-2.2332747573789504,-3.033274757378962,1.512,31.1,-58.9,0.08496636339573294,8.496636339573293,-2.033274757378962,-2.033274757378962
21,624,2.0,4.0,270.0,45,front,True,,1.67,0.1,90.0,inner,up,2.0,3.945,270.0,265.09456788118666,3.8591352658335256,4.905432118813337,4.905432118813337,3.801,1.1,-10.8,-0.05813526583352546,-5.813526583352546,-3.805432118813343,-15.705432118813349,3.859,4.9,4.9,-0.00013526583352563293,-0.013526583352563293,-0.005432118813331499,-0.005432118813331499
22,624,2.0,4.0,270.0,46,front,True,,2.62,0.1,90.0,inner,up,2.0,3.945,270.0,279.1600045223364,3.8946662244664814,-9.160004522336408,-9.160004522336408,3.842,-12.7,-14.3,-0.05266622446648128,-5.266622446648128,-3.539995477663581,-5.139995477663604,3.895,-9.2,-9.2,0.0003337755335186543,0.03337755335186543,-0.039995477663580914,-0.039995477663580914
