dataset,source_file,gt_x,gt_y,gt_h,tag_id,camera_role,true_distance_m,meas_distance_m,distance_error_cm,true_angle_deg,meas_angle_deg,angle_error_deg,true_yaw_deg,meas_yaw_deg,yaw_error_deg,single_ok,single_x,single_y,single_h,single_pos_err_cm,single_heading_err_deg,score,flag
624,measure11-0624(1).txt,3,3,270,49,front,3.755,3.747,-0.7,-40.7,-31.2,9.5,-40.7,-51.1,-10.4,TRUE,2.5138,2.5029,289.9,69.53,19.9,5.41,ANGLE|EDGE|FAR
624,measure11-0624(1).txt,3,4,0,36,front,1.659,1.669,1,-26.5,-25.8,0.7,63.5,60.8,-2.7,TRUE,3.0279,3.9227,3.4,8.21,3.4,0.98,OK
624,measure11-0624(1).txt,3,4,0,40,rear,1.845,1.798,-4.7,19,22,3,19,11.5,-7.5,TRUE,3.0165,4.2522,10.5,25.28,10.5,3.44,OK
624,measure11-0624(1).txt,3,4,0,41,rear,1.79,1.732,-5.8,-12.9,-12.4,0.6,-12.9,-2.3,10.6,TRUE,2.9849,3.6602,349.9,34.01,10.1,3.46,LOW_YAW
624,measure11-0624(1).txt,3,4,0,56,front,7.173,7.384,21.1,10.8,4.6,-6.2,10.8,7.6,-3.2,TRUE,2.7269,3.6354,357,45.56,3,6.95,DIST|LOW_YAW|FAR
624,measure11-0624(1).txt,3,4,0,57,front,7.053,7.133,8,2.7,-3.8,-6.5,2.7,14.6,11.9,TRUE,3.1453,5.4831,341.6,149.02,18.4,6.17,FAR
624,measure11-0624(1).txt,3,4,90,38,front,1.203,1.21,0.7,-17.9,-18.5,-0.6,-17.9,-22.6,-4.7,TRUE,3.0992,4.0278,94.1,10.3,4.1,1.28,OK
624,measure11-0624(1).txt,3,4,180,39,front,1.751,1.745,-0.6,43.3,40.8,-2.5,-46.7,-54.5,-7.7,TRUE,3.1461,4.1926,185.3,24.17,5.3,2.48,EDGE
624,measure11-0624(1).txt,3,4,180,40,front,1.845,1.847,0.2,19,19.5,0.5,19,-25.9,-44.9,TRUE,2.9006,5.4466,225.4,145,45.4,9.18,YAW
624,measure11-0624(1).txt,3,4,180,41,front,1.79,1.778,-1.2,-12.9,-13.3,-0.4,-12.9,-14.8,-1.9,TRUE,2.9742,4.056,181.5,6.17,1.5,0.78,OK
624,measure11-0624(1).txt,3,4,180,42,front,2.19,2.124,-6.7,-38,-29.8,8.3,-38,-47.2,-9.2,TRUE,2.7149,4.2266,197.4,36.42,17.4,5.93,ANGLE
624,measure11-0624(1).txt,3,4,270,38,rear,1.203,1.114,-9,-17.9,-13.8,4.1,-17.9,-2.3,15.6,TRUE,2.664,4.0328,258.5,33.76,11.5,6.28,YAW|LOW_YAW
624,measure11-0624(1).txt,3,4,270,45,front,4.069,4.153,8.5,19.1,14.3,-4.8,19.1,-20.7,-39.8,TRUE,0.169,4.03,305,283.11,35,11.25,YAW|FAR
624,measure11-0624(1).txt,3,4,270,46,front,3.864,3.83,-3.4,5.6,-0.5,-6.2,5.6,7.4,1.8,TRUE,3.1238,3.952,262.1,13.28,7.9,3.08,LOW_YAW|FAR
624,measure11-0624(1).txt,3,4,270,47,front,3.886,3.843,-4.2,-8.3,-13.9,-5.6,-8.3,11.5,19.8,TRUE,4.3507,3.9152,244.6,135.34,25.4,6.68,YAW|FAR
624,measure11-0624(1).txt,3,4,270,48,front,4.131,4.049,-8.2,-21.4,-23.6,-2.1,-21.4,28.9,50.3,TRUE,6.5078,3.677,217.5,352.26,52.5,12.42,YAW|FAR
624,measure11-0624(1).txt,4,3,0,33,front,4.012,3.939,-7.3,-33.3,-28.2,5,56.7,57.1,0.4,TRUE,4.0462,3.0586,4.7,7.46,4.7,3.22,FAR
624,measure11-0624(1).txt,4,3,0,34,front,3.252,3.196,-5.6,-42.6,-32,10.5,47.4,-57.7,-105.1,TRUE,9.1741,3.4439,115.7,519.31,115.7,25.65,ANGLE|YAW|EDGE|FAR
