combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
41,1.2,0.4,2.5,0.25,0.3,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.4026542000028712
42,1.2,0.4,2.5,0.25,0.5,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.40416689999983646
43,1.2,0.6,1.5,0.25,0.3,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.4025203999990481
44,1.2,0.6,1.5,0.25,0.5,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.39886110000225017
45,1.2,0.6,2.0,0.25,0.3,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.4037004000019806
46,1.2,0.6,2.0,0.25,0.5,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.4042403000021295
47,1.2,0.6,2.5,0.25,0.3,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.4128615000008722
48,1.2,0.6,2.5,0.25,0.5,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.4053394999973534
49,1.2,0.8,1.5,0.25,0.3,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.4025084999993851
50,1.2,0.8,1.5,0.25,0.5,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.4016254999987723
51,1.2,0.8,2.0,0.25,0.3,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.39945950000037556
52,1.2,0.8,2.0,0.25,0.5,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.40338709999923594
53,1.2,0.8,2.5,0.25,0.3,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.40326599999752943
54,1.2,0.8,2.5,0.25,0.5,1.0,0.04012900095515542,0.035242534826912524,0.06974217011889072,0.08420754069997671,0.10049423579621065,1.2133510913527703,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,0.9743589743589743,1.0,1.0,0.9743589743589743,3,3,0.40168359999734093
55,1.4,0.4,1.5,0.25,0.3,1.0,0.038522528922522156,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2106743383909049,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,1.0,1.0,1.0,1.0,3,3,0.3932864000016707
56,1.4,0.4,1.5,0.25,0.5,1.0,0.038522528922522156,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2106743383909049,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.7435897435897436,1.0,1.0,1.0,1.0,3,3,0.394615099998191
57,1.4,0.4,2.0,0.25,0.3,1.0,0.038331718448362466,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2089791881581915,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.38566290000017034
58,1.4,0.4,2.0,0.25,0.5,1.0,0.038331718448362466,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2089791881581915,0.9140931093997153,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.38803529999859165
59,1.4,0.4,2.5,0.25,0.3,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3783932000005734
60,1.4,0.4,2.5,0.25,0.5,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.381423699996958
61,1.4,0.6,1.5,0.25,0.3,1.0,0.038194418640098315,0.035242534826912524,0.06959816249658328,0.07200329330718738,0.08420754069997671,1.2035158086871156,0.8784307628236547,2.880835021029327,3.385801035393797,4.877939540716881,0.7692307692307693,1.0,1.0,1.0,1.0,1,1,0.3780062000005273
