sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
8,4.0,1.0,115.0,115.0,39,front,A,4.696,4.741,-0.044,-3.3,-4.1,0.8,24.5,-29.1,53.6,-4.1,24.5,-29.1,53.6,4.6,flip,4.6,49.0,49.0,-29.1,accept_flip_quantized
8,4.0,1.0,115.0,115.0,41,front,A,3.788,3.835,-0.047,-18.9,-21.4,2.5,39.7,43.6,-3.9,-21.4,39.7,43.6,-3.9,-83.3,keep,-3.9,-79.3,79.3,43.6,accept_keep_quantized
8,4.0,1.0,115.0,115.0,42,front,A,3.232,3.241,-0.009,-26.6,-33.4,6.7,35.0,31.6,3.4,-33.4,35.0,31.6,3.4,-66.6,keep,3.4,-63.3,63.3,,reject_edge
8,4.0,1.0,115.0,115.0,48,rear,A,0.901,0.965,-0.064,-5.9,-5.4,-0.4,-33.4,-30.4,-3.0,-5.4,-33.4,-30.4,-3.0,63.8,keep,-3.0,-60.8,60.8,-30.4,accept_keep_quantized
9,4.0,2.0,65.0,65.0,34,front,A,3.97,3.97,0.001,14.1,12.7,1.4,34.5,37.7,-3.2,12.7,34.5,37.7,-3.2,-72.1,keep,-3.2,-68.9,68.9,37.7,accept_keep_quantized
9,4.0,2.0,65.0,65.0,35,front,A,3.478,3.468,0.009,0.2,0.1,0.2,-25.5,25.1,-50.5,0.1,-25.5,25.1,-50.5,0.4,flip,0.4,50.1,50.1,25.1,accept_flip_quantized
9,4.0,2.0,65.0,65.0,36,front,A,2.729,2.722,0.007,-13.6,-14.1,0.5,6.6,10.9,-4.3,-14.1,6.6,10.9,-4.3,-17.5,keep,-4.3,-13.1,13.1,,ambiguous_low_separation
9,4.0,2.0,65.0,65.0,37,front,A,3.117,3.171,-0.054,-26.7,-32.7,6.1,23.6,-7.7,31.4,-32.7,23.6,-7.7,31.4,-15.9,flip,-15.9,15.5,15.5,,reject_edge
9,4.0,2.0,65.0,65.0,46,rear,A,2.266,2.271,-0.004,11.5,11.2,0.3,33.1,36.2,-3.1,11.2,33.1,36.2,-3.1,-69.3,keep,-3.1,-66.1,66.1,,reject_edge
9,4.0,2.0,65.0,65.0,47,rear,A,1.839,1.873,-0.034,-14.2,-12.9,-1.3,-2.3,12.1,-14.4,-12.9,-2.3,12.1,-14.4,-9.7,flip,-9.7,4.7,4.7,,reject_edge
10,4.0,3.0,250.0,250.0,44,front,A,3.464,3.557,-0.093,35.0,31.0,4.0,40.8,-39.0,79.8,31.0,40.8,-39.0,79.8,-1.8,flip,-1.8,78.0,78.0,,reject_edge
