sample_uid,gt_x_m,gt_y_m,gt_heading_deg,observation_count,success,failure_reason,estimated_x_m,estimated_y_m,estimated_heading_deg,position_error_m,signed_heading_error_deg,abs_heading_error_deg,within_5cm,within_10cm,within_20cm,within_5deg,within_10deg,within_20deg,within_10cm_10deg,within_20cm_20deg,iterations,runtime_ms,objective_value,tag_count_input,tag_count_used,tag_count_rejected,tags_input,tags_used,tags_rejected
main29_s006,3,3,265,6,TRUE,,3.031914012,2.982278636,263.1226468,0.036504121,-1.8773532,1.8773532,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,52,8.711600007,4.242124143,6,6,0,45;46;47;48;37;38,45;46;47;48;37;38,
main29_s019,7,2,60,4,TRUE,,6.990656203,2.031165625,60.62557425,0.032536176,0.625574254,0.625574254,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,48,7.003699997,0.855689934,4,4,0,32;33;49;50,32;33;49;50,
main29_s005,3,2,65,6,TRUE,,2.975305956,2.020108442,65.29538204,0.031845647,0.295382045,0.295382045,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,56,9.479100001,4.707073951,6,6,0,35;36;37;38;45;46,35;36;37;38;45;46,
main29_s002,2,2,70,6,TRUE,,2.02862335,2.013895579,70.77749666,0.031817971,0.777496659,0.777496659,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,56,9.355700007,3.110164894,6,6,0,36;37;38;39;44;45,36;37;38;39;44;45,
repeat10_s008,6,4,260,6,TRUE,,6.024750519,3.982193562,260.5035337,0.030490284,0.503533708,0.503533708,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57,9.562599997,3.09396458,6,6,0,47;48;49;50;51;34,47;48;49;50;51;34,
main29_s015,5,4,245,5,TRUE,,5.007543284,3.97088163,245.5287361,0.030079571,0.52873608,0.52873608,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,59,9.316299998,4.546040545,5,5,0,46;47;48;49;35,46;47;48;49;35,
repeat10_s007,6,2,65,5,TRUE,,6.021266836,2.014480021,64.62084426,0.025728376,-0.379155737,0.379155737,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95,14.35490001,3.481505832,5,5,0,32;33;34;35;58,32;33;34;35;58,
main29_s003,2,3,265,7,TRUE,,1.995574554,2.982135436,262.866598,0.018404544,-2.133402025,2.133402025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57,10.4692,10.92008764,7,7,0,43;44;45;46;47;38;39,43;44;45;46;47;38;39,
main29_s024,8,3,250,5,TRUE,,8.000992573,2.982446593,250.0867901,0.017581447,0.086790092,0.086790092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,52,7.906400002,2.485407513,5,5,0,50;51;52;32;58,50;51;52;32;58,
main29_s014,5,3,245,6,TRUE,,4.995493868,2.989156893,245.7413185,0.011742154,0.741318515,0.741318515,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,57,9.74329999,4.71765369,6,6,0,46;47;48;49;34;35,46;47;48;49;34;35,
main29_s028,9,3,295,5,TRUE,,8.999127554,3.00326997,292.9536185,0.003384356,-2.046381546,2.046381546,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,54,8.8884,3.519856869,5,5,0,53;54;55;32;33,53;54;55;32;33,
