sample_uid,observation_uid,tag_id,camera_role,component_pattern,distance_use,distance_use_reason,angle_use,angle_use_reason,yaw_use,yaw_use_reason
main29_s020,main29_s020_o128,51,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s020,main29_s020_o129,32,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s020,main29_s020_o130,33,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s021,main29_s021_o132,51,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s021,main29_s021_o133,53,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_flip
main29_s021,main29_s021_o134,55,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s021,main29_s021_o136,34,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s022,main29_s022_o137,31,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s022,main29_s022_o138,55,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s022,main29_s022_o139,56,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s022,main29_s022_o140,57,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s022,main29_s022_o141,51,rear,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s023,main29_s023_o142,32,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_small_predicted_yaw
main29_s023,main29_s023_o143,33,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
main29_s023,main29_s023_o144,34,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
main29_s023,main29_s023_o145,35,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s023,main29_s023_o146,52,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s024,main29_s024_o148,50,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s024,main29_s024_o149,51,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s024,main29_s024_o150,52,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s024,main29_s024_o151,32,rear,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_ambiguous_low_separation
main29_s024,main29_s024_o152,58,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s025,main29_s025_o154,53,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_flip
main29_s025,main29_s025_o155,55,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s025,main29_s025_o156,56,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s025,main29_s025_o157,33,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s025,main29_s025_o158,34,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s026,main29_s026_o159,31,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s026,main29_s026_o160,55,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s026,main29_s026_o161,56,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s026,main29_s026_o162,52,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s027,main29_s027_o163,31,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s027,main29_s027_o164,32,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s027,main29_s027_o165,33,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s028,main29_s028_o169,53,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s028,main29_s028_o170,54,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s028,main29_s028_o171,55,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s028,main29_s028_o172,32,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s028,main29_s028_o173,33,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s029,main29_s029_o174,49,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s029,main29_s029_o175,50,front,AY,False,rejected_m2_abs_ge_0p95,True,kept_no_second_screen,True,accept_keep
main29_s029,main29_s029_o176,51,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
main29_s029,main29_s029_o177,53,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
main29_s029,main29_s029_o178,58,rear,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s001,repeat10_s001_o002,37,front,DAY,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,True,accept_keep
repeat10_s001,repeat10_s001_o003,38,front,DA,True,kept_m2_abs_lt_0p95,True,kept_no_second_screen,False,reject_poor_keep_flip_match
