sample_uid,observation_uid,tag_id,camera_role,distance_residual_m_signed,distance_residual_sigma_signed,angle_residual_deg_signed,angle_residual_sigma_signed,distance_peer_median_sigma,distance_m2_signed,distance_m2_abs
main29_s011,main29_s011_o065,42,front,0.0065414192296873175,0.13082838459374635,0.7839716725135872,0.2613238908378624,1.0162041244359443,-0.885375739842198,0.885375739842198
main29_s011,main29_s011_o066,43,front,-0.020266426514922387,-0.40532853029844773,2.2325716100421857,0.7441905366807285,1.0162041244359443,-1.421532654734392,1.421532654734392
main29_s011,main29_s011_o067,45,front,0.050810206221797216,1.0162041244359443,0.25198870474167734,0.08399623491389245,0.3286757976709387,0.6875283267650056,0.6875283267650056
main29_s011,main29_s011_o068,46,front,0.059412019034106756,1.1882403806821351,-3.8360221466847406,-0.9041590909008524,0.3286757976709387,0.8595645830111964,0.8595645830111964
main29_s011,main29_s011_o069,35,rear,0.016433789883546934,0.3286757976709387,-0.3419362562613628,-0.11397875208712094,1.0162041244359443,-0.6875283267650056,0.6875283267650056
main29_s011,main29_s011_o070,36,rear,0.07100257902821894,1.4200515805643787,-0.7126791605915912,-0.23755972019719707,0.3286757976709387,1.09137578289344,1.09137578289344
main29_s012,main29_s012_o072,36,front,0.051211274999134915,1.0242254999826983,-0.11686595644752629,-0.0389553188158421,0.36610733268553663,0.6581181672971617,0.6581181672971617
main29_s012,main29_s012_o073,37,front,-0.06014504565207357,-1.2029009130414714,1.2018355432346937,0.4006118477448979,1.0242254999826983,-2.2271264130241697,2.2271264130241697
main29_s012,main29_s012_o074,38,front,0.021879097905642908,0.36610733268553663,2.0902059336561933,0.6967353112187311,1.0242254999826983,-0.6581181672971617,0.6581181672971617
main29_s012,main29_s012_o075,40,front,0.12664548625514271,2.119184317812972,0.1512781313978735,0.050426043799291165,0.36610733268553663,1.7530769851274355,1.7530769851274355
main29_s012,main29_s012_o076,41,front,-0.023503620757398203,-0.3932907993306326,-2.8581978573093068,-0.9527326191031023,1.0242254999826983,-1.417516299313331,1.417516299313331
main29_s012,main29_s012_o078,49,rear,0.06896481992542569,1.3792963985085138,-0.38380102278227923,-0.12793367426075974,0.36610733268553663,1.0131890658229772,1.0131890658229772
main29_s013,main29_s013_o080,36,front,-0.029727288893440118,-0.5945457778688024,0.40823674518946973,0.13607891506315659,0.16808286097620861,-0.762628638845011,0.762628638845011
main29_s013,main29_s013_o081,37,front,-0.01198782111350205,-0.23975642227004101,1.819134262992094,0.6063780876640313,0.12067909623392659,-0.3604355185039676,0.3604355185039676
main29_s013,main29_s013_o082,38,front,0.030327642318767722,0.6065528463753544,1.6531159668795112,0.5510386556265038,-0.28716018701232304,0.8937130333876775,0.8937130333876775
main29_s013,main29_s013_o083,39,front,-0.05672707116593134,-0.9492254573377702,-0.38136778437007024,-0.1271225947900234,0.16808286097620861,-1.1173083183139787,1.1173083183139787
main29_s013,main29_s013_o084,40,front,0.07193849143914122,1.4387698287828243,-3.246950098704019,-0.7653134776559806,-0.28716018701232304,1.7259300157951474,1.7259300157951474
main29_s013,main29_s013_o086,49,rear,-0.016728197587730254,-0.33456395175460507,-2.85592315134096,-0.6731475422869492,0.16808286097620861,-0.5026468127308137,0.5026468127308137
main29_s013,main29_s013_o087,50,rear,0.028796107211122912,0.5759221442224582,-0.24461786836002375,-0.08153928945334125,-0.28716018701232304,0.8630823312347813,0.8630823312347813
main29_s014,main29_s014_o089,46,front,0.0027310932609134753,0.054621865218269505,-0.026081030137078187,-0.008693676712359396,-0.3388380222060938,0.39345988742436333,0.39345988742436333
main29_s014,main29_s014_o090,47,front,-0.0342899284341911,-0.6857985686838219,1.472763866343314,0.4909212887811047,-0.07499217622860321,-0.6108063924552187,0.6108063924552187
main29_s014,main29_s014_o091,48,front,0.0004194839813438378,0.008389679626876756,1.0906796407776085,0.36355988025920283,-0.3388380222060938,0.3472277018329706,0.3472277018329706
main29_s014,main29_s014_o092,49,front,-0.0037496088114301607,-0.07499217622860321,-5.57108577777646,-1.3131175106792223,-0.3388380222060938,0.2638458459774906,0.2638458459774906
main29_s014,main29_s014_o093,34,rear,-0.044056352312430214,-0.6825180752027554,-0.2506403135427604,-0.08354677118092013,-0.07499217622860321,-0.6075258989741522,0.6075258989741522
main29_s014,main29_s014_o094,35,rear,-0.01694190111030469,-0.3388380222060938,0.9712451795222137,0.22892468421163437,-0.07499217622860321,-0.2638458459774906,0.2638458459774906
main29_s015,main29_s015_o096,46,front,0.03319614325462883,0.6639228650925766,0.9742614403816958,0.32475381346056525,0.4300734417307872,0.23384942336178938,0.23384942336178938
main29_s015,main29_s015_o097,47,front,-0.010839643704930957,-0.21679287409861914,1.6404524193105203,0.5468174731035068,0.6154787075978785,-0.8322715816964976,0.8322715816964976
main29_s015,main29_s015_o098,48,front,0.014655616667919702,0.29311233335839404,0.3552975654062607,0.1184325218020869,0.6154787075978785,-0.32236637423948444,0.32236637423948444
main29_s015,main29_s015_o099,49,front,0.02835172750515902,0.5670345501031804,-4.583415754798921,-1.080321453738525,0.4785175992254853,0.08851695087769507,0.08851695087769507
main29_s015,main29_s015_o100,35,rear,0.05637663999184883,1.1275327998369766,-0.588607270501285,-0.19620242350042835,0.4300734417307872,0.6974593581061894,0.6974593581061894
main29_s016,main29_s016_o101,32,front,0.0021203137143817052,0.042406274287634105,0.12158569760975979,0.04052856586991993,-0.034865919015647506,0.07727219330328161,0.07727219330328161
main29_s016,main29_s016_o102,33,front,0.008892435501651974,0.17784871003303948,1.4745477095717376,0.4915159031905792,-0.034865919015647506,0.212714629048687,0.212714629048687
