sample_uid,observation_uid,tag_id,camera_role,distance_use,distance_use_reason,distance_m2_signed,distance_m2_abs,angle_use,angle_use_reason,yaw_use,yaw_use_reason,yaw_mode,yaw_resolved_deg,predicted_yaw_deg
main29_s009,main29_s009_o056,37,front,True,kept_m2_abs_lt_0p95,0.7669207304262482,0.7669207304262482,True,kept_no_second_screen,False,reject_small_predicted_yaw,flip,,-6.981740641391752
main29_s009,main29_s009_o057,46,rear,True,kept_m2_abs_lt_0p95,-0.5160280069047651,0.5160280069047651,True,kept_no_second_screen,True,accept_keep,keep,33.099999999999994,35.176514706252874
main29_s009,main29_s009_o058,47,rear,True,kept_m2_abs_lt_0p95,0.8121431111696698,0.8121431111696698,True,kept_no_second_screen,False,reject_ambiguous_low_separation,flip,,10.73925285344626
main29_s010,main29_s010_o060,45,front,False,rejected_m2_abs_ge_0p95,0.960406259835489,0.960406259835489,True,kept_no_second_screen,True,accept_flip,flip,42.19999999999999,39.167832651112406
main29_s010,main29_s010_o061,46,front,True,kept_m2_abs_lt_0p95,-0.4174742960081585,0.4174742960081585,True,kept_no_second_screen,True,accept_keep,keep,20.19999999999999,25.47478602259349
main29_s010,main29_s010_o062,48,front,True,kept_m2_abs_lt_0p95,-0.0354821425215463,0.0354821425215463,True,kept_no_second_screen,False,reject_poor_keep_flip_match,flip,,-11.132658282134173
main29_s010,main29_s010_o063,35,rear,True,kept_m2_abs_lt_0p95,0.0354821425215463,0.0354821425215463,True,kept_no_second_screen,True,accept_keep,keep,30.400000000000006,34.622370920317735
main29_s011,main29_s011_o065,42,front,True,kept_m2_abs_lt_0p95,-0.885375739842198,0.885375739842198,True,kept_no_second_screen,True,accept_keep,keep,-27.099999999999994,-22.981044195977802
main29_s011,main29_s011_o066,43,front,False,rejected_m2_abs_ge_0p95,-1.421532654734392,1.421532654734392,True,kept_no_second_screen,True,accept_keep,keep,-39.099999999999994,-38.332444258449186
main29_s011,main29_s011_o067,45,front,True,kept_m2_abs_lt_0p95,0.6875283267650056,0.6875283267650056,True,kept_no_second_screen,True,accept_keep,keep,30.599999999999994,31.08697283625031
main29_s011,main29_s011_o068,46,front,True,kept_m2_abs_lt_0p95,0.8595645830111964,0.8595645830111964,True,kept_no_second_screen,True,accept_keep,keep,29.400000000000006,19.498961984823893
main29_s011,main29_s011_o069,35,rear,True,kept_m2_abs_lt_0p95,-0.6875283267650056,0.6875283267650056,True,kept_no_second_screen,True,accept_keep,keep,50.5,49.99304787524727
main29_s011,main29_s011_o070,36,rear,False,rejected_m2_abs_ge_0p95,1.09137578289344,1.09137578289344,True,kept_no_second_screen,True,accept_keep,keep,25.69999999999999,32.62230497091707
main29_s012,main29_s012_o072,36,front,True,kept_m2_abs_lt_0p95,0.6581181672971617,0.6581181672971617,True,kept_no_second_screen,False,reject_small_predicted_yaw,keep,,-6.147764028375377
main29_s012,main29_s012_o073,37,front,False,rejected_m2_abs_ge_0p95,-2.2271264130241697,2.2271264130241697,True,kept_no_second_screen,True,accept_keep,keep,-15.099999999999994,-17.829062528693157
main29_s012,main29_s012_o074,38,front,True,kept_m2_abs_lt_0p95,-0.6581181672971617,0.6581181672971617,True,kept_no_second_screen,True,accept_flip,flip,-24.900000000000006,-28.94069213827163
main29_s012,main29_s012_o075,40,front,False,rejected_m2_abs_ge_0p95,1.7530769851274355,1.7530769851274355,True,kept_no_second_screen,True,accept_keep,keep,42.69999999999999,44.52038005947003
main29_s012,main29_s012_o076,41,front,False,rejected_m2_abs_ge_0p95,-1.417516299313331,1.417516299313331,True,kept_no_second_screen,True,accept_keep,keep,36.19999999999999,35.51090407076285
main29_s012,main29_s012_o078,49,rear,False,rejected_m2_abs_ge_0p95,1.0131890658229772,1.0131890658229772,True,kept_no_second_screen,True,accept_keep,keep,-29.099999999999994,-29.814699094710136
main29_s013,main29_s013_o080,36,front,True,kept_m2_abs_lt_0p95,-0.762628638845011,0.762628638845011,True,kept_no_second_screen,False,reject_small_predicted_yaw,keep,,-7.125989098972241
main29_s013,main29_s013_o081,37,front,True,kept_m2_abs_lt_0p95,-0.3604355185039676,0.3604355185039676,True,kept_no_second_screen,True,accept_keep,keep,-23.099999999999994,-21.91509158116969
main29_s013,main29_s013_o082,38,front,True,kept_m2_abs_lt_0p95,0.8937130333876775,0.8937130333876775,True,kept_no_second_screen,True,accept_keep,keep,-36.5,-35.18110987728227
main29_s013,main29_s013_o083,39,front,False,rejected_m2_abs_ge_0p95,-1.1173083183139787,1.1173083183139787,True,kept_no_second_screen,True,accept_keep,keep,-45.5,-45.21559362853185
main29_s013,main29_s013_o084,40,front,False,rejected_m2_abs_ge_0p95,1.7259300157951474,1.7259300157951474,True,kept_no_second_screen,True,accept_flip,flip,41.5,36.21882405713421
main29_s013,main29_s013_o086,49,rear,True,kept_m2_abs_lt_0p95,-0.5026468127308137,0.5026468127308137,True,kept_no_second_screen,True,accept_keep,keep,-8.5,-16.390148995502727
main29_s013,main29_s013_o087,50,rear,True,kept_m2_abs_lt_0p95,0.8630823312347813,0.8630823312347813,True,kept_no_second_screen,True,accept_keep,keep,-39.30000000000001,-42.5788437125218
main29_s014,main29_s014_o089,46,front,True,kept_m2_abs_lt_0p95,0.39345988742436333,0.39345988742436333,True,kept_no_second_screen,True,accept_keep,keep,35.599999999999994,39.94454778279865
main29_s014,main29_s014_o090,47,front,True,kept_m2_abs_lt_0p95,-0.6108063924552187,0.6108063924552187,True,kept_no_second_screen,True,accept_keep,keep,19.69999999999999,26.64339267927906
main29_s014,main29_s014_o091,48,front,True,kept_m2_abs_lt_0p95,0.3472277018329706,0.3472277018329706,True,kept_no_second_screen,True,accept_keep,keep,9.199999999999989,9.561308453713337
main29_s014,main29_s014_o092,49,front,True,kept_m2_abs_lt_0p95,0.2638458459774906,0.2638458459774906,True,kept_no_second_screen,False,reject_poor_keep_flip_match,flip,,-9.30045696484072
main29_s014,main29_s014_o093,34,rear,True,kept_m2_abs_lt_0p95,-0.6075258989741522,0.6075258989741522,True,kept_no_second_screen,True,accept_keep,keep,32.400000000000006,33.119988499393
main29_s014,main29_s014_o094,35,rear,True,kept_m2_abs_lt_0p95,-0.2638458459774906,0.2638458459774906,True,kept_no_second_screen,False,reject_ambiguous_low_separation,flip,,11.641873992457931
main29_s015,main29_s015_o096,46,front,True,kept_m2_abs_lt_0p95,0.23384942336178938,0.23384942336178938,True,kept_no_second_screen,True,accept_keep,keep,28.80000000000001,31.817200781981228
main29_s015,main29_s015_o097,47,front,True,kept_m2_abs_lt_0p95,-0.8322715816964976,0.8322715816964976,True,kept_no_second_screen,True,accept_keep,keep,13.599999999999994,20.383391760910058
main29_s015,main29_s015_o098,48,front,True,kept_m2_abs_lt_0p95,-0.32236637423948444,0.32236637423948444,True,kept_no_second_screen,False,reject_small_predicted_yaw,flip,,7.0982369070057985
