combo_index,core_reject_threshold,core_support_threshold,yaw_support_threshold,yaw_bonus_weight,min_decision_score_gap,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
18,0.8,0.8,2.5,0.25,0.5,1.0,0.041505688962933454,0.03879504916850857,0.06974217011889072,0.07200329330718738,0.07407551106525607,1.0662129670076719,0.6081176783246178,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,1.0,1.0,1.0,1.0,20,20,0.5461551999978838
19,1.0,0.4,1.5,0.25,0.3,1.0,0.04128033135066483,0.038172571852276786,0.07200329330718738,0.07831079408126229,0.10049423579621065,1.1378459112513217,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,13,13,0.4927231000001484
20,1.0,0.4,1.5,0.25,0.5,1.0,0.04057121964265922,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1325742603203304,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.487268299999414
21,1.0,0.4,2.0,0.25,0.3,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.48741570000129286
22,1.0,0.4,2.0,0.25,0.5,1.0,0.04038040916849953,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.130879110087617,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.4759117999965383
23,1.0,0.4,2.5,0.25,0.3,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.48355590000210213
24,1.0,0.4,2.5,0.25,0.5,1.0,0.04114747329196584,0.03879504916850857,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1252137055712272,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,11,11,0.4712457000023278
25,1.0,0.6,1.5,0.25,0.3,1.0,0.04148424515383477,0.038172571852276786,0.07200329330718738,0.07831079408126229,0.10049423579621065,1.120945034788266,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,13,13,0.4926594999997178
26,1.0,0.6,1.5,0.25,0.5,1.0,0.04148424515383477,0.038172571852276786,0.07200329330718738,0.07831079408126229,0.10049423579621065,1.120945034788266,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,13,13,0.4894475000000966
27,1.0,0.6,2.0,0.25,0.3,1.0,0.04077513344582916,0.038172571852276786,0.06974217011889072,0.07407551106525607,0.10049423579621065,1.1156733838572745,0.83746109187922,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9743589743589743,1.0,1.0,0.9743589743589743,12,12,0.48469159999876865
