stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score
pass1,main29_s013,main29_s013_o081,37,front,3.442,3.4356402003887814,-0.006359799611218797,-0.12719599222437594,1.6,2.638766125569475,1.038766125569481,0.34625537518982696,True,-23.1,-22.81035472869496,0.2896452713050337,0.09654842376834456,0.22014631756928024
pass1,main29_s013,main29_s013_o082,38,front,3.863,3.911048743235076,0.0480487432350758,0.9609748647015159,-11.5,-10.479922424012244,1.0200775759877558,0.3400258586625853,True,-36.5,-35.92904327827671,0.5709567217232916,0.1903189072410972,0.5986962395073623
pass1,main29_s013,main29_s013_o083,39,front,4.574,4.5435359531309825,-0.03046404686901738,-0.5097610052353481,-19.5,-20.3622282695045,-0.8622282695044987,-0.28740942316816626,True,-45.5,-45.811349123768935,-0.31134912376893453,-0.1037830412563115,0.3431381542162573
pass1,main29_s013,main29_s013_o086,49,rear,1.885,1.869082223053254,-0.01591777694674601,-0.3183555389349202,11.8,10.720380202029219,-1.0796197979707927,-0.25446882674946597,False,,,,,0.2881879880891926
pass1,main29_s014,main29_s014_o089,46,front,3.688,3.677657769567429,-0.01034223043257132,-0.2068446086514264,15.6,15.176985899998044,-0.42301410000195006,-0.14100470000065002,True,35.6,39.38339986059731,3.7833998605973136,1.2611332868657712,0.7423216249917773
pass1,main29_s014,main29_s014_o090,47,front,3.2,3.1613320286190483,-0.038667971380951904,-0.7733594276190381,0.8,1.7464382240832492,0.9464382240832379,0.31547940802774593,True,19.7,25.952852184682513,6.252852184682524,2.0842840615608416,1.2963862735123022
pass1,main29_s014,main29_s014_o091,48,front,2.869,2.876454709240363,0.007454709240362956,0.1490941848072591,-15.9,-15.397518629386695,0.5024813706133102,0.16749379020443675,True,9.2,8.808895331212568,-0.39110466878742045,-0.13036822292914016,0.14975437584045304
pass1,main29_s014,main29_s014_o092,49,front,2.871,2.8860795523196447,0.015079552319644751,0.301591046392895,-28.1,-34.172940127645916,-6.072940127645921,-1.4314057153327762,False,,,,,1.0343789153766858
pass1,main29_s014,main29_s014_o093,34,rear,2.604,2.5691533770861046,-0.03484662291389551,-0.5398415608683482,9.0,9.754488634655331,0.7544886346553312,0.2514962115517771,True,32.4,33.96090259525454,1.5609025952545323,0.5203008650848441,0.45657866991852486
pass1,main29_s014,main29_s014_o094,35,rear,2.206,2.183902007604881,-0.022097992395119004,-0.4419598479023801,-13.7,-11.558151192909378,2.1418488070906108,0.5048386052566961,False,,,,,0.4744420536353313
pass1,main29_s015,main29_s015_o096,46,front,4.459,4.488812944761801,0.029812944761800964,0.5962588952360193,6.4,7.166561584389683,0.7665615843896774,0.25552052812989245,True,28.8,31.655606334097655,2.8556063340976436,0.9518687780325479,0.6650487653891839
pass1,main29_s015,main29_s015_o097,47,front,4.083,4.071357492011922,-0.011642507988078421,-0.23285015976156842,-5.7,-4.289768879750909,1.4102311202490796,0.47007704008302653,True,13.6,20.199275869957063,6.599275869957069,2.1997586233190227,1.3056453859274104
pass1,main29_s015,main29_s015_o098,48,front,3.832,3.8488819129874847,0.01688191298748487,0.3376382597496974,-17.7,-17.583172504491586,0.11682749550840299,0.038942498502800994,False,,,,,0.2403290584141302
pass1,main29_s015,main29_s015_o099,49,front,3.817,3.850643821128392,0.03364382112839204,0.6728764225678407,-26.8,-31.608097451443314,-4.808097451443302,-1.1332794375071054,False,,,,,0.9319562660136248
pass1,main29_s015,main29_s015_o100,35,rear,1.182,1.239405121156137,0.05740512115613705,1.148102423122741,-2.9,-2.9351316167451387,-0.03513161674513299,-0.01171053891504433,True,19.9,21.55391313296286,1.653913132962856,0.5513043776542853,0.7353486310412608
pass1,main29_s016,main29_s016_o101,32,front,3.892,3.8873970486600102,-0.004602951339989669,-0.09205902679979339,13.2,13.126288367497637,-0.07371163250235213,-0.02457054416745071,True,34.0,36.86663431791658,2.866634317916578,0.9555447726388593,0.5544199336764685
