rank,combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
11,55,0.05,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03651225790263242,0.03740887210815395,0.06120264208126642,0.06517724902385323,0.07051915637100127,1.1420530884286488,0.7563270602686885,2.321564039623013,3.479035429023668,4.712719146705751,0.8461538461538461,1.0,1.0,1.0,1.0,12,12,0.46947300000101677
12,95,0.06,4.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03618870353069538,0.0364324875815941,0.06124068805906576,0.06895805582101464,0.07128856965879332,1.1219373038834397,0.8062140306348624,2.167741160769083,3.365917065116321,4.73374776330229,0.8461538461538461,1.0,1.0,1.0,1.0,0,0,0.3729640000019572
13,29,0.04,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03786654792282346,0.03729402671405479,0.061806442185818516,0.06610973898294882,0.06756948705373207,1.139544509335682,0.799505704518424,2.422720065250246,3.4311270501408444,4.701006380895478,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.44140680000055
14,90,0.06,3.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.037360270475490044,0.03654764970007875,0.06181073430350387,0.06373122259401164,0.06642579026099935,1.167019577276571,0.8136545358598823,2.4267574155103375,3.428770240753522,4.737627692740205,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.40530779999971855
15,110,0.08,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.038219809976876844,0.03633622909039931,0.06188129618907602,0.06519304791745101,0.09185136798916611,1.1571108881603345,0.7390344721142696,2.5663567621275263,3.5148115601168683,4.818255227806276,0.8205128205128205,1.0,1.0,1.0,1.0,7,7,0.4384055000009539
16,30,0.04,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0377960188404192,0.03767602086666963,0.061993256741061466,0.06498757479451552,0.06593640048979649,1.1281182741712756,0.686516624430169,2.420368987183565,3.4324874491759374,4.679624952720559,0.7692307692307693,1.0,1.0,1.0,1.0,9,9,0.4653600000019651
17,60,0.05,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03783139860274287,0.03695655392225811,0.06210704920769027,0.06615778947532802,0.06869223664428199,1.1403352217865823,0.8017024926633098,2.423354111056483,3.430758747414984,4.706765087560086,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.4366383999986283
18,28,0.04,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.038040161017381134,0.03654764924017492,0.062317632894432866,0.066425788973626,0.07467084938181166,1.1546139698405034,0.8136545616513899,2.426757356800408,3.4287702815240664,4.737627681165947,0.7692307692307693,1.0,1.0,1.0,1.0,8,8,0.44278850000046077
19,59,0.05,2.5,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03773157807498,0.0365476499823258,0.06231764068636806,0.0664257903050256,0.07467085084281563,1.145252584661066,0.8136545343816692,2.426757340667109,3.4287701893823623,4.737627704992178,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.42852009999842267
20,34,0.04,2.5,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.038217312993344354,0.036989870777127946,0.06245547868618142,0.0675468376771307,0.06942815801144456,1.1645874555799174,0.806714489937292,2.534431723635805,3.379879901183301,4.697326971796741,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.4181578999996418
21,89,0.06,3.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03705610627725194,0.036296790319698416,0.06253749648837773,0.06589634571283418,0.06680681773709486,1.1643737460531935,0.8298147834876204,2.431236746169077,3.4261198965850213,4.778147860541964,0.8461538461538461,1.0,1.0,1.0,1.0,3,3,0.3996937000010803
22,65,0.05,3.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03802379898713617,0.03720930058763997,0.06265391781769475,0.06730428940661017,0.06808054515709806,1.1647437431472225,0.811189334053438,2.5138213391937256,3.3891675098799396,4.703694252742679,0.8205128205128205,1.0,1.0,1.0,1.0,4,4,0.4077872000016214
23,88,0.06,3.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03620962844775993,0.03377721133571733,0.06287280270629468,0.06942094717296914,0.07066743623374383,1.1408909588733356,0.814294151262601,2.6976585146175864,3.4217923476890064,4.842722774387113,0.8974358974358975,1.0,1.0,1.0,1.0,2,2,0.3838894000000437
24,35,0.04,2.5,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03867906560114563,0.036840228631591754,0.06288210264815239,0.06730421024917846,0.06949506241368732,1.161083818763821,0.8038715492563142,2.53489057666269,3.379921123933343,4.675672428993977,0.7948717948717948,1.0,1.0,1.0,1.0,4,4,0.4186451000023226
25,58,0.05,2.5,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0382859234974121,0.03593339772087352,0.06292347647141933,0.06691189465201884,0.0844137622083047,1.1681153783825577,0.8341088048566689,2.4324038147553892,3.4254224801682653,4.7886912095342495,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.44037279999975
