combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
11,0.03,3.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04173661878513971,0.03914534495151914,0.07083644663543992,0.07913915093482846,0.0894648090784016,1.217908518149875,0.9843486754542994,2.6705043607812513,3.306683157457087,4.839044775128002,0.7435897435897436,1.0,1.0,1.0,1.0,7,7,0.4245755999982066
12,0.03,3.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.038843646252000374,0.03663249677286904,0.06976762781226599,0.07599512983583863,0.08211748437423087,1.1353209441890926,0.7939945456505484,2.3338721011459143,3.2887407223226433,4.731121790071057,0.7692307692307693,1.0,1.0,1.0,1.0,2,2,0.39445160000104806
13,0.03,3.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0391063356349543,0.03823539120373037,0.07216906835448918,0.08112287432998257,0.08352124929160838,1.1216060881335124,0.7608549915366893,2.753495442576309,3.2794032516893594,4.68496441288292,0.7435897435897436,1.0,1.0,1.0,1.0,4,4,0.4211049000005005
14,0.03,3.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0405102616874956,0.03918616119970561,0.07341068904979099,0.08426226025764609,0.08458473155888104,1.116104444282341,0.7564553997470682,2.6874177385339806,3.274309790332211,4.661739706785312,0.6666666666666666,1.0,1.0,1.0,1.0,4,4,0.4388773000027868
15,0.03,3.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04123276408499359,0.03917742994124223,0.07412455259622594,0.08469332834333582,0.08663592848234476,1.1149644123848164,0.7540165609345308,2.6497308231872125,3.271301916377979,4.648577800297602,0.6410256410256411,1.0,1.0,1.0,1.0,4,4,0.4320841999979166
16,0.03,4.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04304563626290444,0.04121466512278296,0.07167298049142164,0.08313047682192895,0.08949590876669926,1.2193038117043973,1.0088841964584674,2.6665425291564873,3.276270549854189,4.838563410742836,0.717948717948718,1.0,1.0,1.0,1.0,7,7,0.4308213000003889
17,0.03,4.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04083624111763736,0.037420914159237616,0.07525763329155317,0.08164539229745313,0.08752940401107616,1.145849855470218,0.8350558538992061,2.396951917273725,3.2465793504032945,4.730231578650262,0.7435897435897436,1.0,1.0,1.0,1.0,3,3,0.41591929999776767
18,0.03,4.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04113823898434289,0.03992403060399479,0.07836576987902509,0.08968501341629827,0.0897205641320575,1.1304896084050347,0.7874256819693528,2.438645373938755,3.2303317063988857,4.683901809574905,0.717948717948718,1.0,1.0,1.0,1.0,3,3,0.4220605999980762
19,0.03,4.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.16092443584003818,0.03906580851702418,0.08019463832181231,0.09422522695085542,4.664761515876217,2.933678482399364,0.8014090065956339,2.6788937939306834,4.660590883367092,73.05616404265419,0.6666666666666666,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,3,3,0.43530789999931585
20,0.03,4.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.16171914764929113,0.03853747119712541,0.08118147577572542,0.09692604590617562,4.66476151587624,2.9308798297914858,0.7959553846190488,2.6410517456405103,4.6473803531655165,72.88372071965571,0.6666666666666666,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,3,3,0.43192809999891324
21,0.03,5.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04403481359935767,0.04168858795548032,0.07329469874062197,0.08522094034128856,0.08951032553418503,1.2298617569354502,1.0156790068231203,2.664708180538753,3.2578678949187747,4.838345346646719,0.717948717948718,1.0,1.0,1.0,1.0,8,8,0.4348439999994298
22,0.03,5.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.041987355690746166,0.03817241409770486,0.07831965985971993,0.08537535663835268,0.09046325655525178,1.1558889205440386,0.8845507364617049,2.415137260445988,3.2193078405994697,4.729824732951215,0.717948717948718,1.0,1.0,1.0,1.0,3,3,0.4204835999989882
23,0.03,5.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04257840571346704,0.03990614826958914,0.07993303856625869,0.09308457463534978,0.09450048493101473,1.1457987693435836,0.8632957467591496,2.4591670821154707,3.197263578290915,4.6834152795103705,0.717948717948718,1.0,1.0,1.0,1.0,4,4,0.4302248999993026
24,0.03,5.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.1621178634150284,0.039612884514150876,0.08408044176053865,0.0996509034681938,4.66476151587624,2.97244477925761,0.7717388327200183,2.6749362935411796,4.660064579181466,74.23460643431343,0.6666666666666666,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,3,3,0.4441069999993488
25,0.03,5.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.16297420896287693,0.03912199590821005,0.08524529944315161,0.1027597823475419,4.66476151587624,2.9666881909485334,0.7785132346822365,2.637022239910692,4.646831559545177,73.92088096914787,0.6666666666666666,0.9487179487179487,0.9743589743589743,0.9743589743589743,0.9487179487179487,3,3,0.4770213000010699
26,0.04,2.0,2.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.04318845624391143,0.039978286980703465,0.07549147969479407,0.11392409157131919,0.11682597328084866,1.236119811030652,0.9047383124236319,3.27633033712641,3.572781832606779,4.950247046551112,0.7435897435897436,0.9230769230769231,1.0,1.0,0.9230769230769231,8,8,0.43717110000216053
27,0.04,2.0,3.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.038468486039101836,0.035326108323465256,0.06333304336049747,0.06743335314364976,0.08776853879722615,1.1729797707508816,0.837957877320548,2.50727200319335,3.4242358010038743,4.806510993159009,0.7948717948717948,1.0,1.0,1.0,1.0,8,8,0.44199959999968996
28,0.04,2.0,4.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.038040161017381134,0.03654764924017492,0.062317632894432866,0.066425788973626,0.07467084938181166,1.1546139698405034,0.8136545616513899,2.426757356800408,3.4287702815240664,4.737627681165947,0.7692307692307693,1.0,1.0,1.0,1.0,8,8,0.44278850000046077
29,0.04,2.0,5.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.03786654792282346,0.03729402671405479,0.061806442185818516,0.06610973898294882,0.06756948705373207,1.139544509335682,0.799505704518424,2.422720065250246,3.4311270501408444,4.701006380895478,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.44140680000055
30,0.04,2.0,6.0,1.0,1.0,1.0,0.8,0.5,1,1.0,0.0377960188404192,0.03767602086666963,0.061993256741061466,0.06498757479451552,0.06593640048979649,1.1281182741712756,0.686516624430169,2.420368987183565,3.4324874491759374,4.679624952720559,0.7692307692307693,1.0,1.0,1.0,1.0,9,9,0.4653600000019651
