sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision,,dd
16,3,4,280,280,46,front,A,3.796,3.865,-0.069,16.8,15.7,1.1,-13.3,5.7,-19,15.7,-13.3,5.7,-19,7.6,flip,7.6,11.4,11.4,,weak_small_true_yaw,,7.6
23,6,2,65,65,34,front,A,3.101,3.171,-0.07,-20.8,-17.3,-3.5,15,7.7,7.3,-17.3,15,7.7,7.3,-22.8,keep,7.3,-15.4,15.4,,weak_small_true_yaw,,7.3
11,5,1,115,115,37,front,A,4.32,4.366,-0.046,9.2,6.6,2.6,11.2,-18.4,29.7,6.6,11.2,-18.4,29.7,7.2,flip,7.2,22.5,22.5,-18.4,accept_flip_quantized,,7.2
4,9,4,245,245,51,front,A,3.764,3.817,-0.053,-5.4,-2.2,-3.2,15.8,22.8,-7,-2.2,15.8,22.8,-7,-38.6,keep,-7,-31.6,31.6,22.8,accept_keep_quantized,,7
15,4,4,220,220,46,front,A,4.011,4.087,-0.077,-25.7,-31,5.3,25.9,19,6.9,-31,25.9,19,6.9,-44.9,keep,6.9,-38,38,,reject_edge,,6.9
26,7,3,250,250,50,front,A,2.682,2.722,-0.04,-12.4,-7.8,-4.6,5.3,12.2,-6.9,-7.8,5.3,12.2,-6.9,-17.5,keep,-6.9,-10.6,10.6,,ambiguous_low_separation,,6.9
20,2,2,70,70,45,rear,A,1.874,1.854,0.02,-13.3,-10.7,-2.5,-2.3,9.3,-11.6,-10.7,-2.3,9.3,-11.6,-6.9,flip,-6.9,4.7,4.7,,reject_edge,,6.9
27,8,3,250,250,32,rear,A,2.146,2.149,-0.003,-16,-10.8,-5.2,-2.3,9.2,-11.6,-10.8,-2.3,9.2,-11.6,-6.9,flip,-6.9,4.7,4.7,,reject_edge,,6.9
2,9,2,85,85,32,front,A,3.137,3.201,-0.063,-18.3,-16.4,-1.8,-18.2,-11.4,-6.8,-16.4,-18.2,-11.4,-6.8,29.6,keep,-6.8,-22.9,22.9,-11.4,accept_keep_quantized,,6.8
21,2,3,265,265,46,front,A,2.797,2.915,-0.117,-18.4,-17.5,-0.9,-19.3,-12.5,-6.8,-17.5,-19.3,-12.5,-6.8,31.8,keep,-6.8,-25,25,-12.5,accept_keep_quantized,,6.8
29,8,1,40,40,51,rear,A,0.624,0.685,-0.061,-11,-9.5,-1.5,33.7,40.5,-6.8,-9.5,33.7,40.5,-6.8,-74.2,keep,-6.8,-67.4,67.4,40.5,accept_keep_quantized,,6.8
21,2,3,265,265,39,rear,A,2.176,2.144,0.033,-14.4,-14,-0.4,-2.3,-9,6.7,-14,-2.3,-9,6.7,11.3,keep,6.7,-4.7,4.7,,reject_edge,,6.7
6,7,4,295,295,51,front,A,3.391,3.551,-0.16,14,17.3,-3.4,-14.4,-7.7,-6.7,17.3,-14.4,-7.7,-6.7,22.1,keep,-6.7,-15.4,15.4,,weak_small_true_yaw,,6.7
7,6,4,260,260,46,front,A,4.97,5.109,-0.139,31.4,31.2,0.2,-47.8,41.2,-89,31.2,-47.8,41.2,-89,6.7,flip,6.7,82.3,82.3,,reject_edge,,6.7
29,8,1,40,40,55,front,A,2.349,2.383,-0.034,22,22.9,-1,-23.6,-17.1,-6.6,22.9,-23.6,-17.1,-6.6,40.7,keep,-6.6,-34.1,34.1,-17.1,accept_keep_quantized,,6.6
14,4,3,250,250,44,front,A,3.491,3.557,-0.066,30.6,31,-0.4,-45.5,-39,-6.5,31,-45.5,-39,-6.5,84.5,keep,-6.5,-78,78,,reject_edge,,6.5
18,3,2,65,65,37,front,A,3.112,3.194,-0.082,-17.8,-14.7,-3.1,-16.5,10.3,-26.9,-14.7,-16.5,10.3,-26.9,6.2,flip,6.2,20.7,20.7,10.3,accept_flip_quantized,,6.2
