sample_uid,observation_uid,tag_id,camera_role,raw_yaw_deg,predicted_yaw_deg,yaw_keep_deg,yaw_flip_deg,yaw_keep_error_deg,yaw_flip_error_deg,yaw_keep_abs_error_deg,yaw_flip_abs_error_deg,best_mode,best_yaw_deg,best_abs_error_deg,branch_separation_deg,accepted,decision
main29_s004,main29_s004_o021,46,front,-8.2,-9.948178569961442,-8.199999999999989,8.199999999999989,1.7481785699614534,18.14817856996143,1.7481785699614534,18.14817856996143,keep,-8.199999999999989,1.7481785699614534,16.399999999999977,True,accept_keep
main29_s004,main29_s004_o022,47,front,16.1,-22.852611948194067,16.099999999999994,-16.099999999999994,38.95261194819406,6.7526119481940725,38.95261194819406,6.7526119481940725,flip,-16.099999999999994,6.7526119481940725,32.19999999999999,True,accept_flip
main29_s004,main29_s004_o023,48,front,-35.2,-33.65078938518661,-35.19999999999999,35.19999999999999,-1.5492106148133757,68.8507893851866,1.5492106148133757,68.8507893851866,keep,-35.19999999999999,1.5492106148133757,67.30157877037323,True,accept_keep
main29_s004,main29_s004_o024,49,front,-43.9,-42.275059438610356,-43.900000000000006,43.900000000000006,-1.62494056138965,86.17505943861033,1.62494056138965,86.17505943861033,keep,-43.900000000000006,1.62494056138965,84.55011887722068,True,accept_keep
main29_s004,main29_s004_o025,39,rear,-16.4,-12.070732638113327,-16.400000000000006,16.400000000000006,-4.329267361886679,28.470732638113333,4.329267361886679,28.470732638113333,keep,-16.400000000000006,4.329267361886679,24.141465276226654,True,accept_keep
main29_s005,main29_s005_o026,35,front,34.8,38.65383899307085,34.80000000000001,-34.80000000000001,-3.8538389930708377,-73.45383899307086,3.8538389930708377,73.45383899307086,keep,34.80000000000001,3.8538389930708377,69.60000000000002,True,accept_keep
main29_s005,main29_s005_o027,36,front,23.1,30.16154411705554,23.099999999999994,-23.099999999999994,-7.061544117055547,-53.261544117055536,7.061544117055547,53.261544117055536,keep,23.099999999999994,7.061544117055547,46.19999999999999,True,accept_keep
main29_s005,main29_s005_o028,37,front,-14.1,10.848032263739697,-14.099999999999994,14.099999999999994,-24.94803226373969,3.2519677362602977,24.94803226373969,3.2519677362602977,flip,14.099999999999994,3.2519677362602977,21.696064527479393,True,accept_flip
main29_s005,main29_s005_o031,45,rear,33.2,34.36337721805202,33.19999999999999,-33.19999999999999,-1.1633772180520339,-67.56337721805201,1.1633772180520339,67.56337721805201,keep,33.19999999999999,1.1633772180520339,66.39999999999998,True,accept_keep
main29_s006,main29_s006_o033,45,front,-28.6,25.13718380653711,-28.599999999999994,28.599999999999994,-53.737183806537104,3.462816193462885,53.737183806537104,3.462816193462885,flip,28.599999999999994,3.462816193462885,50.27436761307422,True,accept_flip
main29_s006,main29_s006_o035,47,front,16.3,-11.433644014239121,16.30000000000001,-16.30000000000001,27.733644014239133,-4.86635598576089,27.733644014239133,4.86635598576089,flip,-16.30000000000001,4.86635598576089,22.867288028478242,True,accept_flip
main29_s006,main29_s006_o037,37,rear,11.8,15.173501409347978,11.800000000000011,-11.800000000000011,-3.3735014093479663,-26.97350140934799,3.3735014093479663,26.97350140934799,keep,11.800000000000011,3.3735014093479663,23.600000000000023,True,accept_keep
main29_s007,main29_s007_o041,45,front,22.5,18.225207843771273,22.5,-22.5,4.274792156228727,-40.72520784377127,4.274792156228727,40.72520784377127,keep,22.5,4.274792156228727,36.450415687542545,True,accept_keep
main29_s007,main29_s007_o044,48,front,21.6,-22.217703772659206,21.599999999999994,-21.599999999999994,43.8177037726592,0.6177037726592118,43.8177037726592,0.6177037726592118,flip,-21.599999999999994,0.6177037726592118,43.19999999999999,True,accept_flip
main29_s007,main29_s007_o045,49,front,-35.5,-33.11583510426328,-35.5,35.5,-2.384164895736717,68.61583510426328,2.384164895736717,68.61583510426328,keep,-35.5,2.384164895736717,66.23167020852657,True,accept_keep
main29_s007,main29_s007_o046,38,rear,-14.2,-14.985062698094794,-14.199999999999989,14.199999999999989,0.785062698094805,29.185062698094782,0.785062698094805,29.185062698094782,keep,-14.199999999999989,0.785062698094805,28.399999999999977,True,accept_keep
main29_s008,main29_s008_o048,38,front,-18.8,-17.361819701583045,-18.80000000000001,18.80000000000001,-1.4381802984169667,36.161819701583056,1.4381802984169667,36.161819701583056,keep,-18.80000000000001,1.4381802984169667,34.72363940316609,True,accept_keep
main29_s008,main29_s008_o049,39,front,24.5,-28.516753975853533,24.5,-24.5,53.01675397585353,4.016753975853533,53.01675397585353,4.016753975853533,flip,-24.5,4.016753975853533,49.0,True,accept_flip
main29_s008,main29_s008_o050,41,front,39.7,44.34803470490132,39.69999999999999,-39.69999999999999,-4.648034704901335,-84.04803470490131,4.648034704901335,84.04803470490131,keep,39.69999999999999,4.648034704901335,79.39999999999998,True,accept_keep
main29_s008,main29_s008_o051,42,front,35.0,32.47476148853926,35.0,-35.0,2.525238511460742,-67.47476148853926,2.525238511460742,67.47476148853926,keep,35.0,2.525238511460742,64.94952297707852,True,accept_keep
main29_s008,main29_s008_o052,48,rear,-33.4,-33.08377508036483,-33.400000000000006,33.400000000000006,-0.3162249196351752,66.48377508036484,0.3162249196351752,66.48377508036484,keep,-33.400000000000006,0.3162249196351752,66.16755016072966,True,accept_keep
main29_s009,main29_s009_o053,34,front,34.5,38.262212473693126,34.5,-34.5,-3.7622124736931255,-72.76221247369313,3.7622124736931255,72.76221247369313,keep,34.5,3.7622124736931255,69.0,True,accept_keep
main29_s009,main29_s009_o054,35,front,-25.5,25.777060763739883,-25.5,25.5,-51.27706076373988,-0.27706076373988253,51.27706076373988,0.27706076373988253,flip,25.5,0.27706076373988253,51.0,True,accept_flip
main29_s009,main29_s009_o057,46,rear,33.1,35.189795874948516,33.099999999999994,-33.099999999999994,-2.0897958749485213,-68.28979587494851,2.0897958749485213,68.28979587494851,keep,33.099999999999994,2.0897958749485213,66.19999999999999,True,accept_keep
main29_s010,main29_s010_o060,45,front,-42.2,38.55467898840854,-42.19999999999999,42.19999999999999,-80.75467898840853,3.6453210115914487,80.75467898840853,3.6453210115914487,flip,42.19999999999999,3.6453210115914487,77.10935797681708,True,accept_flip
main29_s010,main29_s010_o061,46,front,20.2,24.739764836081775,20.19999999999999,-20.19999999999999,-4.539764836081787,-44.939764836081764,4.539764836081787,44.939764836081764,keep,20.19999999999999,4.539764836081787,40.39999999999998,True,accept_keep
main29_s011,main29_s011_o065,42,front,-27.1,-22.508105130485234,-27.099999999999994,27.099999999999994,-4.591894869514761,49.60810513048523,4.591894869514761,49.60810513048523,keep,-27.099999999999994,4.591894869514761,45.01621026097047,True,accept_keep
main29_s011,main29_s011_o066,43,front,-39.1,-37.96150750435177,-39.099999999999994,39.099999999999994,-1.1384924956482223,77.06150750435177,1.1384924956482223,77.06150750435177,keep,-39.099999999999994,1.1384924956482223,75.92301500870354,True,accept_keep
main29_s011,main29_s011_o067,45,front,30.6,31.31318739608318,30.599999999999994,-30.599999999999994,-0.7131873960831854,-61.913187396083174,0.7131873960831854,61.913187396083174,keep,30.599999999999994,0.7131873960831854,61.19999999999999,True,accept_keep
main29_s011,main29_s011_o068,46,front,29.4,19.691967433313295,29.400000000000006,-29.400000000000006,9.708032566686711,-49.0919674333133,9.708032566686711,49.0919674333133,keep,29.400000000000006,9.708032566686711,39.38393486662659,True,accept_keep
main29_s011,main29_s011_o069,35,rear,50.5,49.27968913933341,50.5,-50.5,1.2203108606665864,-99.77968913933341,1.2203108606665864,99.77968913933341,keep,50.5,1.2203108606665864,98.55937827866683,True,accept_keep
main29_s012,main29_s012_o073,37,front,-15.1,-17.8527374208104,-15.099999999999994,15.099999999999994,2.752737420810405,32.952737420810394,2.752737420810405,32.952737420810394,keep,-15.099999999999994,2.752737420810405,30.19999999999999,True,accept_keep
main29_s012,main29_s012_o074,38,front,24.9,-28.961767766546757,24.900000000000006,-24.900000000000006,53.86176776654676,4.061767766546751,53.86176776654676,4.061767766546751,flip,-24.900000000000006,4.061767766546751,49.80000000000001,True,accept_flip
main29_s012,main29_s012_o076,41,front,36.2,35.49370697648922,36.19999999999999,-36.19999999999999,0.7062930235107672,-71.69370697648921,0.7062930235107672,71.69370697648921,keep,36.19999999999999,0.7062930235107672,70.98741395297844,True,accept_keep
main29_s012,main29_s012_o078,49,rear,-29.1,-29.708637084197846,-29.099999999999994,29.099999999999994,0.6086370841978521,58.80863708419784,0.6086370841978521,58.80863708419784,keep,-29.099999999999994,0.6086370841978521,58.19999999999999,True,accept_keep
main29_s013,main29_s013_o081,37,front,-23.1,-21.913365665374727,-23.099999999999994,23.099999999999994,-1.1866343346252677,45.01336566537472,1.1866343346252677,45.01336566537472,keep,-23.099999999999994,1.1866343346252677,43.82673133074945,True,accept_keep
