tag_id,camera_role,metric,count,mean_raw,median,std_raw,mad,robust_sigma,outlier_count,mean_clean,std_clean,min_clean,max_clean
37,rear,distance_error_cm,2,-4.2,-4.2,3.818376618407357,2.7,4.00302,0,-4.2,3.818376618407357,-6.9,-1.5
37,rear,single_heading_err_deg,2,13.2,13.2,13.435028842544403,9.5,14.0847,0,13.2,13.435028842544403,3.7,22.7
37,rear,single_pos_err_cm,2,51.254999999999995,51.254999999999995,26.311443327951434,18.605,27.583773,0,51.254999999999995,26.311443327951434,32.65,69.86
37,rear,yaw_error_deg,2,-4.6,-4.6,18.526197667087544,13.1,19.42206,0,-4.6,18.526197667087544,-17.7,8.5
38,front,angle_error_deg,9,-1.0315555555555556,-0.6,2.7386970949299556,0.7000000000000001,1.03782,2,-1.2691428571428574,1.304197764728881,-3.7,-0.1
38,front,distance_error_cm,9,-0.9877777777777779,-1.0,2.0950165737875306,1.1,1.63086,0,-0.9877777777777779,2.0950165737875306,-5.0,2.2
38,front,single_heading_err_deg,9,4.036333333333333,2.8,4.580374548003689,1.7999999999999998,2.6686799999999997,1,2.7033750000000003,2.3877855214462986,0.5,7.727
38,front,single_pos_err_cm,9,22.21111111111111,16.28,21.91184351238186,14.14,20.963964,0,22.21111111111111,21.91184351238186,1.26,64.86
38,front,yaw_error_deg,9,-4.479000000000001,-4.7,3.5870104544034995,3.310999999999999,4.908888599999998,0,-4.479000000000001,3.5870104544034995,-10.0,0.4
38,rear,angle_error_deg,3,3.533333333333333,3.7,0.6658328118479393,0.39999999999999947,0.5930399999999991,0,3.533333333333333,0.6658328118479393,2.8,4.1
38,rear,distance_error_cm,3,-5.333333333333333,-5.0,3.511884584284246,3.0,4.4478,0,-5.333333333333333,3.511884584284246,-9.0,-2.0
38,rear,single_heading_err_deg,3,13.333333333333334,11.5,9.681081206834975,6.8,10.081679999999999,0,13.333333333333334,9.681081206834975,4.7,23.8
38,rear,single_pos_err_cm,3,47.69,33.76,28.313634524730304,4.719999999999999,6.997871999999998,1,31.4,3.3375440072005036,29.04,33.76
38,rear,yaw_error_deg,3,0.9666666666666662,7.4,18.699286973928533,8.2,12.157319999999999,0,0.9666666666666662,18.699286973928533,-20.1,15.6
39,front,angle_error_deg,6,-1.1333333333333335,-2.25,3.137302450620065,0.8500000000000001,1.26021,1,-2.38,0.8043631020876082,-3.1,-1.2
39,front,distance_error_cm,6,-2.3499999999999996,-2.05,2.2518880966868666,0.8999999999999999,1.3343399999999999,1,-1.4999999999999998,0.9591663046625438,-2.4,-0.4
39,front,single_heading_err_deg,6,20.233333333333334,4.3,38.16583114078176,2.9,4.2995399999999995,1,4.74,4.523604757270467,1.4,12.3
39,front,single_pos_err_cm,6,93.065,18.84,183.28046843567373,8.175,12.120255,1,18.326,9.760979971293866,9.65,32.62
39,front,yaw_error_deg,6,11.666666666666664,-4.0,40.691555225460064,2.75,4.07715,1,-4.92,2.5242820761555156,-7.7,-1.7
39,rear,angle_error_deg,2,0.65,0.65,1.9091883092036785,1.35,2.00151,0,0.65,1.9091883092036785,-0.7,2.0
39,rear,distance_error_cm,2,-3.5500000000000003,-3.5500000000000003,5.161879502661797,3.6500000000000004,5.411490000000001,0,-3.5500000000000003,5.161879502661797,-7.2,0.1
39,rear,single_heading_err_deg,2,9.5,9.5,7.0710678118654755,5.0,7.412999999999999,0,9.5,7.0710678118654755,4.5,14.5
39,rear,single_pos_err_cm,2,27.365000000000002,27.365000000000002,3.825447686219222,2.705,4.010433,0,27.365000000000002,3.825447686219222,24.66,30.07
39,rear,yaw_error_deg,2,10.05,10.05,5.1618795026617965,3.6499999999999995,5.411489999999999,0,10.05,5.1618795026617965,6.4,13.7
40,front,angle_error_deg,15,-1.4003333333333334,-2.379,2.3598533751868893,1.679,2.4892854,0,-1.4003333333333334,2.3598533751868893,-4.281,3.5
40,front,distance_error_cm,15,-5.298666666666666,-2.8,11.642335839921635,2.55,3.7806299999999995,2,-1.2069230769230768,4.45555717543718,-7.34,6.4
40,front,single_heading_err_deg,15,31.834133333333334,26.9,27.962808258385603,21.2,31.431119999999996,0,31.834133333333334,27.962808258385603,2.506,94.2
40,front,single_pos_err_cm,15,224.60666666666668,153.57,168.81851090389802,141.12,209.224512,0,224.60666666666668,168.81851090389802,8.53,594.56
40,front,yaw_error_deg,15,-32.6212,-30.9,28.422487124005983,22.683,33.629815799999996,0,-32.6212,28.422487124005983,-94.9,5.8
40,rear,angle_error_deg,4,4.707,4.75,2.7214082138971114,2.25,3.3358499999999998,0,4.707,2.7214082138971114,1.828,7.5
40,rear,distance_error_cm,4,-0.007499999999999951,0.8999999999999999,3.485526024385224,1.735,2.572311,0,-0.007499999999999951,3.485526024385224,-4.7,2.87
40,rear,single_heading_err_deg,4,17.939500000000002,19.529,5.28703833287913,2.1500000000000004,3.18759,0,17.939500000000002,5.28703833287913,10.5,22.2
40,rear,single_pos_err_cm,4,84.75999999999999,75.33,57.33085498519391,26.0,38.547599999999996,0,84.75999999999999,57.33085498519391,25.28,163.1
40,rear,yaw_error_deg,4,-13.2325,-13.05,5.018388685624101,3.6000000000000005,5.33736,0,-13.2325,5.018388685624101,-19.33,-7.5
41,front,angle_error_deg,13,-1.4719230769230767,-2.4,2.8544852560353293,1.8000000000000003,2.66868,0,-1.4719230769230767,2.8544852560353293,-5.016,5.2
41,front,distance_error_cm,13,-1.913076923076923,-1.47,6.98744157353675,3.3600000000000003,4.981536,1,-0.3608333333333335,4.369483968561408,-8.5,6.6
41,front,single_heading_err_deg,13,10.334538461538461,5.1,13.457558549104071,3.5999999999999996,5.337359999999999,2,5.482636363636364,4.589853772675711,0.3,16.0
41,front,single_pos_err_cm,13,83.12538461538462,27.28,110.02799519632754,23.130000000000003,34.292538,4,30.411111111111115,32.02763784781999,4.15,86.2
41,front,yaw_error_deg,13,-9.251538461538463,-5.5,14.918073806713922,7.566000000000001,11.2173516,1,-6.072500000000001,9.972719921684535,-27.5,5.6
