tag_id,camera_role,obs_count,datasets,gt_pose_count,distance_mean_clean,distance_median,distance_std_clean,distance_mad,distance_outliers,angle_mean_clean,angle_median,angle_std_clean,angle_mad,angle_outliers,yaw_mean_clean,yaw_median,yaw_std_clean,yaw_mad,yaw_outliers,single_pos_err_mean_clean,single_pos_err_median,single_pos_err_std_clean,single_pos_err_mad,single_pos_err_outliers,single_heading_err_mean_clean,single_heading_err_median,single_heading_err_std_clean,single_heading_err_mad,single_heading_err_outliers,diagnosis_flags,suggested_use
51,rear,3,625,3,1.413333333333333,0.8,2.3995277313115873,1.42,0,5.7860000000000005,7.263,5.705725808343756,3.3450000000000006,0,10.2705,8.726,2.1842528470852445,3.0889999999999986,1,59.126666666666665,63.81,17.073735189856183,9.560000000000002,0,12.749666666666664,9.239,10.407006982477398,4.687000000000001,0,YAW_STEADY_BIAS|SINGLE_POSE_BAD_POS,USE_DIST_ANGLE_WEAK_YAW
52,front,4,625,4,-0.08000000000000003,-0.72,1.1537764081484765,1.12,1,-2.856,-2.528,0.7749070912051329,0.7555000000000001,1,-6.8006666666666655,-5.6080000000000005,3.4683075603719655,3.182,1,36.053333333333335,45.025,15.582247377491262,14.035,1,11.99375,10.1785,11.542936754425481,6.4695,0,SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
52,rear,3,625,3,-0.9450000000000001,0.75,2.397091988222396,3.39,1,9.363,9.351,0.01697056274847653,0.023999999999999133,1,3.962666666666667,2.526,16.27064034798057,14.068,0,72.33333333333333,55.84,70.66856892093777,44.470000000000006,0,14.267666666666665,15.062,7.056112976230847,5.831000000000001,0,ANGLE_STEADY_BIAS|YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
53,front,4,625,4,-1.3399999999999999,-1.11,1.4368020044529448,0.72,0,-0.5640000000000001,-1.0505,2.4539879108640017,1.278,0,13.482,6.3355,28.311078220371613,14.478,0,73.63,94.445,50.66356383042945,49.019999999999996,1,22.704500000000003,17.322499999999998,20.58394073867619,8.664,0,YAW_UNSTABLE|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,USE_DIST_ANGLE_WEAK_YAW
53,rear,1,625,1,5.63,5.63,0.0,0.0,0,7.778,7.778,0.0,0.0,0,14.675,14.675,0.0,0.0,0,76.17,76.17,0.0,0.0,0,6.897,6.897,0.0,0.0,0,LOW_COUNT|ANGLE_STEADY_BIAS|YAW_STEADY_BIAS|SINGLE_POSE_BAD_POS,WEAK_OR_INSPECT
54,front,1,625,1,0.05,0.05,0.0,0.0,0,0.082,0.082,0.0,0.0,0,-3.607,-3.607,0.0,0.0,0,16.84,16.84,0.0,0.0,0,3.689,3.689,0.0,0.0,0,LOW_COUNT,TRUSTED_FIRST_PASS
54,rear,1,625,1,28.94,28.94,0.0,0.0,0,0.425,0.425,0.0,0.0,0,-32.08,-32.08,0.0,0.0,0,253.93,253.93,0.0,0.0,0,32.505,32.505,0.0,0.0,0,LOW_COUNT|DIST_STEADY_BIAS|YAW_STEADY_BIAS|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
55,front,12,"624,625",12,14.927499999999997,15.08,5.6254213983568295,3.24,0,-4.347636363636364,-3.746,2.336914558674633,1.137,1,-4.553090909090908,-5.284,2.318255613798679,2.0155000000000003,1,34.45363636363636,31.770000000000003,15.539974435453408,9.675000000000002,1,1.425125,1.7265,0.3552485799710233,0.593,4,ANGLE_STEADY_BIAS,WEAK_OR_INSPECT
55,rear,1,625,1,24.72,24.72,0.0,0.0,0,-1.775,-1.775,0.0,0.0,0,-31.987,-31.987,0.0,0.0,0,194.76,194.76,0.0,0.0,0,30.212,30.212,0.0,0.0,0,LOW_COUNT|DIST_STEADY_BIAS|YAW_STEADY_BIAS|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
56,front,10,"624,625",10,18.291,18.33,4.027790819902256,3.395000000000003,0,-6.717700000000001,-6.4445,2.7262781732203663,1.7389999999999999,0,-4.8754285714285714,-6.009,4.159450919578323,3.3985,3,36.707142857142856,40.455,12.260411513329824,14.799999999999999,3,3.2357142857142853,4.3205,2.789474903650369,3.6660000000000004,3,DIST_STEADY_BIAS|ANGLE_STEADY_BIAS,WEAK_OR_INSPECT
56,rear,2,625,2,12.735,12.735,5.423509011700819,3.835,0,5.368,5.368,1.097429724401522,0.7760000000000002,0,-16.456500000000002,-16.456500000000002,6.226075208347552,4.402500000000001,0,47.08,47.08,3.676955262170049,2.6000000000000014,0,21.8245,21.8245,5.12864548394603,3.6265,0,LOW_COUNT|ANGLE_STEADY_BIAS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
57,front,12,"624,625",12,19.360000000000003,19.735,6.2871155725199,4.8050000000000015,2,-4.9265454545454554,-4.2465,2.9161594731302456,2.0520000000000005,1,1.6222727272727275,-2.4775,12.256339715354738,7.144500000000001,1,39.64,47.155,12.248410975656045,15.68,4,10.403636363636362,8.86,9.234832269973584,6.365,1,ANGLE_STEADY_BIAS|YAW_UNSTABLE,WEAK_OR_INSPECT
57,rear,4,625,4,18.1975,19.03,7.5379677853738105,4.67,0,7.182499999999999,7.6434999999999995,2.731263993099166,1.5215000000000005,0,-13.301000000000002,-10.018,5.878549821171886,5.670000000000001,1,52.9325,50.519999999999996,11.388076732559655,5.494999999999997,0,17.675,19.183,6.188772737788971,2.4830000000000005,0,ANGLE_STEADY_BIAS|SINGLE_POSE_BAD_POS|SINGLE_POSE_BAD_HEADING,WEAK_OR_INSPECT
58,front,7,625,7,18.288571428571426,17.75,5.1995077605847415,3.8900000000000006,0,3.700428571428571,3.509,4.09351160810792,3.3979999999999997,0,7.535571428571428,7.999,15.570980753281008,12.489,0,28.302,27.33,8.98610427270906,6.559999999999999,2,13.514857142857142,9.626,11.666324891592488,6.688000000000001,0,YAW_UNSTABLE,USE_DIST_ANGLE_WEAK_YAW
58,rear,2,625,2,18.665,18.665,4.673975823643079,3.3049999999999997,0,12.081,12.081,0.3266833329081848,0.23099999999999987,0,7.635,7.635,5.231175967218078,3.699,0,30.42,30.42,4.256782822743015,3.01,0,4.4455,4.4455,4.903785527528708,3.4675000000000002,0,LOW_COUNT|DIST_STEADY_BIAS|ANGLE_STEADY_BIAS,WEAK_OR_INSPECT
