sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision
6,5.0,2.0,115.0,115.0,35,front,A,3.144,3.184,-0.04,36.0,34.3,1.6,26.0,9.3,16.6,34.3,26.0,9.3,16.6,-35.3,keep,16.6,-18.6,18.6,,reject_edge
6,5.0,2.0,115.0,115.0,36,front,A,2.677,2.709,-0.032,16.3,15.7,0.6,11.7,-9.3,21.0,15.7,11.7,-9.3,21.0,-2.3,flip,-2.3,18.6,18.6,-9.3,accept_flip_quantized
6,5.0,2.0,115.0,115.0,37,front,A,3.399,3.432,-0.033,0.1,1.3,-1.2,-23.5,-23.7,0.2,1.3,-23.5,-23.7,0.2,47.2,keep,0.2,-47.1,47.1,-23.7,accept_keep_quantized
6,5.0,2.0,115.0,115.0,38,front,A,3.93,3.919,0.01,-12.8,-11.7,-1.1,-35.4,-36.7,1.4,-11.7,-35.4,-36.7,1.4,72.1,keep,1.4,-70.7,70.7,-36.7,accept_keep_quantized
6,5.0,2.0,115.0,115.0,39,front,A,4.527,4.561,-0.034,-20.5,-21.5,0.9,-46.0,-46.5,0.4,-21.5,-46.0,-46.5,0.4,92.5,keep,0.4,-92.0,92.0,-46.5,accept_keep_quantized
6,5.0,2.0,115.0,115.0,40,front,A,4.465,4.616,-0.15,-25.9,-29.9,4.0,-42.7,35.1,-77.8,-29.9,-42.7,35.1,-77.8,7.6,flip,7.6,70.2,70.2,35.1,accept_flip_quantized
6,5.0,2.0,115.0,115.0,41,front,A,4.042,4.12,-0.078,-31.3,-41.5,10.2,38.7,23.5,15.2,-41.5,38.7,23.5,15.2,-62.3,keep,15.2,-47.1,47.1,,reject_edge
6,5.0,2.0,115.0,115.0,49,rear,A,1.911,1.881,0.029,11.6,11.8,-0.2,-7.2,-13.2,6.0,11.8,-7.2,-13.2,6.0,20.3,keep,6.0,-14.3,14.3,,reject_edge
6,5.0,2.0,115.0,115.0,50,rear,A,2.164,2.143,0.02,-17.0,-14.9,-2.1,-38.7,-39.9,1.2,-14.9,-38.7,-39.9,1.2,78.6,keep,1.2,-77.5,77.5,,reject_edge
7,6.0,2.0,65.0,65.0,32,front,A,3.86,3.922,-0.062,10.2,11.8,-1.5,34.5,36.8,-2.3,11.8,34.5,36.8,-2.3,-71.2,keep,-2.3,-68.9,68.9,36.8,accept_keep_quantized
