group_key,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,residual,abs_residual,classification,enabled,weight_multiplier,state,reason
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,55,front,angle,-1.7026782895214296,1.7026782895214296,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,41,rear,yaw,-26.43004045185421,26.43004045185421,BAD,False,0.0,DISABLED,bad_yaw_outlier
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,42,rear,yaw,5.577840491305608,5.577840491305608,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,55,front,yaw,-16.458928289521424,16.458928289521424,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,36,front,distance,0.015980600583853644,0.015980600583853644,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,37,front,distance,-0.0034969360668486438,0.0034969360668486438,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,38,front,distance,-0.012874532082629564,0.012874532082629564,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,39,front,distance,-0.006107915454126367,0.006107915454126367,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,46,rear,distance,-0.002064417335023272,0.002064417335023272,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,36,front,angle,-1.4902927794157108,1.4902927794157108,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,37,front,angle,-1.497373126010558,1.497373126010558,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,38,front,angle,-2.8320770769294086,2.8320770769294086,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,39,front,angle,3.7961197640154296,3.7961197640154296,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,46,rear,angle,4.90607901057956,4.90607901057956,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,36,front,yaw,2.8909572205842835,2.8909572205842835,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,37,front,yaw,-1.2161231260105012,1.2161231260105012,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,38,front,yaw,-4.950827076929386,4.950827076929386,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,39,front,yaw,-7.722630235984582,7.722630235984582,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,46,rear,yaw,-9.412670989420462,9.412670989420462,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,40,front,distance,-0.013740789962106703,0.013740789962106703,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,41,front,distance,0.003905652983164032,0.003905652983164032,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,42,front,distance,0.008692742551744237,0.008692742551744237,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,43,front,distance,-0.02607808384086807,0.02607808384086807,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,40,front,angle,-1.9851003254724446,1.9851003254724446,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,41,front,angle,-1.7299657537721203,1.7299657537721203,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,42,front,angle,-3.2239691242218953,3.2239691242218953,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,43,front,angle,6.682948247140445,6.682948247140445,WEAK,True,0.5,USED_LOW_WEIGHT,weak_angle
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,40,front,yaw,-96.18510032547243,96.18510032547243,SEVERE,False,0.0,DISABLED,severe_yaw_outlier
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,41,front,yaw,-2.029965753772103,2.029965753772103,GOOD,True,1.0,USED_NORMAL,good_yaw
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,42,front,yaw,17.776030875778105,17.776030875778105,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,43,front,yaw,-10.217051752859561,10.217051752859561,WEAK,True,0.25,USED_LOW_WEIGHT,weak_yaw
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,37,rear,distance,-0.04438986148436452,0.04438986148436452,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,38,rear,distance,-0.028221938830403914,0.028221938830403914,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,44,front,distance,0.007648162203703901,0.007648162203703901,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,45,front,distance,-0.006928410318729483,0.006928410318729483,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,46,front,distance,-0.025817597363553713,0.025817597363553713,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,47,front,distance,0.005377022934230702,0.005377022934230702,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,48,front,distance,-0.04065446991460098,0.04065446991460098,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,49,front,distance,-0.002929870500510301,0.002929870500510301,GOOD,True,1.0,USED_NORMAL,good_distance
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,37,rear,angle,3.6440177498708124,3.6440177498708124,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,38,rear,angle,1.682414097326216,1.682414097326216,GOOD,True,1.0,USED_NORMAL,good_angle
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,44,front,angle,-1.969359771536773,1.969359771536773,GOOD,True,1.0,USED_NORMAL,good_angle
