group_key,dataset,observation_count,gt_x,gt_y,gt_h,initial_x,initial_y,initial_h,pass1_ok,pass1_x,pass1_y,pass1_h,pass1_pos_err_cm,pass1_heading_err_deg,pass1_distance_rms_cm,pass1_angle_rms_deg,pass1_yaw_rms_deg,filtered_ok,filtered_x,filtered_y,filtered_h,filtered_pos_err_cm,filtered_heading_err_deg,filtered_distance_rms_cm,filtered_angle_rms_deg,filtered_yaw_rms_deg,filter_shift_pos_cm,filter_shift_heading_deg,filter_total,filter_enabled,filter_disabled,distance_enabled,angle_enabled,yaw_enabled,distance_disabled,angle_disabled,yaw_disabled,confidence,ok_for_true_location_update,ok_for_correction_motion,reason,distance_items,angle_items,yaw_items,distance_tag_count,angle_tag_count,yaw_tag_count,distance_bearing_span_deg,angle_bearing_span_deg,distance_rms_cm,distance_max_abs_cm,angle_rms_deg,angle_max_abs_deg,yaw_rms_deg,yaw_max_abs_deg,solver_ok,solver_detail
624_x3.000_y3.000_h270.0,624,8,3.0,3.0,270.0,3.2,2.85,290.0,True,3.0093750000000004,3.0031250000000003,271.40625,0.9882117688026607,1.40625,2.556918473239748,3.789401248291106,10.798245018031254,True,3.0093750000000004,3.0000000000000004,270.78125,0.9375000000000355,0.78125,2.592268889414192,3.9264253772573663,10.781643983271055,0.31249999999998224,0.625,24,24,0,8,8,8,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,8,8,8,8,8,8,227.78762968869518,227.78762968869518,2.592268889414192,4.717239170194176,3.9264253772573663,8.635125183085506,10.781643983271055,17.80805930696249,True,ok
624_x3.000_y4.000_h0.0,624,5,3.0,4.0,0.0,3.2,3.85,20.0,True,2.9,4.1125,356.09375,15.051993223490362,3.90625,6.651505922882079,4.1300655660954,9.181623181761857,True,2.9187499999999997,4.115625,355.46875,14.131773818243754,4.53125,6.510342015886759,4.488376287658997,9.086619154573828,1.9008632907181733,0.625,15,15,0,5,5,5,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,204.36130427105837,204.36130427105837,6.510342015886759,12.872798352837478,4.488376287658997,7.146398585035712,9.086619154573828,12.081909464367328,True,ok
624_x3.000_y4.000_h90.0,624,1,3.0,4.0,90.0,3.2,3.85,110.0,False,3.2,3.85,110.0,25.00000000000001,20.0,20.047367321292953,15.496781927829545,0.4032180721705174,False,3.2,3.85,110.0,25.00000000000001,20.0,20.047367321292953,15.496781927829545,0.4032180721705174,0.0,0.0,3,3,0,1,1,1,0,0,0,FAILED,False,False,solver_failed: not enough enabled distance/angle items after filtering,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan,False,not enough enabled distance/angle items after filtering
624_x3.000_y4.000_h180.0,624,4,3.0,4.0,180.0,3.2,3.85,200.0,True,2.996875,4.0218750000000005,180.0,2.2097086912080113,0.0,1.5363810306647943,3.8545272651374223,24.56029022598819,True,2.9937500000000004,4.01875,179.0625,1.976423537605209,0.9375,1.4304599763630699,3.990744291457176,7.957104950699243,0.44194173824162986,0.9375,12,11,1,4,4,3,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,3,4,4,3,77.32002283915676,77.32002283915676,1.4304599763630699,2.0124374646734777,3.990744291457176,7.5908647851259445,7.957104950699243,10.746635214874061,True,ok
624_x3.000_y4.000_h270.0,624,5,3.0,4.0,270.0,3.2,3.85,290.0,True,3.046875,3.9906249999999996,265.78125,4.780330793993243,4.21875,6.405172392264685,5.135741453297299,31.02297320324131,True,3.11875,3.9875,264.375,11.940608234089243,5.625,6.6116668686196425,7.0545247448888135,16.1365961857055,7.194290270763326,1.40625,15,13,2,5,5,3,0,0,2,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,5,5,3,5,5,3,177.73715372534053,177.73715372534053,6.6116668686196425,12.730756540710164,7.0545247448888135,15.38194046334587,16.1365961857055,21.25694046334587,True,ok
624_x4.000_y3.000_h0.0,624,5,4.0,3.0,0.0,4.2,2.85,20.0,True,4.1468750000000005,2.953125,5.9375,15.417370479430062,5.9375,10.486583865843201,4.706263262636021,47.823418682079534,True,4.143750000000001,2.9406250000000003,6.25,15.552958922661686,6.25,10.504035276098685,4.693552081407805,14.857935862785375,1.2884705080054888,0.3125,15,14,1,5,5,4,0,0,1,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,5,5,4,5,5,4,175.8031858221572,175.8031858221572,10.504035276098685,18.573951477572237,4.693552081407805,7.907371225330081,14.857935862785375,24.04262877466985,True,ok
624_x4.000_y3.000_h90.0,624,5,4.0,3.0,90.0,4.2,2.85,110.0,True,4.000000000000001,3.0281250000000006,90.9375,2.812500000000062,0.9375,1.8746619646440028,3.733349917302346,5.7630067665770905,True,3.993750000000001,3.0281250000000006,90.625,2.8811076429040705,0.625,1.7458830333555664,3.873011587054342,5.849885708297753,0.6250000000000089,0.3125,15,15,0,5,5,5,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,202.12636352356307,202.12636352356307,1.7458830333555664,2.5686673691615702,3.873011587054342,6.515316449575806,5.849885708297753,9.720752049528699,True,ok
624_x4.000_y3.000_h180.0,624,6,4.0,3.0,180.0,4.2,2.85,200.0,True,3.95,2.9937500000000004,178.4375,5.038911092686572,1.5625,3.099741013591824,4.772540121169479,54.73149307527469,True,3.9468750000000004,2.9875000000000003,177.5,5.457577873929016,2.5,3.057977148869602,4.920133178885368,8.35915160543475,0.6987712429686843,0.9375,18,14,4,6,6,2,0,0,4,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,2,6,6,2,84.04727423103554,84.04727423103554,3.057977148869602,4.442587174873225,4.920133178885368,11.073424793854599,8.35915160543475,11.426575206145401,True,ok
624_x4.000_y3.000_h270.0,624,7,4.0,3.0,270.0,4.2,2.85,290.0,True,3.98125,2.9781250000000004,271.875,2.881107642903989,1.875,2.842445035212034,4.480812099624202,10.429019621945395,True,3.98125,2.9781250000000004,271.5625,2.881107642903989,1.5625,2.8409789520731135,4.5315899116202605,10.425102865019861,0.0,0.3125,21,21,0,7,7,7,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,7,7,7,7,7,7,228.75269541175732,228.75269541175732,2.8409789520731135,5.5676135414564065,4.5315899116202605,8.789700808216082,10.425102865019861,20.68890305178735,True,ok
624_x4.000_y4.000_h0.0,624,3,4.0,4.0,0.0,4.2,3.85,20.0,True,3.94375,4.112500000000001,1.875,12.577882373436378,1.875,5.847817835771524,4.936397372331656,9.341742279875785,True,3.95,4.140625,1.25,14.924942420324436,1.25,5.471044036160268,5.72313752412128,9.1750145010469,2.8811076429039595,0.625,9,9,0,3,3,3,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,3,3,3,3,3,3,170.09385650809656,170.09385650809656,5.471044036160268,7.078687994295363,5.72313752412128,6.805456198826533,9.1750145010469,14.144543801173484,True,ok
624_x4.000_y4.000_h90.0,624,3,4.0,4.0,90.0,4.2,3.85,110.0,True,3.915625,4.025,86.5625,8.800079900205471,3.4375,11.01601467643016,4.362253035431959,12.138281322930489,True,3.9312500000000004,4.003125,86.875,6.882098607982852,3.125,12.213724055303073,3.938831804673608,11.901255112838458,2.6882266459508903,0.3125,9,9,0,3,3,3,0,0,0,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,3,3,3,3,3,3,174.65220459237537,174.65220459237537,12.213724055303073,20.999608405637993,3.938831804673608,6.717224624772399,11.901255112838458,19.392224624772382,True,ok
624_x4.000_y4.000_h180.0,624,4,4.0,4.0,180.0,4.2,3.85,200.0,True,3.9718750000000003,3.95,174.375,5.73673742208929,5.625,2.2593157744469665,2.362212828998581,18.75990085332473,True,3.9718750000000003,3.95,174.375,5.73673742208929,5.625,2.2593157744469665,2.362212828998581,9.252343468138049,0.0,0.0,12,11,1,4,4,3,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,3,4,4,3,66.53026310914845,66.53026310914845,2.2593157744469665,3.1319924765541796,2.362212828998581,4.105560904814752,9.252343468138049,11.219439095185237,True,ok
624_x4.000_y4.000_h270.0,624,3,4.0,4.0,270.0,4.2,3.85,290.0,True,3.978125,3.9531249999999996,268.75,5.172795424139684,1.25,0.1801294324755559,1.1086035284853084,26.606350653957872,True,3.9812499999999997,3.9531249999999996,268.75,5.048592006688649,1.25,0.13336983932169524,1.109238529505291,4.941749208516338,0.31249999999998224,0.0,9,8,1,3,3,2,0,0,1,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,3,3,2,3,3,2,40.32358502011675,40.32358502011675,0.13336983932169524,0.16656392126330744,1.109238529505291,1.407360856002299,4.941749208516338,5.54263914399769,True,ok
624_x5.000_y3.000_h0.0,624,5,5.0,3.0,0.0,5.2,2.85,20.0,True,4.965625,3.281250000000001,356.40625,28.334290731373617,3.59375,13.55377741168527,6.394516222299327,11.491376394340675,True,4.90625,3.290625000000001,355.3125,30.537182765441944,4.6875,8.369552727744878,3.031591882856178,11.446517516264517,6.0110575192723115,1.09375,15,13,2,4,4,5,1,1,0,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,4,4,5,4,4,5,190.42147011293463,45.59007591741329,8.369552727744878,16.517929472271,3.031591882856178,5.198557190657709,11.446517516264517,19.378974130973575,True,ok
624_x5.000_y3.000_h90.0,624,6,5.0,3.0,90.0,5.2,2.85,110.0,True,4.965625,3.0250000000000004,90.15625,4.250459533979833,0.15625,2.818526818227868,3.661605961831786,7.112810913412857,True,4.9593750000000005,3.0250000000000004,89.84375,4.77010547577302,0.15625,2.7014764772222075,3.8307913474142294,7.156440290524162,0.6249999999999645,0.3125,18,18,0,6,6,6,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,6,6,6,6,220.92862614635544,220.92862614635544,2.7014764772222075,5.20430124782969,3.8307913474142294,5.499896027951536,7.156440290524162,11.256353972048487,True,ok
624_x5.000_y3.000_h180.0,624,6,5.0,3.0,180.0,5.2,2.85,200.0,True,4.956250000000001,2.959375,176.25,5.9703041170445665,3.75,3.275902429007218,3.0224098532588157,25.45654941379622,True,4.956250000000001,2.9562500000000003,175.625,6.187184335382222,4.375,3.27210125303842,3.073491651467011,12.068066871199678,0.31249999999998224,0.625,18,17,1,6,6,5,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,5,6,6,5,74.98025006060186,74.98025006060186,3.27210125303842,4.9430009120992935,3.073491651467011,7.012439350014631,12.068066871199678,22.099101347354264,True,ok
624_x5.000_y3.000_h270.0,624,6,5.0,3.0,270.0,5.2,2.85,290.0,True,4.9375,3.0093750000000004,268.75,6.319921380048969,1.25,1.8972945131278618,2.0880433856545637,25.744630933995186,True,4.9375,3.0093750000000004,268.75,6.319921380048969,1.25,1.8972945131278618,2.0880433856545637,12.4877697478028,0.0,0.0,18,17,1,6,6,5,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,5,6,6,5,204.3914823815669,204.3914823815669,1.8972945131278618,2.7724047502201365,2.0880433856545637,4.20224322416027,12.4877697478028,18.594286780928172,True,ok
624_x5.000_y4.000_h0.0,624,5,5.0,4.0,0.0,5.2,3.85,20.0,True,4.8843749999999995,4.2281249999999995,357.1875,25.575409332012633,2.8125,8.549492616117266,5.704266555780737,6.5933886029959226,True,4.874999999999999,4.2437499999999995,356.5625,27.3932587510139,3.4375,8.909789540219371,5.93134480266009,6.592436612534175,1.8221724671391746,0.625,15,15,0,5,5,5,0,0,0,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,5,5,5,5,5,5,198.61518957983563,198.61518957983563,8.909789540219371,18.863227056125975,5.93134480266009,11.885279635415628,6.592436612534175,9.452220364584377,True,ok
624_x5.000_y4.000_h90.0,624,5,5.0,4.0,90.0,5.2,3.85,110.0,True,4.953125000000001,4.0375,92.03125,6.002928972593204,2.03125,8.298380049436547,3.306539761710751,10.439890403242185,True,4.962500000000001,4.028124999999999,93.125,4.687499999999858,3.125,8.781298211663126,2.951070842143186,10.377534973049821,1.3258252147248268,1.09375,15,15,0,5,5,5,0,0,0,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,5,5,5,5,5,5,217.26047900770737,217.26047900770737,8.781298211663126,17.13032492578419,2.951070842143186,5.847460709941373,10.377534973049821,19.070229355780555,True,ok
624_x5.000_y4.000_h180.0,624,5,5.0,4.0,180.0,5.2,3.85,200.0,True,4.971875000000001,3.965625,177.5,4.441459501109909,2.5,4.402862077972421,2.8888605139728822,21.942898845030086,True,4.968750000000001,3.965625,176.875,4.64564648353696,3.125,4.3954055207224965,2.97499532070352,4.524616306601641,0.31249999999998224,0.625,15,13,2,5,5,3,0,0,2,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,3,5,5,3,58.63515202906359,58.63515202906359,4.3954055207224965,7.646605871679668,2.97499532070352,6.142692225125188,4.524616306601641,7.482307774874812,True,ok
624_x5.000_y4.000_h270.0,624,5,5.0,4.0,270.0,5.2,3.85,290.0,True,5.021875000000001,3.9562500000000003,266.875,4.8913987007808295,3.125,1.3634352193428112,1.2835540853152183,22.783826122819928,True,5.021875000000001,3.9562500000000003,266.875,4.8913987007808295,3.125,1.3634352193428112,1.2835540853152183,10.03201031579618,0.0,0.0,15,14,1,5,5,4,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,4,5,5,4,52.51780711720585,52.51780711720585,1.3634352193428112,1.6701327362409923,1.2835540853152183,1.9539305885741385,10.03201031579618,14.22474058623149,True,ok
625_x6.000_y2.000_h0.0,625,4,6.0,2.0,0.0,6.2,1.85,20.0,True,5.859375,1.9406250000000003,356.40625,15.264593427274756,3.59375,3.1722344992921916,2.0996030506507672,29.345201153695456,True,5.859375,1.9406250000000003,356.40625,15.264593427274756,3.59375,3.1722344992921916,2.0996030506507672,5.998824673143422,0.0,0.0,12,10,2,4,4,2,0,0,2,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,2,4,4,2,65.95763684503129,65.95763684503129,3.1722344992921916,5.204274246773277,2.0996030506507672,2.671855739249537,5.998824673143422,6.854614181831835,True,ok
625_x6.000_y2.000_h90.0,625,8,6.0,2.0,90.0,6.2,1.85,110.0,True,5.9625,2.0312500000000004,90.625,4.8814060474416605,0.625,3.251588697728662,5.170394477636174,22.15321236378722,True,5.946875,2.0343750000000003,89.375,6.327642728536419,0.625,3.1123910949709384,5.807319263751594,11.526861300145244,1.593443597997742,1.25,24,23,1,8,8,7,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,8,8,7,8,8,7,231.0743544040439,231.0743544040439,3.1123910949709384,5.92977262506158,5.807319263751594,10.543185721627651,11.526861300145244,19.89323268693576,True,ok
625_x6.000_y2.000_h180.0,625,7,6.0,2.0,180.0,6.2,1.85,200.0,True,5.903125,1.96875,180.9375,10.17906092181394,0.9375,10.129478020414235,3.501759161619101,35.32700828011444,True,5.915625,1.959375,180.15625,9.364577539857274,0.15625,3.1458907292902336,3.5349785485390455,13.962109397586078,1.562500000000009,0.78125,21,17,4,6,7,4,1,0,3,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,7,4,6,7,4,82.89017256676459,208.34762258148658,3.1458907292902336,4.558045028215574,3.5349785485390455,8.661780141574127,13.962109397586078,25.050467847167113,True,ok
625_x6.000_y2.000_h270.0,625,6,6.0,2.0,270.0,6.2,1.85,290.0,True,6.0125,1.9531250000000002,262.5,4.85130459258124,7.5,4.2629744086804315,1.767593094309913,15.999305780893243,True,5.996875,1.9625000000000001,262.8125,3.762998305872577,7.1875,4.651466589552196,1.4349650542401398,9.863498635581417,1.8221724671391517,0.3125,18,17,1,6,6,5,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,6,6,5,6,6,5,217.13221487587867,217.13221487587867,4.651466589552196,9.335297587746982,1.4349650542401398,2.3964240136716057,9.863498635581417,20.266753987321124,True,ok
625_x6.000_y4.000_h0.0,625,7,6.0,4.0,0.0,6.2,3.85,20.0,True,5.840624999999999,4.090624999999999,359.0625,18.33392517984081,0.9375,10.749727228076313,2.9197442642971634,17.871788743994248,True,5.831249999999999,4.124999999999999,358.125,21.000372020514334,1.875,8.384140937667897,3.1784336945885507,10.549842857155781,3.563048203434798,0.9375,21,19,2,6,7,6,1,0,1,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,6,7,6,6,7,6,183.82713500689107,202.2173574146332,8.384140937667897,16.247239350097598,3.1784336945885507,5.595459863850124,10.549842857155781,19.28527954001072,True,ok
625_x6.000_y4.000_h90.0,625,4,6.0,4.0,90.0,6.2,3.85,110.0,True,6.028125,4.031249999999999,92.03125,4.204257514710481,2.03125,5.31604928503433,0.8753610183113408,13.647173513956307,True,6.028125,4.031249999999999,92.03125,4.204257514710481,2.03125,5.31604928503433,0.8753610183113408,4.006444888121995,0.0,0.0,12,11,1,4,4,3,0,0,1,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,3,4,4,3,191.4817987388579,191.4817987388579,5.31604928503433,7.526412624522649,0.8753610183113408,1.1677980221683981,4.006444888121995,5.429746786514443,True,ok
625_x6.000_y4.000_h180.0,625,5,6.0,4.0,180.0,6.2,3.85,200.0,True,5.9625,3.975,178.28125,4.506939094329952,1.71875,3.308378611676694,1.6815763096582965,27.951584299686136,True,5.9625,3.975,178.28125,4.506939094329952,1.71875,3.308378611676694,1.6815763096582965,10.051173200562255,0.0,0.0,15,13,2,5,5,3,0,0,2,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,3,5,5,3,53.60261596127452,53.60261596127452,3.308378611676694,5.5064543153484635,1.6815763096582965,3.269345294418372,10.051173200562255,17.194648978356838,True,ok
625_x6.000_y4.000_h270.0,625,4,6.0,4.0,270.0,6.2,3.85,290.0,True,6.065624999999999,3.9499999999999997,265.9375,8.250236739027486,4.0625,2.8229857862175973,1.7656892704063323,12.462962810360393,True,6.065624999999999,3.9499999999999997,265.9375,8.250236739027486,4.0625,2.8229857862175973,1.7656892704063323,12.462962810360393,0.0,0.0,12,12,0,4,4,4,0,0,0,MARGINAL,True,False,marginal_but_usable_for_true_location_not_correction,4,4,4,4,4,4,44.089139243712566,44.089139243712566,2.8229857862175973,4.552651474443481,1.7656892704063323,2.858530375999351,12.462962810360393,19.542600743125632,True,ok
625_x7.000_y3.000_h0.0,625,3,7.0,3.0,0.0,7.2,2.85,20.0,True,6.778124999999999,3.075,0.3125,23.42082740318974,0.3125,2.4343771721962066,3.239065605348802,7.984687343733572,True,6.778124999999999,3.075,0.3125,23.42082740318974,0.3125,2.4343771721962066,3.239065605348802,7.984687343733572,0.0,0.0,9,9,0,3,3,3,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,3,3,3,3,3,3,54.575089461823154,54.575089461823154,2.4343771721962066,3.512301297909115,3.239065605348802,4.510230355504859,7.984687343733572,11.491269644495105,True,ok
625_x7.000_y3.000_h90.0,625,5,7.0,3.0,90.0,7.2,2.85,110.0,True,6.949999999999999,3.0093750000000004,88.59375,5.0871314362812345,1.40625,2.0822090071889168,2.1283998060764486,5.733372017364643,True,6.949999999999999,3.0093750000000004,88.59375,5.0871314362812345,1.40625,2.0822090071889168,2.1283998060764486,5.733372017364643,0.0,0.0,15,15,0,5,5,5,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,5,5,5,5,5,5,204.2912113061414,204.2912113061414,2.0822090071889168,4.053059696857142,2.1283998060764486,3.8302185903324926,5.733372017364643,9.913566857005122,True,ok
625_x7.000_y3.000_h180.0,625,4,7.0,3.0,180.0,7.2,2.85,200.0,True,6.9593750000000005,3.3437500000000004,179.0625,34.61422440630445,0.9375,7.766594895558117,2.239928633260627,25.422220982944207,True,6.95,3.3218750000000004,178.90625,32.57353459865849,1.09375,7.882335679946004,1.964430205460476,10.58348778679993,2.379929095582493,0.15625,12,10,2,4,4,2,0,0,2,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,4,4,2,4,4,2,166.6679881572938,166.6679881572938,7.882335679946004,12.423247301246887,1.964430205460476,3.805935987982423,10.58348778679993,13.697958775946631,True,ok
625_x7.000_y3.000_h270.0,625,7,7.0,3.0,270.0,7.2,2.85,290.0,True,7.015625,2.9875000000000003,271.40625,2.0009763241977487,1.40625,2.906709876515835,2.435434572002361,11.409907473992325,True,7.015625,2.9875000000000003,271.40625,2.0009763241977487,1.40625,2.906709876515835,2.435434572002361,11.409907473992325,0.0,0.0,21,21,0,7,7,7,0,0,0,GOOD,True,True,good_distance_angle_geometry_yaw_coherent,7,7,7,7,7,7,220.05849496143668,220.05849496143668,2.906709876515835,4.9490727648692,2.435434572002361,4.0944750844262785,11.409907473992325,20.839699509205843,True,ok
