group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_cm,distance_weight,measured_angle_deg,predicted_angle_deg,angle_residual_deg,angle_weight,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,yaw_weight
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,34,front,3.196,3.185491008515276,1.0508991484724284,1.0,-32.0,-38.77302558738103,6.773025587381028,0.25,-57.7,44.97697441261903,-102.67697441261903,0.0
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,41,rear,2.882,2.9700845221546,-8.808452215459983,0.25,22.1,21.226546305506048,0.8734536944939464,0.2,-2.3,14.976546305506048,-17.27654630550606,0.0025
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,42,rear,2.743,2.85503208529967,-11.203208529967013,0.25,1.8,2.58583227725984,-0.7858322772598285,0.2,-2.3,-3.66416772274016,1.3641677227401487,0.01
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.143750000000001,2.9406250000000003,6.25,57,front,5.773,5.958739514775722,-18.573951477572237,0.5,-9.6,-1.6926287746699131,-7.907371225330081,0.25,16.1,-7.942628774669856,24.04262877466985,0.0125
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,35,front,2.594,2.5984168980865534,-0.44168980865535445,1.0,35.0,36.069266945284596,-1.0692669452845962,0.5,37.3,35.44426694528465,1.8557330547153583,0.05
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,36,front,1.759,1.7447895206451034,1.42104793548965,1.0,16.8,18.890388263585976,-2.0903882635859645,0.5,15.1,18.26538826358592,-3.1653882635859247,0.05
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,37,front,2.166,2.1549254247511263,1.1074575248873675,1.0,-13.0,-10.157603964579664,-2.842396035420336,0.5,-11.1,-10.782603964579721,-0.3173960354202734,0.05
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,38,front,2.495,2.5178069210678244,-2.2806921067824337,1.0,-27.8,-32.1542479504713,4.35424795047129,0.5,-42.5,-32.7792479504713,-9.720752049528699,0.05
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.993750000000001,3.0281250000000006,90.625,48,rear,2.925,2.899313326308384,2.5686673691615702,0.5,-3.1,-9.6153164495758,6.515316449575806,0.1,-2.3,-10.2403164495758,7.940316449575789,0.01
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9468750000000004,2.9875000000000003,177.5,39,front,3.098,3.133928409533058,-3.5928409533058314,1.0,41.0,42.347112436011,-1.3471124360110025,0.5,48.7,-45.152887563989,93.85288756398899,0.0
