x_m,y_m,room,best_heading_deg,backup_heading_deg,best_status,backup_status,best_score,backup_score,best_front_good_count,best_rear_good_count,best_good_total_count,best_effective_good_count,best_front_weighted_count,best_rear_weighted_count,best_geometry_span_deg,best_front_good_tag_ids,best_rear_good_tag_ids,best_all_good_tag_ids,backup_front_good_tag_ids,backup_rear_good_tag_ids,backup_all_good_tag_ids
1.2,9.1,outer,285.0,255.0,MARGINAL,MARGINAL,48.325157,41.295348,5,0,5,4.4,4.4,0.0,43.252,16 17 18 19 20,,16 17 18 19 20,16 17,9,16 17 9
1.3,9.1,outer,295.0,265.0,GOOD,GOOD,53.313856,51.838328,6,0,6,4.8,4.8,0.0,53.139,16 17 18 19 20 21,,16 17 18 19 20 21,16 17 18,9,16 17 18 9
1.4,9.1,outer,295.0,265.0,GOOD,GOOD,53.412475,52.399259,6,0,6,4.8,4.8,0.0,54.125,16 17 18 19 20 21,,16 17 18 19 20 21,16 17 18,9,16 17 18 9
1.5,9.1,outer,275.0,305.0,GOOD,GOOD,59.97464,53.510034,4,1,5,4.3,3.7,0.6,169.746,16 17 18 19,9,16 17 18 19 9,16 17 18 19 20 21,,16 17 18 19 20 21
1.6,9.1,outer,275.0,305.0,GOOD,MARGINAL,63.560129,45.345412,4,1,5,4.6,4.0,0.6,175.601,16 17 18 19,9,16 17 18 19 9,17 18 19 20 21,,17 18 19 20 21
1.7,9.1,outer,295.0,260.0,GOOD,GOOD,77.284089,60.150744,6,1,7,5.7,5.1,0.6,202.841,16 17 18 19 20 21,11,16 17 18 19 20 21 11,16 17 18,8 9,16 17 18 8 9
1.8,9.1,outer,295.0,265.0,GOOD,GOOD,76.735586,54.741149,6,1,7,5.7,5.1,0.6,197.356,16 17 18 19 20 21,11,16 17 18 19 20 21 11,16 17 18,9,16 17 18 9
1.9,9.1,outer,290.0,320.0,GOOD,GOOD,76.326015,56.24241,6,1,7,5.7,5.1,0.6,193.26,16 17 18 19 20 21,9,16 17 18 19 20 21 9,18 19 20 21,11,18 19 20 21 11
2.0,9.1,outer,290.0,320.0,GOOD,GOOD,76.900363,55.79927,6,1,7,5.7,5.1,0.6,199.004,16 17 18 19 20 21,9,16 17 18 19 20 21 9,18 19 20 21,11,18 19 20 21 11
2.1,9.1,outer,290.0,320.0,GOOD,GOOD,77.459859,55.400186,6,1,7,5.7,5.1,0.6,204.599,16 17 18 19 20 21,9,16 17 18 19 20 21 9,18 19 20 21,11,18 19 20 21 11
2.2,9.1,outer,290.0,255.0,GOOD,GOOD,78.001014,65.782172,6,1,7,5.7,5.1,0.6,210.01,16 17 18 19 20 21,9,16 17 18 19 20 21 9,13 16 17 18,8,13 16 17 18 8
2.3,9.1,outer,290.0,250.0,GOOD,GOOD,77.699364,66.293813,6,1,7,5.7,5.1,0.6,206.994,16 17 18 19 20 21,9,16 17 18 19 20 21 9,13 16 17 18,8,13 16 17 18 8
2.4,9.1,outer,290.0,250.0,GOOD,GOOD,77.277836,65.880955,6,1,7,5.7,5.1,0.6,202.778,16 17 18 19 20 21,9,16 17 18 19 20 21 9,13 16 17 18,8,13 16 17 18 8
2.5,9.1,outer,290.0,255.0,GOOD,GOOD,76.876076,65.46333,6,1,7,5.7,5.1,0.6,198.761,16 17 18 19 20 21,9,16 17 18 19 20 21 9,13 16 17 18,8,13 16 17 18 8
2.6,9.1,outer,295.0,260.0,GOOD,GOOD,77.108914,76.592323,6,1,7,5.7,5.1,0.6,201.089,17 18 19 20 21 22,9,17 18 19 20 21 22 9,13 16 17 18 19,8,13 16 17 18 19 8
2.7,9.1,outer,295.0,260.0,GOOD,GOOD,76.764664,65.614434,6,1,7,5.7,5.1,0.6,197.647,17 18 19 20 21 22,9,17 18 19 20 21 22 9,16 17 18 19,8,16 17 18 19 8
