group_key,mode,dataset,gt_x,gt_y,gt_h,tag_id,camera_role,kind,value,sigma,base_weight,enabled,weight_multiplier,state,reason,effective_weight
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,39,front,distance,2.5,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,39,front,angle,-26.7,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,46,rear,distance,2.848,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h90.0,distance_angle,624,3.0,3.0,90.0,46,rear,angle,12.8,3.0,0.2,True,1.0,USED_NORMAL,,0.2
624_x3.000_y3.000_h180.0,distance_angle,624,3.0,3.0,180.0,40,front,distance,2.425,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h180.0,distance_angle,624,3.0,3.0,180.0,40,front,angle,41.8,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h180.0,distance_angle,624,3.0,3.0,180.0,41,front,distance,1.894,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h180.0,distance_angle,624,3.0,3.0,180.0,41,front,angle,19.6,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h180.0,distance_angle,624,3.0,3.0,180.0,42,front,distance,1.769,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h180.0,distance_angle,624,3.0,3.0,180.0,42,front,angle,-11.8,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x3.000_y3.000_h180.0,distance_angle,624,3.0,3.0,180.0,43,front,distance,2.136,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x3.000_y3.000_h180.0,distance_angle,624,3.0,3.0,180.0,43,front,angle,-29.7,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h0.0,distance_angle_yaw,624,2.0,3.0,0.0,49,front,distance,4.449,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h0.0,distance_angle_yaw,624,2.0,3.0,0.0,49,front,angle,37.2,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h0.0,distance_angle_yaw,624,2.0,3.0,0.0,49,front,yaw,-57.1,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,37,front,distance,2.672,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,37,front,angle,36.9,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,37,front,yaw,40.7,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,38,front,distance,2.218,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,38,front,angle,15.8,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,38,front,yaw,15.2,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,39,front,distance,2.147,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,39,front,angle,-10.8,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,39,front,yaw,-12.2,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,40,front,distance,1.787,0.05,1.0,True,1.0,USED_NORMAL,,1.0
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,40,front,angle,-23.8,3.0,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,40,front,yaw,60.5,10.0,0.05,True,1.0,USED_NORMAL,,0.05
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,45,rear,distance,2.848,0.05,0.5,True,1.0,USED_NORMAL,,0.5
624_x2.000_y3.000_h90.0,distance_angle_yaw,624,2.0,3.0,90.0,45,rear,angle,9.1,3.0,0.2,True,1.0,USED_NORMAL,,0.2
