sample_index,gt_x_m,gt_y_m,gt_heading_deg,obs_json_path,old_final_x_m,old_final_y_m,old_final_heading_deg,old_position_error_cm,old_heading_error_deg,rerun_success,rerun_failure_reason,observed_count,layer1_usable_count,new_pass1_x_m,new_pass1_y_m,new_pass1_heading_deg,new_final_x_m,new_final_y_m,new_final_heading_deg,new_position_error_cm,new_heading_error_deg,position_error_change_cm,position_error_improvement_cm,new_distance_cut_count,new_distance_cut_tags,distance_floor_activated,distance_floor_kept_tags,new_yaw_admitted_count,new_yaw_admitted_tags
11,6.0,1.5,55.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y1.50_h55_20260707_160209.json,6.024,1.525,52.3,3.5,2.7,True,,8,7,6.020213580094913,1.520750818978569,52.29580247778995,6.023580809073127,1.5252111089056164,52.28607239217684,3.452035006766448,2.713927607823166,-0.04796499323355219,0.04796499323355219,1,58,False,,5,32|33|57|58|48
12,6.0,3.5,330.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y3.50_h330_20260707_160023.json,6.028,3.595,329.0,9.9,1.0,True,,7,6,6.01920464204297,3.595918132688708,329.0645742893374,6.028421777832782,3.594618162082769,329.04457939179207,9.879470659451941,0.9554206082079304,-0.020529340548058883,0.020529340548058883,2,52|53,False,,5,52|53|55|56|36
13,7.0,1.5,50.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y1.50_h50_20260707_160412.json,6.997,1.525,47.3,2.6,2.7,True,,8,7,6.993923136683659,1.5307488457189034,47.3018476776399,6.996966614029039,1.5254849900608969,47.32864048258293,2.566488162553721,2.6713595174170734,-0.03351183744627928,0.03351183744627928,1,58,False,,5,31|32|56|57|58
14,7.0,2.5,115.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y2.50_h115_20260707_160816.json,6.981,2.544,113.0,4.8,2.0,True,,5,4,6.95795248824767,2.5320646759137384,113.03669108950936,6.981179890272753,2.543803644763636,112.96988117144421,4.767552647558712,2.0301188285557714,-0.032447352441288047,0.032447352441288047,0,,False,,4,34|36|51|52
15,7.0,3.5,245.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x7.00_y3.50_h245_20260707_161010.json,6.943,3.512,243.6,5.8,1.4,True,,5,5,6.935011364776111,3.5151848488664026,243.61648248596592,6.943113803407704,3.5118795199278225,243.62026929857265,5.811335781429994,1.3797307014273485,0.011335781429994363,-0.011335781429994363,0,,False,,4,48|49|50|32
16,8.0,1.5,110.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x8.00_y1.50_h110_20260707_163838.json,7.971,1.573,104.9,7.8,5.1,True,,5,5,7.953881011450163,1.5278458463707876,104.92248773000273,7.97082703941669,1.5725893498772983,104.88394139977399,7.823218867451022,5.116058600226012,0.023218867451022085,-0.023218867451022085,2,32|52,False,,4,33|34|35|52
17,8.0,2.5,115.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x8.00_y2.50_h115_20260707_163629.json,7.991,2.541,112.9,4.2,2.1,True,,6,5,7.969806351762547,2.5440476402061387,112.9021943590461,7.990797893769915,2.5408644452492966,112.92774844307917,4.188772665832476,2.0722515569208326,-0.01122733416752375,0.01122733416752375,1,53,False,,5,33|34|35|52|53
18,8.0,3.5,310.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x8.00_y3.50_h310_20260707_161238.json,7.973,3.471,308.0,3.9,2.0,True,,6,6,8.000794711685618,3.486585702174319,307.74415519241956,7.97346316119924,3.4708354592063775,307.9887363006265,3.943062582866742,2.011263699373501,0.043062582866741916,-0.043062582866741916,0,,False,,4,52|53|54|55
19,9.0,1.5,70.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y1.50_h70_20260707_164032.json,8.993,1.506,66.2,0.9,3.8,True,,5,5,8.97936259901671,1.5164898787414822,66.10200972079284,8.992772961984192,1.506038736805386,66.1712844901761,0.9417877716696773,3.828715509823894,0.04178777166967729,-0.04178777166967729,2,32|52,False,,4,31|56|57|52
20,9.0,2.5,115.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y2.50_h115_20260707_164236.json,8.954,2.513,112.0,4.8,3.0,True,,4,4,8.949948455845458,2.5100539313274557,112.00216610838528,8.953558067829238,2.5128679514877086,112.0174348372713,4.819167188678607,2.98256516272869,0.01916718867860734,-0.01916718867860734,0,,False,,4,32|33|35|53
21,9.0,3.5,300.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y3.50_h300_20260707_164407.json,9.012,3.541,299.5,4.3,0.5,True,,4,4,9.015159587538905,3.5152441169833204,299.51879678143496,9.01186167737919,3.541112481950584,299.5165889825367,4.27894328355155,0.48341101746331105,-0.02105671644844964,0.02105671644844964,1,53,False,,4,53|56|32|33
22,5.0,3.5,260.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x5.00_y3.50_h260_20260707_164834.json,4.961,3.47,258.3,5.0,1.7,True,,7,6,4.981433324678758,3.466087772553806,258.1739170189155,4.960631374028597,3.4699837141543974,258.29347401945193,4.950622311226302,1.706525980548065,-0.0493776887736983,0.0493776887736983,0,,False,,4,46|47|49|35
23,4.0,1.5,110.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x4.00_y1.50_h110_20260707_165307.json,3.941,1.509,108.3,6.0,1.7,True,,7,6,3.9401125959253234,1.508513710788782,108.33043674032282,3.9408553347469932,1.5085184370236646,108.32170071199016,5.975495960350376,1.678299288009839,-0.024504039649624332,0.024504039649624332,2,40|48,False,,6,36|38|39|40|41|48
24,6.0,3.5,330.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x6.00_y3.50_h330_20260707_165639.json,6.042,3.529,330.1,5.1,0.1,True,,6,5,6.033977024997861,3.506336368854016,330.1755220817093,6.04172720972886,3.52938796303727,330.069455889853,5.103736281623709,0.0694558898529749,0.0037362816237092034,-0.0037362816237092034,0,,False,,4,52|55|56|36
25,9.0,1.5,70.0,D:\Data\_Action\_RunNMS\testLocation\output\t11_observation_collection\obs_x9.00_y1.50_h70_20260707_165932.json,9.018,1.508,70.3,1.9,0.3,True,,5,5,9.007233903506027,1.494592957327458,70.30061876651195,9.017545721505813,1.5077751982565104,70.27857943163899,1.9191301443299966,0.27857943163900245,0.019130144329996712,-0.019130144329996712,1,52,False,,4,31|56|57|52
