x_m,y_m,room,best_heading_deg,backup_heading_deg,best_status,backup_status,best_score,backup_score,best_front_good_count,best_rear_good_count,best_good_total_count,best_effective_good_count,best_front_weighted_count,best_rear_weighted_count,best_geometry_span_deg,best_front_good_tag_ids,best_rear_good_tag_ids,best_all_good_tag_ids,backup_front_good_tag_ids,backup_rear_good_tag_ids,backup_all_good_tag_ids
6.7,0.0,inner,40.0,70.0,GOOD,GOOD,49.135395,41.586491,7,0,7,4.3,4.3,0.0,61.354,31 32 54 55 56 57 58,,31 32 54 55 56 57 58,31 32 33 34 35 56 57 58,,31 32 33 34 35 56 57 58
6.8,0.0,inner,40.0,70.0,GOOD,GOOD,49.206528,41.613122,7,0,7,4.3,4.3,0.0,62.065,31 32 54 55 56 57 58,,31 32 54 55 56 57 58,31 32 33 34 35 56 57 58,,31 32 33 34 35 56 57 58
6.9,0.0,inner,40.0,70.0,GOOD,MARGINAL,48.277116,35.615179,6,0,6,4.2,4.2,0.0,62.771,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 56 57,,31 32 33 34 56 57
7.0,0.0,inner,45.0,15.0,GOOD,MARGINAL,51.346973,37.685282,6,0,6,4.5,4.5,0.0,63.47,31 32 54 55 56 57,,31 32 54 55 56 57,54 55 56 57,,54 55 56 57
7.1,0.0,inner,45.0,75.0,GOOD,GOOD,51.415899,43.669928,6,0,6,4.5,4.5,0.0,64.159,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.2,0.0,inner,45.0,75.0,GOOD,GOOD,51.483668,43.680592,6,0,6,4.5,4.5,0.0,64.837,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.3,0.0,inner,45.0,75.0,GOOD,GOOD,51.550033,43.686831,6,0,6,4.5,4.5,0.0,65.5,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 35 56 57,,31 32 33 34 35 56 57
7.4,0.0,inner,45.0,75.0,GOOD,GOOD,54.614719,41.708656,6,0,6,4.8,4.8,0.0,66.147,31 32 54 55 56 57,,31 32 54 55 56 57,31 32 33 34 56 57,,31 32 33 34 56 57
7.5,0.0,inner,25.0,60.0,MARGINAL,GOOD,48.454835,47.93729,5,0,5,4.4,4.4,0.0,44.548,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
7.6,0.0,inner,25.0,60.0,GOOD,GOOD,48.512234,47.954522,5,0,5,4.4,4.4,0.0,45.122,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
7.7,0.0,inner,30.0,60.0,GOOD,GOOD,48.56865,47.966607,5,0,5,4.4,4.4,0.0,45.687,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
7.8,0.0,inner,30.0,60.0,GOOD,GOOD,48.623735,47.973114,5,0,5,4.4,4.4,0.0,46.237,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
7.9,0.0,inner,30.0,65.0,GOOD,GOOD,48.677083,47.973587,5,0,5,4.4,4.4,0.0,46.771,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
8.0,0.0,inner,30.0,65.0,GOOD,GOOD,48.728223,47.967544,5,0,5,4.4,4.4,0.0,47.282,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
8.1,0.0,inner,35.0,65.0,GOOD,GOOD,48.776606,47.954481,5,0,5,4.4,4.4,0.0,47.766,31 54 55 56 57,,31 54 55 56 57,31 32 33 55 56 57,,31 32 33 55 56 57
8.2,0.0,inner,35.0,65.0,GOOD,GOOD,41.821593,40.933867,4,0,4,3.7,3.7,0.0,48.216,31 54 55 56,,31 54 55 56,31 32 33 55 56,,31 32 33 55 56
8.3,0.0,inner,35.0,70.0,GOOD,GOOD,41.862438,40.905149,4,0,4,3.7,3.7,0.0,48.624,31 54 55 56,,31 54 55 56,31 32 33 55 56,,31 32 33 55 56
8.4,0.0,inner,35.0,70.0,GOOD,GOOD,41.898265,40.867753,4,0,4,3.7,3.7,0.0,48.983,31 54 55 56,,31 54 55 56,31 32 33 55 56,,31 32 33 55 56
8.5,0.0,inner,40.0,70.0,GOOD,GOOD,41.928049,40.821086,4,0,4,3.7,3.7,0.0,49.28,31 54 55 56,,31 54 55 56,31 32 33 55 56,,31 32 33 55 56
8.6,0.0,inner,40.0,70.0,GOOD,GOOD,41.950583,40.764546,4,0,4,3.7,3.7,0.0,49.506,31 54 55 56,,31 54 55 56,31 32 33 55 56,,31 32 33 55 56
8.7,0.0,inner,80.0,40.0,GOOD,GOOD,45.649253,41.964438,6,0,6,3.9,3.9,0.0,66.493,31 32 33 34 55 56,,31 32 33 34 55 56,31 54 55 56,,31 54 55 56
8.8,0.0,inner,80.0,40.0,MARGINAL,MARGINAL,35.559894,31.967921,5,0,5,2.9,2.9,0.0,65.599,31 32 33 34 55,,31 32 33 34 55,31 54 55,,31 54 55
