group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,initial_h,no_yaw_ok,with_yaw_ok,no_yaw_est_x,no_yaw_est_y,no_yaw_est_h,no_yaw_pos_err_cm,no_yaw_heading_err_deg,no_yaw_distance_rms_cm,no_yaw_angle_rms_deg,with_yaw_est_x,with_yaw_est_y,with_yaw_est_h,with_yaw_pos_err_cm,with_yaw_heading_err_deg,with_yaw_distance_rms_cm,with_yaw_angle_rms_deg,with_yaw_yaw_rms_deg,yaw_shift_pos_cm,yaw_shift_heading_deg,used_tag_count,used_distance_count,used_angle_count,used_yaw_count,with_yaw_cost,with_yaw_evaluations
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.2,2.85,290.0,True,True,3.0093750000000004,3.0031250000000003,271.40625,0.9882117688026607,1.40625,2.556918473239748,3.789401248291106,3.0093750000000004,3.0031250000000003,271.40625,0.9882117688026607,1.40625,2.556918473239748,3.789401248291106,10.798245018031254,0.0,0.0,8,8,8,8,3.8506523213958816,2723
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,3.2,3.85,20.0,True,True,2.9,4.1125,356.09375,15.051993223490362,3.90625,6.651505922882079,4.1300655660954,2.9,4.1125,356.09375,15.051993223490362,3.90625,6.651505922882079,4.1300655660954,9.181623181761857,0.0,0.0,5,5,5,5,4.8286111151596325,2693
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,110.0,False,False,3.2,3.85,110.0,25.00000000000001,20.0,20.047367321292953,15.496781927829545,3.2,3.85,110.0,25.00000000000001,20.0,20.047367321292953,15.496781927829545,0.4032180721705174,0.0,0.0,1,1,1,1,inf,0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,3.2,3.85,200.0,True,True,2.996875,4.0218750000000005,180.0,2.2097086912080113,0.0,1.5363810306647943,3.8545272651374223,2.996875,4.0218750000000005,180.0,2.2097086912080113,0.0,1.5363810306647943,3.8545272651374223,24.56029022598819,0.0,0.0,4,4,4,4,2.3691515401675387,2373
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.2,3.85,290.0,True,True,3.046875,3.9906249999999996,265.78125,4.780330793993243,4.21875,6.405172392264685,5.135741453297299,3.046875,3.9906249999999996,265.78125,4.780330793993243,4.21875,6.405172392264685,5.135741453297299,31.02297320324131,0.0,0.0,5,5,5,5,5.848313575169882,3293
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.2,2.85,20.0,True,True,4.1468750000000005,2.9531250000000004,5.9375,15.417370479430048,5.9375,10.4865838658432,4.706263262636013,4.1468750000000005,2.953125,5.9375,15.417370479430062,5.9375,10.486583865843201,4.706263262636021,47.823418682079534,4.440892098500626e-14,0.0,5,5,5,5,13.207115295525012,2463
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.2,2.85,110.0,True,True,4.000000000000001,3.0281250000000006,90.9375,2.812500000000062,0.9375,1.8746619646440028,3.733349917302346,4.000000000000001,3.0281250000000006,90.9375,2.812500000000062,0.9375,1.8746619646440028,3.733349917302346,5.7630067665770905,0.0,0.0,5,5,5,5,1.6296974974824874,2743
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,4.2,2.85,200.0,True,True,3.95,2.9906250000000005,178.4375,5.087131436281131,1.5625,3.0877793811120653,4.776463460370345,3.95,2.9937500000000004,178.4375,5.038911092686572,1.5625,3.099741013591824,4.772540121169479,54.73149307527469,0.31249999999998224,0.0,6,6,6,6,7.804312540627059,2683
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.2,2.85,290.0,True,True,3.98125,2.9781250000000004,271.875,2.881107642903989,1.875,2.842445035212034,4.480812099624202,3.98125,2.9781250000000004,271.875,2.881107642903989,1.875,2.842445035212034,4.480812099624202,10.429019621945395,0.0,0.0,7,7,7,7,4.406525430190895,2853
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,4.2,3.85,20.0,True,True,3.94375,4.112499999999999,1.875,12.577882373436216,1.875,5.847817835771536,4.9363973723316,3.94375,4.112500000000001,1.875,12.577882373436378,1.875,5.847817835771524,4.936397372331656,9.341742279875785,1.7763568394002505e-13,0.0,3,3,3,3,2.518272157305792,2983
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,4.2,3.85,110.0,True,True,3.915625,4.025,86.5625,8.800079900205471,3.4375,11.01601467643016,4.362253035431959,3.915625,4.025,86.5625,8.800079900205471,3.4375,11.01601467643016,4.362253035431959,12.138281322930489,0.0,0.0,3,3,3,3,4.5668309876066004,3053
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,4.2,3.85,200.0,True,True,3.9718750000000003,3.95,174.375,5.73673742208929,5.625,2.2593157744469665,2.362212828998581,3.9718750000000003,3.95,174.375,5.73673742208929,5.625,2.2593157744469665,2.362212828998581,18.75990085332473,0.0,0.0,4,4,4,4,1.376448233416262,2613
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,4.2,3.85,290.0,True,True,3.98125,3.9531249999999996,268.75,5.048592006688632,1.25,0.13336983932169524,1.109238529505291,3.978125,3.9531249999999996,268.75,5.172795424139684,1.25,0.1801294324755559,1.1086035284853084,26.606350653957872,0.31250000000002665,0.0,3,3,3,3,0.5747601267129493,2643
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,5.2,2.85,20.0,True,True,4.965625,3.281250000000001,356.40625,28.334290731373617,3.59375,13.55377741168527,6.394516222299327,4.965625,3.281250000000001,356.40625,28.334290731373617,3.59375,13.55377741168527,6.394516222299327,11.491376394340675,0.0,0.0,5,5,5,5,18.02447657429021,3143
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,5.2,2.85,110.0,True,True,4.965625,3.0250000000000004,90.15625,4.250459533979833,0.15625,2.818526818227868,3.661605961831786,4.965625,3.0250000000000004,90.15625,4.250459533979833,0.15625,2.818526818227868,3.661605961831786,7.112810913412857,0.0,0.0,6,6,6,6,2.2644222725317342,2593
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,5.2,2.85,200.0,True,True,4.956250000000001,2.959375,176.25,5.9703041170445665,3.75,3.275902429007218,3.0224098532588157,4.956250000000001,2.959375,176.25,5.9703041170445665,3.75,3.275902429007218,3.0224098532588157,25.45654941379622,0.0,0.0,6,6,6,6,3.610192698739671,2813
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,5.2,2.85,290.0,True,True,4.9375,3.0093750000000004,268.75,6.319921380048969,1.25,1.8972945131278618,2.0880433856545637,4.9375,3.0093750000000004,268.75,6.319921380048969,1.25,1.8972945131278618,2.0880433856545637,25.744630933995186,0.0,0.0,6,6,6,6,1.421241088449365,3003
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,5.2,3.85,20.0,True,True,4.8843749999999995,4.2281249999999995,357.1875,25.575409332012633,2.8125,8.549492616117266,5.704266555780737,4.8843749999999995,4.2281249999999995,357.1875,25.575409332012633,2.8125,8.549492616117266,5.704266555780737,6.5933886029959226,0.0,0.0,5,5,5,5,6.57624486479576,3053
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,5.2,3.85,110.0,True,True,4.950000000000001,4.0375,91.875,6.249999999999893,1.875,8.264987552652565,3.382849895018085,4.953125000000001,4.0375,92.03125,6.002928972593204,2.03125,8.298380049436547,3.306539761710751,10.439890403242185,0.31249999999998224,0.15625,5,5,5,5,5.042864627917126,2933
