combo_index,distance_sigma_m,angle_sigma_deg,yaw_sigma_deg,distance_global_weight,angle_global_weight,yaw_global_weight,robust_rejection_score_threshold,robust_min_score_gap,robust_max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
33,0.05,2.5,3.0,1.25,0.75,0.25,0.8,0.5,1,1.0,0.03848112920997269,0.036832007985689724,0.06343105133749402,0.0676942096696187,0.07052517189983508,1.1637301709306616,0.8024591649979982,2.551139344048238,3.372417327694677,4.687702502743036,0.7948717948717948,1.0,1.0,1.0,1.0,4,4,0.4207218000010471
34,0.05,2.5,3.0,1.25,0.75,0.5,0.8,0.5,1,1.0,0.038022759456086,0.03577993011915936,0.0650177647648144,0.06845730148123658,0.07025241565012265,1.1709827158711044,0.8106408720671539,2.5485383700898865,3.3728817756468175,4.7448694769894075,0.7948717948717948,1.0,1.0,1.0,1.0,4,4,0.40747209999972256
35,0.05,2.5,3.0,1.25,0.75,0.75,0.8,0.5,1,1.0,0.036836418905844624,0.03497095959405271,0.06281880730973033,0.06949854650280596,0.07000708690339592,1.1416855037513478,0.8101376221690089,2.5462936606509174,3.3731381225121027,4.794725218927425,0.7948717948717948,1.0,1.0,1.0,1.0,3,3,0.4119295999989845
36,0.05,2.5,3.0,1.25,0.75,1.0,0.8,0.5,1,1.0,0.03748761280000947,0.0342387838084809,0.06863830146842387,0.0700367710657508,0.07046769531406358,1.1765094252991986,0.8417936105319654,2.672410498085327,3.3732307804708626,4.838622091215598,0.7948717948717948,1.0,1.0,1.0,1.0,3,3,0.4039364000054775
37,0.05,2.5,3.0,1.25,1.0,0.25,0.8,0.5,1,1.0,0.03760130639171606,0.036648150923001124,0.06168751628286225,0.06574014874093785,0.06667066227857084,1.151780483231933,0.81569117293094,2.477560221598992,3.405911749974223,4.689780906455638,0.8205128205128205,1.0,1.0,1.0,1.0,5,5,0.42372210000030464
38,0.05,2.5,3.0,1.25,1.0,0.5,0.8,0.5,1,1.0,0.03677158673265497,0.03536596413336112,0.0646489788578683,0.06583654791664488,0.06724647364836576,1.1624114736259485,0.822551418884359,2.480554853621584,3.4037858616420067,4.746547331902377,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.4331406999990577
39,0.05,2.5,3.0,1.25,1.0,0.75,0.8,0.5,1,1.0,0.03752106210576827,0.0358043229011468,0.06590711326243917,0.06729248379643037,0.06780862964824083,1.1730706173790526,0.8291406535028898,2.483113895357974,3.4018674083156952,4.796050655997192,0.7948717948717948,1.0,1.0,1.0,1.0,5,5,0.4168621999997413
40,0.05,2.5,3.0,1.25,1.0,1.0,0.8,0.5,1,1.0,0.038234934870742684,0.03437242278106837,0.06708768454457369,0.06925220869114336,0.06966522962660557,1.1914154711372826,0.8354746803741477,2.6796704129973534,3.40011636641475,4.83963511068913,0.8205128205128205,1.0,1.0,1.0,1.0,6,6,0.49356369999441085
41,0.05,2.5,3.0,1.25,1.25,0.25,0.8,0.5,1,1.0,0.03793405769469568,0.03720192888796297,0.06133320707399627,0.06579150305293993,0.06603503235281256,1.13833571678439,0.796056648295405,2.4217192215732553,3.4317071863040383,4.691909889569075,0.7948717948717948,1.0,1.0,1.0,1.0,7,7,0.45907830000214744
42,0.05,2.5,3.0,1.25,1.25,0.5,0.8,0.5,1,1.0,0.03805690970869909,0.036295848630750034,0.062376005418997134,0.06652254890038872,0.07671773810620953,1.1573773800515739,0.8178483496513138,2.4279331972378486,3.4280783867490072,4.748273793464591,0.7948717948717948,1.0,1.0,1.0,1.0,8,8,0.4406870999955572
43,0.05,2.5,3.0,1.25,1.25,0.75,0.8,0.5,1,1.0,0.03836920813340339,0.03563411370066917,0.06312274909181456,0.06700090126539528,0.08606066772304437,1.170488805624862,0.836846173653214,2.4598757437964025,3.424842200053604,4.797423256609761,0.7948717948717948,1.0,1.0,1.0,1.0,8,8,0.44473740000103135
44,0.05,2.5,3.0,1.25,1.25,1.0,0.8,0.5,1,1.0,0.03887964344667251,0.03419239370448759,0.06747039936742781,0.0698705653677319,0.09413636048051464,1.1747484258464345,0.842328863390378,2.686928989949621,3.4219304337653966,4.840694142466361,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.4492219999956433
45,0.05,2.5,3.0,1.25,1.5,0.25,0.8,0.5,1,1.0,0.0367647526498302,0.03700425875425007,0.06099591642604167,0.06560184113164047,0.06646303347234697,1.1531254570838139,0.7775330688238853,2.3779915899838215,3.4522227027047734,4.694088849296861,0.8461538461538461,1.0,1.0,1.0,1.0,11,11,0.4760141000006115
46,0.05,2.5,3.0,1.25,1.5,0.5,0.8,0.5,1,1.0,0.037421801388076374,0.03656833683457587,0.0595964050458414,0.06602722728306686,0.07731735731553516,1.1581129427980994,0.7981446295659396,2.386078691901389,3.4477059034931585,4.750048368608162,0.8205128205128205,1.0,1.0,1.0,1.0,9,9,0.46545270000206074
47,0.05,2.5,3.0,1.25,1.5,0.75,0.8,0.5,1,1.0,0.03825680447815165,0.037214598911110196,0.06055305633996281,0.06660106321575036,0.08660124876723559,1.1685634209347722,0.8170754372382021,2.4675385324817967,3.443658663412407,4.798842481186796,0.8205128205128205,1.0,1.0,1.0,1.0,8,8,0.47915249999641674
48,0.05,2.5,3.0,1.25,1.5,1.0,0.8,0.5,1,1.0,0.038801922363184936,0.03605004668404517,0.06685861803398171,0.07049320242674854,0.09462791614309471,1.1860773830145614,0.8345227350181972,2.6941859990550654,3.440006295258968,4.841798572122059,0.8205128205128205,1.0,1.0,1.0,1.0,9,9,0.4685118999987026
