rank,combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
11,21,1.2,0.05,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.36619790000258945
12,23,1.2,0.1,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3651011000001745
13,25,1.2,0.2,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3622919000008551
14,27,1.2,0.3,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3629486999998335
15,29,1.2,0.5,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3631810000006226
16,31,1.4,0.05,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3672284000022046
17,33,1.4,0.1,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3590670000012324
18,35,1.4,0.2,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3623812000005273
19,37,1.4,0.3,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3655577000026824
20,39,1.4,0.5,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3636742000016966
21,41,1.6,0.05,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.36455230000137817
22,42,1.6,0.05,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3639718999984325
23,43,1.6,0.1,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.36675970000214875
24,44,1.6,0.1,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.36711749999813037
25,45,1.6,0.2,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3628651999970316
26,46,1.6,0.2,1,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.36863939999966533
27,47,1.6,0.3,0,1.0,0.036929327253968365,0.03314974695222608,0.06778996261439983,0.07200329330718738,0.08420754069997671,1.160705578540203,0.83746109187922,2.880835021029327,3.385801035393797,4.877939540716881,0.7948717948717948,1.0,1.0,1.0,1.0,0,0,0.3660459000020637
