group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,distance_residual_cm,distance_weight,measured_angle_deg,predicted_angle_deg,angle_residual_deg,angle_weight
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,2.9718750000000003,3.0031250000000003,90.78125,46,rear,2.848,2.850064417335023,-0.002064417335023272,-0.2064417335023272,0.5,12.8,7.893920989420451,4.90607901057956,0.2
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.015625,3.0125,180.0,40,front,2.425,2.4387407899621065,-0.013740789962106703,-1.3740789962106703,1.0,41.8,43.78510032547243,-1.9851003254724446,0.5
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.015625,3.0125,180.0,41,front,1.894,1.8900943470168359,0.003905652983164032,0.3905652983164032,1.0,19.6,21.329965753772115,-1.7299657537721203,0.5
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.015625,3.0125,180.0,42,front,1.769,1.7603072574482557,0.008692742551744237,0.8692742551744237,1.0,-11.8,-8.576030875778116,-3.2239691242218953,0.5
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.015625,3.0125,180.0,43,front,2.136,2.162078083840868,-0.02607808384086807,-2.607808384086807,1.0,-29.7,-36.38294824714043,6.682948247140445,0.5
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0031250000000003,271.40625,37,rear,2.156,2.2003898614843647,-0.04438986148436452,-4.438986148436452,0.5,20.4,16.755982250129193,3.6440177498708124,0.2
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0031250000000003,271.40625,38,rear,2.127,2.1552219388304037,-0.028221938830403914,-2.8221938830403914,0.5,-7.0,-8.682414097326216,1.682414097326216,0.2
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0031250000000003,271.40625,44,front,2.874,2.866351837796296,0.007648162203703901,0.7648162203703901,1.0,38.1,40.06935977153677,-1.969359771536773,0.5
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0031250000000003,271.40625,45,front,3.141,3.1479284103187295,-0.006928410318729483,-0.6928410318729483,1.0,24.8,26.61433751228762,-1.814337512287608,0.5
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0031250000000003,271.40625,46,front,2.849,2.874817597363554,-0.025817597363553713,-2.5817597363553713,1.0,5.6,9.21766118996851,-3.6176611899685156,0.5
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0031250000000003,271.40625,47,front,2.906,2.9006229770657694,0.005377022934230702,0.5377022934230702,1.0,-13.2,-9.509453755492245,-3.6905462445077433,0.5
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0031250000000003,271.40625,48,front,3.178,3.218654469914601,-0.04065446991460098,-4.065446991460098,1.0,-25.2,-26.35628161120303,1.1562816112030418,0.5
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.0093750000000004,3.0031250000000003,271.40625,49,front,3.747,3.74992987050051,-0.002929870500510301,-0.2929870500510301,1.0,-31.2,-39.17197103966413,7.97197103966414,0.5
