group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,initial_h,est_x,est_y,est_h,ok,detail,observation_count,used_tag_count,used_distance_count,used_angle_count,initial_pos_err_cm,pos_err_cm,initial_heading_err_deg,heading_err_deg,distance_rms_cm,distance_max_abs_cm,angle_rms_deg,angle_max_abs_deg,cost,seed_count,best_seed_heading_deg,iterations,evaluations
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.2,2.85,290.0,3.0093750000000004,3.0031250000000003,271.40625,True,ok,8,8,8,8,25.00000000000001,0.9882117688026607,20.0,1.40625,2.556918473239748,4.438986148436452,3.789401248291106,7.97197103966414,3.691883397841454,13,260.0,284,2853
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,3.2,3.85,20.0,2.9,4.1125,356.09375,True,ok,5,5,5,5,25.00000000000001,15.051993223490362,20.0,3.90625,6.651505922882079,11.082592815435177,4.1300655660954,6.19081230496144,4.766067770497105,13,350.0,268,2693
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,110.0,3.2,3.85,110.0,False,not enough distance/angle observations,1,1,1,1,25.00000000000001,25.00000000000001,20.0,20.0,20.047367321292953,20.047367321292953,15.496781927829545,15.496781927829545,inf,0,110.0,0,0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,3.2,3.85,200.0,2.996875,4.0218750000000005,180.0,True,ok,4,4,4,4,25.00000000000001,2.2097086912080113,20.0,0.0,1.5363810306647943,2.221963162438456,3.8545272651374223,6.6516877043469265,1.8396573823429043,13,170.0,249,2503
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.2,3.85,290.0,3.046875,3.9906249999999996,265.78125,True,ok,5,5,5,5,25.00000000000001,4.780330793993243,20.0,4.21875,6.405172392264685,9.665396313757824,5.135741453297299,10.838555273629453,4.836272226392728,13,260.0,328,3293
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.2,2.85,20.0,4.1468750000000005,2.9531250000000004,5.9375,True,ok,5,5,5,5,25.00000000000001,15.417370479430048,20.0,5.9375,10.4865838658432,18.093829788359184,4.706263262636013,7.706966325923162,11.731410899514342,13,350.0,258,2593
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.2,2.85,110.0,4.000000000000001,3.0281250000000006,90.9375,True,ok,5,5,5,5,25.00000000000001,2.812500000000062,20.0,0.9375,1.8746619646440028,2.6857597029501967,3.733349917302346,6.073246039300926,1.6003837394810616,13,110.0,270,2713
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,4.2,2.85,200.0,3.95,2.9906250000000005,178.4375,True,ok,6,6,6,6,25.00000000000001,5.087131436281131,20.0,1.5625,3.0877793811120653,4.822348342783123,4.776463460370345,10.13079753871176,4.911040115658324,13,170.0,280,2813
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.2,2.85,290.0,3.98125,2.9781250000000004,271.875,True,ok,7,7,7,7,25.00000000000001,2.881107642903989,20.0,1.875,2.842445035212034,5.581680601377248,4.480812099624202,8.473562468971636,4.314583693942071,13,260.0,284,2853
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,4.2,3.85,20.0,3.94375,4.112499999999999,1.875,True,ok,3,3,3,3,25.00000000000001,12.577882373436216,20.0,1.875,5.847817835771536,7.078092034494432,4.9363973723316,5.559845193993112,2.504704590139113,13,350.0,323,3243
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,4.2,3.85,110.0,3.915625,4.025,86.5625,True,ok,3,3,3,3,25.00000000000001,8.800079900205471,20.0,3.4375,11.01601467643016,18.371660133235146,4.362253035431959,7.12374417241071,4.5322703248900105,13,80.0,304,3053
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,4.2,3.85,200.0,3.9718750000000003,3.95,174.375,True,ok,4,4,4,4,25.00000000000001,5.73673742208929,20.0,5.625,2.2593157744469665,3.1319924765541796,2.362212828998581,4.105560904814752,1.0283661158804671,13,170.0,260,2613
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,4.2,3.85,290.0,3.98125,3.9531249999999996,268.75,True,ok,3,3,3,3,25.00000000000001,5.048592006688632,20.0,1.25,0.13336983932169524,0.16656392126330744,1.109238529505291,1.407360856002299,0.10360142712069667,13,260.0,276,2773
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,5.2,2.85,20.0,4.965625,3.281250000000001,356.40625,True,ok,5,5,5,5,25.00000000000001,28.334290731373617,20.0,3.59375,13.55377741168527,25.6274191843878,6.394516222299327,12.59279316140649,17.90031538329456,13,350.0,313,3143
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,5.2,2.85,110.0,4.965625,3.0250000000000004,90.15625,True,ok,6,6,6,6,25.00000000000001,4.250459533979833,20.0,0.15625,2.818526818227868,5.316575480967645,3.661605961831786,5.056815522693171,2.22524644362668,13,80.0,258,2593
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,5.2,2.85,200.0,4.956250000000001,2.959375,176.25,True,ok,6,6,6,6,25.00000000000001,5.9703041170445665,20.0,3.75,3.275902429007218,4.996591058124,3.0224098532588157,6.416350363118681,2.810277960437709,13,170.0,280,2813
