combo_index,rejection_score_threshold,min_score_gap,max_rejections,solver_success_rate,position_mean_error_m,position_median_error_m,position_p90_error_m,position_p95_error_m,position_max_error_m,heading_mean_abs_error_deg,heading_median_abs_error_deg,heading_p90_abs_error_deg,heading_p95_abs_error_deg,heading_max_abs_error_deg,position_within_5cm_rate,position_within_10cm_rate,heading_within_5deg_rate,heading_within_10deg_rate,joint_within_10cm_10deg_rate,samples_with_rejection,total_rejected_tags,combo_runtime_s
18,1.0,0.3,1,1.0,0.04279137804677527,0.039000801549351816,0.07200329330718738,0.09930915994395016,0.10049423579621065,1.1597474424799703,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,14,14,0.5200251999995089
19,1.0,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.38348670000050333
20,1.0,0.5,1,1.0,0.0401395488006835,0.03669010838149788,0.06974217011889072,0.07407551106525607,0.07422565966920235,1.1398651632196266,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,1.0,1.0,1.0,1.0,6,6,0.439815699999599
21,1.2,0.05,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.38989130000118166
22,1.2,0.05,1,1.0,0.043766885786635096,0.039417781082448575,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1336453736188128,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,14,14,0.5211983999979566
23,1.2,0.1,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3883724999977858
24,1.2,0.1,1,1.0,0.043766885786635096,0.039417781082448575,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1336453736188128,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,14,14,0.5213686999995844
25,1.2,0.2,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.38625690000117174
26,1.2,0.2,1,1.0,0.04431374187239539,0.039417781082448575,0.07407551106525607,0.10049423579621065,0.11427054170269618,1.135939784777342,0.9254223127760497,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,13,13,0.5106162000010954
27,1.2,0.3,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3853745999986131
28,1.2,0.3,1,1.0,0.04220296999387073,0.038172571852276786,0.07200329330718738,0.10049423579621065,0.11427054170269618,1.1384590356218132,0.8784307628236547,2.514922164745826,3.385801035393797,4.877939540716881,0.6923076923076923,0.9487179487179487,1.0,1.0,0.9487179487179487,9,9,0.47424170000158483
29,1.2,0.5,0,1.0,0.04223053440478594,0.03879504916850857,0.07200329330718738,0.07422565966920235,0.11427054170269618,1.1267474840822707,0.83746109187922,2.0741747959150985,3.385801035393797,4.877939540716881,0.6666666666666666,0.9743589743589743,1.0,1.0,0.9743589743589743,0,0,0.3851957000006223
