group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,fixed_heading_deg,tag_id,camera_role,measured_distance_m,predicted_distance_m,residual_m,residual_cm,weight
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9906249999999996,4.0125,180.0,40,front,1.847,1.8668289666236162,-0.019828966623616218,-1.9828966623616218,1.0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9906249999999996,4.0125,180.0,41,front,1.778,1.7635334957479538,0.014466504252046208,1.4466504252046208,1.0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,2.9906249999999996,4.0125,180.0,42,front,2.124,2.130088118042303,-0.006088118042302693,-0.6088118042302693,1.0
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.128125,3.9968749999999993,270.0,38,rear,1.114,1.2332049834678749,-0.11920498346787478,-11.920498346787479,0.5
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.128125,3.9968749999999993,270.0,45,front,4.153,4.109273905600598,0.04372609439940156,4.372609439940156,1.0
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.128125,3.9968749999999993,270.0,46,front,3.83,3.8753315382364373,-0.04533153823643721,-4.533153823643721,1.0
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.128125,3.9968749999999993,270.0,47,front,3.843,3.8660728822992967,-0.023072882299296715,-2.3072882299296715,1.0
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.128125,3.9968749999999993,270.0,48,front,4.049,4.082839946807858,-0.0338399468078574,-3.38399468078574,1.0
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.159375000000001,2.9437499999999996,0.0,33,front,3.939,3.9118644152277313,0.02713558477226874,2.713558477226874,1.0
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.159375000000001,2.9437499999999996,0.0,34,front,3.196,3.176268754863952,0.01973124513604807,1.973124513604807,1.0
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.159375000000001,2.9437499999999996,0.0,41,rear,2.882,2.9818674020024774,-0.09986740200247723,-9.986740200247723,0.5
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.159375000000001,2.9437499999999996,0.0,42,rear,2.743,2.8709202711195245,-0.12792027111952464,-12.792027111952464,0.5
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.159375000000001,2.9437499999999996,0.0,57,front,5.773,5.943338346680676,-0.17033834668067627,-17.033834668067627,1.0
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.975,3.0312500000000004,90.0,35,front,2.594,2.6064466352680227,-0.01244663526802281,-1.244663526802281,1.0
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.975,3.0312500000000004,90.0,36,front,1.759,1.7476023753989345,0.011397624601065415,1.1397624601065415,1.0
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.975,3.0312500000000004,90.0,37,front,2.166,2.148526020903633,0.017473979096366943,1.7473979096366943,1.0
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.975,3.0312500000000004,90.0,38,front,2.495,2.505387008527824,-0.010387008527823927,-1.0387008527823927,1.0
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,3.975,3.0312500000000004,90.0,48,rear,2.925,2.9059230998944208,0.019076900105579053,1.9076900105579053,0.5
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9437499999999996,2.9875,180.0,39,front,3.098,3.1333700407867564,-0.03537004078675654,-3.537004078675654,1.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9437499999999996,2.9875,180.0,40,front,3.174,3.187794349154286,-0.013794349154286234,-1.3794349154286234,1.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9437499999999996,2.9875,180.0,41,front,2.823,2.781552230769719,0.04144776923028104,4.144776923028104,1.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9437499999999996,2.9875,180.0,42,front,2.707,2.679297074327518,0.027702925672481893,2.7702925672481893,1.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9437499999999996,2.9875,180.0,43,front,2.956,2.9501750477725888,0.005824952227411195,0.5824952227411195,1.0
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,3.9437499999999996,2.9875,180.0,44,front,3.468,3.508451626073815,-0.04045162607381503,-4.045162607381503,1.0
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.0,2.975,270.0,36,rear,1.722,1.7741758650145143,-0.05217586501451432,-5.217586501451432,0.5
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.0,2.975,270.0,37,rear,2.169,2.1887439320304236,-0.019743932030423572,-1.9743932030423572,0.5
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.0,2.975,270.0,45,front,3.643,3.6580459264476164,-0.015045926447616598,-1.5045926447616598,1.0
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.0,2.975,270.0,46,front,3.142,3.1395541084682708,0.0024458915317291385,0.24458915317291385,1.0
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.0,2.975,270.0,48,front,2.828,2.8657459761814197,-0.03774597618141984,-3.774597618141984,1.0
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.0,2.975,270.0,49,front,3.189,3.1709462310168552,0.018053768983144813,1.8053768983144813,1.0
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.0,2.975,270.0,50,front,3.557,3.5604634529791204,-0.0034634529791204294,-0.34634529791204294,1.0
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.98125,4.3062499999999995,0.0,40,rear,2.804,2.73474461787568,0.06925538212431981,6.925538212431981,0.5
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.98125,4.3062499999999995,0.0,41,rear,2.743,2.7733243814959687,-0.030324381495968833,-3.0324381495968833,0.5
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,3.98125,4.3062499999999995,0.0,55,front,6.609,6.588332727253534,0.020667272746465848,2.066727274646585,1.0
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.86875,4.043749999999999,90.0,36,front,0.916,0.9283200552611162,-0.012320055261116125,-1.2320055261116125,1.0
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.86875,4.043749999999999,90.0,37,front,1.218,1.135981128804525,0.08201887119547502,8.201887119547502,1.0
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,3.86875,4.043749999999999,90.0,49,rear,4.33,4.179423180894703,0.1505768191052974,15.057681910529741,0.5
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.971875,3.9531249999999996,180.0,38,front,1.803,1.7918550530804664,0.011144946919533494,1.1144946919533494,1.0
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.971875,3.9531249999999996,180.0,40,front,2.786,2.8176642864702672,-0.0316642864702672,-3.16642864702672,1.0
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.971875,3.9531249999999996,180.0,41,front,2.757,2.7286410594378294,0.028358940562170698,2.83589405621707,1.0
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,3.971875,3.9531249999999996,180.0,42,front,2.943,2.9530737429414113,-0.010073742941411279,-1.007374294141128,1.0
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.98125,3.9531249999999996,270.0,46,front,4.033,4.034693926201218,-0.0016939262012174439,-0.16939262012174439,1.0
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.98125,3.9531249999999996,270.0,48,front,3.834,3.8347529357345818,-0.0007529357345816834,-0.07529357345816834,1.0
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,3.98125,3.9531249999999996,270.0,49,front,4.071,4.072220534072902,-0.0012205340729023462,-0.12205340729023462,1.0
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.3156250000000003,0.0,32,front,3.916,3.8430693503045186,0.07293064969548135,7.293064969548135,1.0
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.3156250000000003,0.0,41,rear,3.819,3.7105871545147675,0.10841284548523245,10.841284548523245,0.5
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.3156250000000003,0.0,55,front,5.385,5.321114265945621,0.06388573405437903,6.388573405437903,1.0
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.3156250000000003,0.0,56,front,5.188,5.11077117774314,0.07722882225685979,7.722882225685979,1.0
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,4.965625,3.3156250000000003,0.0,57,front,4.847,5.099657540585445,-0.252657540585445,-25.2657540585445,1.0
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.928125,3.028125,90.0,34,front,2.595,2.6071561674073154,-0.012156167407315177,-1.2156167407315177,1.0
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.928125,3.028125,90.0,35,front,2.204,2.1927609950129083,0.01123900498709185,1.123900498709185,1.0
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.928125,3.028125,90.0,36,front,1.73,1.7017272934433412,0.02827270655665881,2.827270655665881,1.0
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.928125,3.028125,90.0,37,front,2.493,2.504343882387161,-0.01134388238716122,-1.134388238716122,1.0
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.928125,3.028125,90.0,48,rear,2.874,2.8836003157944754,-0.00960031579447529,-0.9600315794475289,0.5
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,4.928125,3.028125,90.0,49,rear,2.944,2.9004613049047907,0.043538695095209246,4.3538695095209246,0.5
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.953125,2.9562500000000003,180.0,38,front,3.184,3.190423965263081,-0.006423965263080866,-0.6423965263080866,1.0
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.953125,2.9562500000000003,180.0,39,front,3.928,3.9313108600217563,-0.003310860021756401,-0.3310860021756401,1.0
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.953125,2.9562500000000003,180.0,40,front,4.044,4.088617440911414,-0.04461744091141462,-4.461744091141462,1.0
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.953125,2.9562500000000003,180.0,41,front,3.824,3.7721734554663575,0.05182654453364233,5.182654453364233,1.0
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.953125,2.9562500000000003,180.0,42,front,3.711,3.6839031716543533,0.02709682834564653,2.709682834564653,1.0
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,4.953125,2.9562500000000003,180.0,44,front,4.279,4.309784516437569,-0.030784516437568854,-3.0784516437568854,1.0
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.971875000000001,3.0000000000000004,270.0,35,rear,2.161,2.1896440385654006,-0.028644038565400542,-2.8644038565400542,0.5
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.971875000000001,3.0000000000000004,270.0,36,rear,1.723,1.7200991295925359,0.002900870407464229,0.2900870407464229,0.5
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.971875000000001,3.0000000000000004,270.0,46,front,3.674,3.691251957754307,-0.01725195775430688,-1.725195775430688,1.0
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.971875000000001,3.0000000000000004,270.0,47,front,3.183,3.1760692712258343,0.006930728774165562,0.6930728774165562,1.0
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.971875000000001,3.0000000000000004,270.0,48,front,2.893,2.8822479968984283,0.010752003101571539,1.075200310157154,1.0
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,4.971875000000001,3.0000000000000004,270.0,49,front,2.873,2.884896621306386,-0.01189662130638558,-1.189662130638558,1.0
