group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,fixed_heading_deg,est_x,est_y,ok,detail,observation_count,used_distance_count,initial_pos_err_cm,pos_err_cm,distance_rms_cm,distance_max_abs_cm,cost,iterations,evaluations
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,4.2,3.85,270.0,3.98125,3.9531249999999996,True,ok,3,3,25.00000000000001,5.048592006688632,0.12814056889079026,0.16939262012174439,0.0009852003237393217,12,97
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,5.2,2.85,0.0,4.965625,3.3156250000000003,True,ok,5,5,25.00000000000001,31.74913876784694,13.487307777962524,25.2657540585445,14.907698475317888,15,121
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,5.2,2.85,90.0,4.928125,3.028125,True,ok,6,6,25.00000000000001,7.718180647017833,2.305754134310682,4.3538695095209246,0.4392018519521713,13,105
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,5.2,2.85,180.0,4.953125,2.9562500000000003,True,ok,6,6,25.00000000000001,6.411963915213479,3.2687562451831997,5.182654453364233,1.2821720868509001,12,97
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,5.2,2.85,270.0,4.971875000000001,3.0000000000000004,True,ok,6,6,25.00000000000001,2.812499999999929,1.54472015338175,2.8644038565400542,0.20344964282594297,13,105
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,5.2,3.85,0.0,4.890624999999999,4.234375,True,ok,5,5,25.00000000000001,25.86397712069824,8.390005075579744,17.151638582067008,4.051135970448494,13,105
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,5.2,3.85,90.0,4.918750000000001,4.046875,True,ok,5,5,25.00000000000001,9.38020688737718,7.723127683753341,13.633459735832698,3.612282166565482,12,97
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,5.2,3.85,180.0,4.968750000000001,3.9656249999999997,True,ok,5,5,25.00000000000001,4.645646483536993,4.3942013587599025,7.676273880846951,1.9309005581327372,14,113
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.2,3.85,270.0,5.01875,3.95625,True,ok,5,5,25.00000000000001,4.759858191164952,1.3634972483205723,1.6634342824728865,0.18591247461777724,12,97
625_x6.000_y2.000_h0.0,625,6.0,2.0,0.0,6.2,1.85,0.0,5.859375,1.9375000000000002,True,ok,4,4,25.00000000000001,15.388840315306403,3.1721487616316377,5.213480845979568,0.8050022212736909,14,113
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,6.2,1.85,90.0,5.928125,2.0343750000000007,True,ok,8,8,25.00000000000001,7.967217989988789,3.033475173171906,6.408497406739233,0.9098054516718641,13,105
625_x6.000_y2.000_h180.0,625,6.0,2.0,180.0,6.2,1.85,180.0,5.896875,1.9656250000000004,True,ok,7,7,25.00000000000001,10.870329456828825,10.010376182695675,25.067247591116626,6.7319046261194515,14,113
625_x6.000_y2.000_h270.0,625,6.0,2.0,270.0,6.2,1.85,270.0,6.034375,1.9468750000000001,True,ok,6,6,25.00000000000001,6.327642728536413,4.067835318830955,7.396278510797583,1.2380910276177077,13,105
625_x6.000_y4.000_h0.0,625,6.0,4.0,0.0,6.2,3.85,0.0,5.846875,4.096875,True,ok,7,7,25.00000000000001,18.119611267905285,10.608054695841586,20.001425446743948,9.690527410131173,12,97
625_x6.000_y4.000_h90.0,625,6.0,4.0,90.0,6.2,3.85,90.0,6.0375000000000005,4.03125,True,ok,4,4,25.00000000000001,4.8814060474417,5.294964188748605,7.28391206218264,1.4465976833839105,12,97
