sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg
21,7.0,4.0,290.0,290.0,50,front,Y,3.655,3.71,-0.055,29.1,29.6,-0.5,20.4,9.6,10.8
21,7.0,4.0,290.0,290.0,51,front,Y,3.44,3.54,-0.099,10.2,12.4,-2.1,11.3,-7.6,18.9
21,7.0,4.0,290.0,290.0,52,front,Y,3.909,3.974,-0.065,-6.3,-3.0,-3.3,-24.2,-23.0,-1.2
21,7.0,4.0,290.0,290.0,53,front,Y,4.64,4.667,-0.028,-16.7,-14.5,-2.2,-35.4,-34.5,-1.0
21,7.0,4.0,290.0,290.0,55,front,Y,3.891,3.797,0.094,-29.8,-34.2,4.4,40.8,35.8,5.1
21,7.0,4.0,290.0,290.0,34,rear,Y,1.197,1.245,-0.048,-1.7,-4.9,3.3,-26.5,-24.9,-1.6
22,8.0,1.0,35.0,35.0,31,front,Y,3.522,3.423,0.099,-22.3,-25.1,2.8,33.5,29.9,3.6
22,8.0,1.0,35.0,35.0,54,front,Y,2.401,2.179,0.222,40.5,43.5,-3.0,29.4,8.5,20.9
22,8.0,1.0,35.0,35.0,55,front,Y,2.433,2.17,0.263,15.8,16.2,-0.4,-19.4,-18.8,-0.6
22,8.0,1.0,35.0,35.0,56,front,Y,2.864,2.679,0.185,-5.6,-4.9,-0.7,-35.2,-39.9,4.7
22,8.0,1.0,35.0,35.0,57,front,N,3.577,3.424,0.153,-17.5,-18.1,0.6,45.0,-53.1,98.1
22,8.0,1.0,35.0,35.0,51,rear,Y,0.591,0.684,-0.093,-15.0,-14.1,-0.9,28.2,40.9,-12.8
23,8.0,2.0,50.0,50.0,31,front,Y,2.77,2.603,0.168,2.9,1.2,1.7,40.3,41.2,-0.9
23,8.0,2.0,50.0,50.0,32,front,Y,3.101,3.176,-0.075,-28.2,-34.0,5.8,25.9,6.0,19.9
23,8.0,2.0,50.0,50.0,56,front,Y,2.415,2.183,0.233,33.1,31.1,2.0,-31.5,-18.9,-12.6
23,8.0,2.0,50.0,50.0,57,front,Y,2.891,2.692,0.199,12.0,10.1,1.9,-36.4,-39.9,3.5
23,8.0,2.0,50.0,50.0,58,front,Y,3.072,2.939,0.134,-11.4,-14.3,2.9,-51.9,-64.3,12.4
23,8.0,2.0,50.0,50.0,50,rear,Y,2.225,2.267,-0.042,6.7,3.2,3.5,39.9,43.2,-3.3
23,8.0,2.0,50.0,50.0,51,rear,Y,1.592,1.572,0.02,-22.7,-22.9,0.3,-2.3,17.1,-19.4
24,8.0,3.0,110.0,110.0,32,front,Y,2.17,2.183,-0.014,32.6,30.3,2.4,23.7,10.3,13.4
24,8.0,3.0,110.0,110.0,33,front,Y,2.182,2.223,-0.041,5.3,5.1,0.2,-13.5,-14.9,1.4
24,8.0,3.0,110.0,110.0,34,front,Y,2.562,2.638,-0.077,-15.5,-15.5,0.0,-35.3,-35.5,0.2
24,8.0,3.0,110.0,110.0,35,front,Y,3.175,3.282,-0.107,-25.3,-29.1,3.8,-50.9,-49.1,-1.8
24,8.0,3.0,110.0,110.0,52,rear,Y,2.713,2.695,0.018,13.4,8.3,5.0,-8.8,-11.7,2.9
25,8.0,4.0,295.0,295.0,51,front,Y,3.399,3.55,-0.152,33.6,33.6,-0.1,22.8,8.6,14.2
25,8.0,4.0,295.0,295.0,52,front,Y,3.68,3.701,-0.02,15.3,16.5,-1.2,-11.3,-8.5,-2.8
25,8.0,4.0,295.0,295.0,53,front,Y,4.166,4.184,-0.018,-0.8,2.0,-2.8,-22.9,-23.0,0.1
25,8.0,4.0,295.0,295.0,55,front,Y,3.166,3.04,0.126,-21.1,-18.1,-3.0,40.0,46.9,-6.9
25,8.0,4.0,295.0,295.0,56,front,Y,2.547,2.399,0.148,-30.1,-35.0,4.8,37.9,30.0,7.9
25,8.0,4.0,295.0,295.0,33,rear,Y,1.208,1.262,-0.055,3.1,-1.3,4.4,-27.8,-26.3,-1.6
26,9.0,1.0,50.0,50.0,31,front,Y,3.047,3.043,0.004,-22.3,-26.4,4.1,21.5,13.6,8.0
26,9.0,1.0,50.0,50.0,55,front,Y,1.464,1.268,0.196,21.6,17.1,4.4,-31.0,-32.9,1.9
26,9.0,1.0,50.0,50.0,56,front,Y,2.098,2.013,0.086,-5.8,-8.1,2.3,-50.7,-58.1,7.4
26,9.0,1.0,50.0,50.0,52,rear,Y,0.694,0.756,-0.062,-9.1,-9.7,0.6,23.5,30.3,-6.8
27,9.0,2.0,85.0,85.0,31,front,Y,2.131,2.083,0.048,24.9,16.0,8.9,27.8,21.0,6.8
27,9.0,2.0,85.0,85.0,32,front,Y,3.133,3.209,-0.075,-15.1,-16.4,1.3,-15.4,-11.4,-4.0
27,9.0,2.0,85.0,85.0,33,front,Y,3.384,3.526,-0.142,-26.0,-31.9,5.9,-35.0,-26.9,-8.1
27,9.0,2.0,85.0,85.0,57,front,Y,2.126,2.035,0.091,36.0,27.6,8.4,-56.2,-57.4,1.2
27,9.0,2.0,85.0,85.0,52,rear,Y,1.676,1.689,-0.014,16.1,9.5,6.6,-2.3,14.5,-16.9
27,9.0,2.0,85.0,85.0,53,rear,Y,1.983,1.943,0.04,-20.4,-25.1,4.7,-2.3,-20.1,17.7
28,9.0,3.0,315.0,315.0,53,front,Y,2.902,2.928,-0.026,35.0,32.8,2.3,-31.1,-12.2,-18.8
28,9.0,3.0,315.0,315.0,55,front,Y,1.771,1.625,0.146,-1.0,4.2,-5.2,37.9,49.2,-11.4
28,9.0,3.0,315.0,315.0,56,front,Y,1.262,1.082,0.18,-28.1,-33.7,5.7,26.6,11.3,15.4
29,9.0,4.0,280.0,280.0,51,front,Y,3.804,3.821,-0.017,36.0,33.4,2.6,30.1,23.4,6.7
29,9.0,4.0,280.0,280.0,53,front,Y,3.894,3.9,-0.006,0.6,0.4,0.2,-2.2,-9.6,7.4
29,9.0,4.0,280.0,280.0,55,front,Y,2.55,2.47,0.081,-18.6,-16.2,-2.4,54.3,63.8,-9.5
29,9.0,4.0,280.0,280.0,56,front,Y,1.743,1.618,0.124,-28.7,-32.4,3.6,46.0,47.6,-1.6
29,9.0,4.0,280.0,280.0,32,rear,Y,1.238,1.284,-0.046,-13.9,-18.7,4.8,-27.1,-28.7,1.7
