sample_uid,observation_uid,tag_id,camera_role,pass1_estimated_x_m,pass1_estimated_y_m,pass1_estimated_heading_deg,measured_distance_m,predicted_distance_m,distance_residual_m_signed,distance_residual_sigma_signed,distance_residual_sigma_abs,measured_angle_deg,predicted_angle_deg,angle_residual_deg_signed,angle_residual_sigma_signed,angle_residual_sigma_abs,gt_distance_error_m,gt_angle_error_deg,gt_yaw_error_deg,measured_yaw_deg
main29_s012,main29_s012_o072,36,front,4.960526216168129,0.9799896625281879,116.63089807192785,3.664,3.715211274999135,0.051211274999134915,1.0242254999826983,1.0242254999826983,20.6,20.483134043552468,-0.11686595644752629,-0.0389553188158421,0.0389553188158421,-0.035,2.4,-13.1,-20.0
repeat10_s005,repeat10_s005_o027,39,front,4.931960886954405,1.0372665166132353,115.53769842849279,5.167,5.227971963644848,0.060971963644847804,1.020256094418661,1.020256094418661,-13.9,-12.72129376519382,1.1787062348061852,0.3929020782687284,0.3929020782687284,-0.132,-0.3,-2.4,-40.9
main29_s004,main29_s004_o020,45,front,1.9339773752528007,4.013788258905508,288.78697281274094,3.823,3.871546847686388,0.04854684768638817,0.9709369537277635,0.9709369537277635,24.0,22.870421304333604,-1.129578695666396,-0.3765262318887987,0.3765262318887987,-0.04,-1.1,10.3,15.4
main29_s022,main29_s022_o137,31,front,8.023291241141365,1.0229822690929415,40.06169889141635,3.462,3.510160800318048,0.04816080031804759,0.9632160063609518,0.9632160063609518,-17.0,-16.960800721162457,0.03919927883754326,0.013066426279181087,0.013066426279181087,-0.08,-0.1,-1.2,31.8
main29_s001,main29_s001_o005,39,front,2.012496119636617,1.0195541093616312,59.772944436097625,4.094,4.14141208388734,0.04741208388733931,0.9482416777467861,0.9482416777467861,-29.3,-35.34145593604714,-6.041455936047129,-1.4239848202062155,1.4239848202062155,-0.065,5.6,32.7,27.8
main29_s020,main29_s020_o125,48,front,7.00500866217152,2.9765963311815775,250.80651952272933,3.703,3.750252814347229,0.047252814347229055,0.9450562869445811,0.9450562869445811,22.8,21.939037983982075,-0.8609620160179361,-0.28698733867264536,0.28698733867264536,-0.061,2.0,-2.3,38.5
main29_s021,main29_s021_o136,34,rear,7.0416569039701535,4.0197547018025785,297.04689302688865,1.192,1.238545919908794,0.04654591990879409,0.9309183981758817,0.9309183981758817,0.6,0.24065297577018896,-0.35934702422980536,-0.11978234140993511,0.11978234140993511,-0.046,0.4,-2.1,-26.9
repeat10_s010,repeat10_s010_o060,50,front,9.03376684598997,3.97189022827876,244.34233154704305,4.424,4.470301334663795,0.046301334663795046,0.9260266932759009,0.9260266932759009,8.9,9.953163543546907,1.0531635435469013,0.3510545145156338,0.3510545145156338,-0.05,-1.1,-69.8,-34.7
main29_s023,main29_s023_o146,52,rear,7.9766241059380825,2.0252027475790797,110.69116574735558,1.712,1.7582373340517057,0.046237334051705714,0.9247466810341143,0.9247466810341143,2.2,2.4665623180939065,0.26656231809391784,0.08885410603130595,0.08885410603130595,-0.015,0.0,-2.3,-20.0
repeat10_s007,repeat10_s007_o041,32,front,5.999390511338628,2.020262861701569,64.27765498267784,3.86,3.905795243741289,0.04579524374128896,0.9159048748257792,0.9159048748257792,10.2,11.207386384181007,1.007386384181018,0.33579546139367267,0.33579546139367267,-0.062,-1.5,-2.3,34.5
main29_s008,main29_s008_o049,39,front,3.962571965668051,0.9680107637358554,116.84483818358393,4.696,4.750580610645523,0.05458061064552311,0.9133083030185881,0.9133083030185881,-3.3,-1.6545323792832676,1.6454676207167438,0.5484892069055812,0.5484892069055812,-0.044,0.8,53.6,24.5
main29_s029,main29_s029_o174,49,front,9.06981464455596,4.016759168985723,246.21582954942085,5.329,5.274504476655074,-0.0544955233449258,-0.911884520155079,0.911884520155079,19.1,19.07385273803152,-0.026147261968475277,-0.008715753989491759,0.008715753989491759,0.115,1.7,-2.6,39.8
main29_s003,main29_s003_o017,47,front,2.0020268139917077,2.9860819632432825,262.84883361272597,3.199,3.24339363454904,0.04439363454904033,0.8878726909808066,0.8878726909808066,-29.8,-36.34102996285844,-6.541029962858431,-1.5417355475605294,1.5417355475605294,-0.056,4.3,67.5,38.4
repeat10_s004,repeat10_s004_o017,42,front,4.050997383737547,3.9603327949318197,218.3339307956741,3.072,3.0285909281351198,-0.0434090718648803,-0.868181437297606,0.868181437297606,14.2,15.48070318021746,1.280703180217472,0.4269010600724907,0.4269010600724907,0.074,-1.9,-3.0,-26.9
main29_s008,main29_s008_o050,41,front,3.962571965668051,0.9680107637358554,116.84483818358393,3.788,3.8296776583680567,0.041677658368056925,0.8335531673611385,0.8335531673611385,-18.9,-18.787999484047447,0.112000515952559,0.037333505317519666,0.037333505317519666,-0.047,2.5,-3.9,39.7
main29_s007,main29_s007_o046,38,rear,2.9323591411413403,4.0084615377368005,276.6096172055182,1.105,1.1462566555233067,0.04125665552330671,0.8251331104661341,0.8251331104661341,-10.4,-8.031201268282587,2.368798731717419,0.5583312154878268,0.5583312154878268,-0.068,-2.9,3.4,-14.2
